Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-5.5090747,[0.00874236 0.10588992 0.11018518 0.11463229],[0.01048401 0.09987339 0.105      0.1103574 ],[0.0113307  0.1199996  0.12555556 0.1313303 ],[0.01095541 0.11074555 0.11611111 0.12170096],[0.01105691 0.11319408 0.11861111 0.12425098],[0.01222778 0.14454375 0.15055555 0.15677153],[0.01157258 0.12626567 0.13194445 0.13783824],[0.01124436 0.11782119 0.12333333 0.12906554],[0.011437   0.12272342 0.12833333 0.13416041],[0.01128767 0.11891032 0.12444445 0.130198  ],[0.0134647  0.1853021  0.19194445 0.19876678],[0.01947973 0.19432199 0.2038889  0.21380171],[0.01930004 0.18941475 0.19888888 0.2087148 ],[0.01901105 0.18178602 0.19111112 0.20079707],[0.0198998  0.20632705 0.21611111 0.22622684],[0.01307176 0.17133601 0.17777778 0.18440779],[0.01162395 0.12762849 0.13333334 0.13925244],[0.01077093 0.10639464 0.11166666 0.11716557],[0.01122259 0.11727668 0.12277777 0.12849927],[0.01155191 0.12572062 0.13138889 0.13727254],[0.01110151 0.11428256 0.11972222 0.12538406],[0.01153117 0.12517558 0.13083333 0.13670675]
1.0,-4.5090747,[0.00570616 0.05637799 0.05916667 0.06208415],[0.00618711 0.06738587 0.07041667 0.07357298],[0.00604987 0.06412165 0.06708334 0.07017152],[0.00751144 0.0748449  0.07851852 0.08235633],[0.00615319 0.06656961 0.06958333 0.07272281],[0.00607303 0.06466554 0.06763889 0.07073857],[0.00769439 0.07901184 0.08277778 0.08670624],[0.00751144 0.0748449  0.07851852 0.08235633],[0.00728834 0.06995742 0.07351852 0.07724576],[0.00751953 0.075026   0.0787037  0.08254553],[0.01237429 0.14891364 0.155      0.16128792],[0.01267395 0.1582055  0.16444445 0.17087944],[0.01261351 0.15629184 0.1625     0.16890535],[0.01260482 0.15601848 0.16222222 0.16862331],[0.0126911  0.1587523  0.165      0.17144342],[0.01264812 0.1573853  0.16361111 0.17003344],[0.00739693 0.07231006 0.07592592 0.07970698],[0.00724598 0.06905285 0.07259259 0.07629883],[0.00751953 0.075026   0.0787037  0.08254553],[0.00765515 0.07810573 0.08185185 0.08576088],[0.00764726 0.07792451 0.08166666 0.08557177],[0.00648164 0.0747375  0.07791667 0.08121915]
2.0,-3.5090747,[0.00388692 0.03847167 0.04037037 0.0423586 ],[0.00381361 0.03693441 0.03879629 0.04074802],[0.00400011 0.04091484 0.04287037 0.04491494],[0.00409759 0.0430881  0.04509259 0.0471857 ],[0.00387411 0.03820033 0.04009259 0.04207444],[0.00394609 0.03973826 0.04166667 0.04368435],[0.00462429 0.04574068 0.048      0.05036497],[0.00404107 0.04182019 0.0437963  0.04586126],[0.00342178 0.03467702 0.03634921 0.0380988 ],[0.00389119 0.03856213 0.04046296 0.04245331],[0.01129846 0.11918262 0.12472222 0.13048108],[0.01067669 0.1042202  0.10944445 0.11489688],[0.01118979 0.11646    0.12194444 0.12764978],[0.01105691 0.11319408 0.11861111 0.12425098],[0.01089832 0.10938561 0.11472222 0.12028393],[0.01107925 0.11373829 0.11916666 0.12481754],[0.00382232 0.03711522 0.03898148 0.04093754],[0.00330456 0.03219616 0.03380952 0.03550072],[0.00341459 0.0345219  0.03619048 0.03793649],[0.00383967 0.03747688 0.03935185 0.04131655],[0.00342895 0.03483216 0.03650794 0.03826111],[0.0033601  0.03335877 0.035      0.03671886]
3.0,-2.5090747,[0.00106892 0.01033712 0.01085859 0.01140604],[0.00211389 0.02043312 0.02146465 0.02254701],[0.00161635 0.01624768 0.01703704 0.01786403],[0.00194175 0.01877473 0.01972222 0.02071648],[0.00139677 0.01369739 0.01437909 0.01509416],[0.00221105 0.02245514 0.02353535 0.02466619],[0.00170095 0.01678871 0.01761905 0.01848966],[0.00254167 0.0242538  0.02549383 0.02679547],[0.00166676 0.01609155 0.01690476 0.01775831],[0.00213082 0.02077817 0.02181818 0.02290899],[0.00781042 0.08173107 0.08555555 0.08954149],[0.00723747 0.06887196 0.07240741 0.07610942],[0.00617583 0.06711376 0.07013889 0.0732896 ],[0.00733037 0.07086214 0.07444444 0.07819252],[0.00730519 0.07031929 0.07388889 0.07762448],[0.00728834 0.06995742 0.07351852 0.07724576],[0.00138894 0.01353792 0.01421569 0.01492685],[0.0011792  0.01145244 0.01202778 0.01263164],[0.00105905 0.01014004 0.01065657 0.01119909],[0.00121948 0.01162749 0.01222222 0.01284696],[0.00105905 0.01014004 0.01065657 0.01119909],[0.00124086 0.01205538 0.01266082 0.01329624]
4.0,-1.5090747,[0.00032405 0.00308275 0.00324074 0.0034068 ],[0.00137472 0.01325092 0.01392157 0.01462564],[0.0004441  0.00426979 0.00448637 0.00471389],[0.00096055 0.00948673 0.00995556 0.01044729],[0.00037047 0.00358666 0.00376736 0.00395713],[0.0009563  0.00939997 0.00986667 0.01035628],[0.00044999 0.00429981 0.00451923 0.00474979],[0.0011684  0.01123562 0.01180556 0.01240402],[0.00050733 0.00483716 0.00508454 0.0053445 ],[0.00102855 0.01000541 0.01050725 0.01103396],[0.0080645  0.0878991  0.09185185 0.0959636 ],[0.00397529 0.04037175 0.04231482 0.04434704],[0.00387411 0.03820033 0.04009259 0.04207444],[0.00384832 0.03765773 0.03953704 0.04150604],[0.00397113 0.04028124 0.04222222 0.04425237],[0.00349273 0.03622872 0.03793651 0.03972144],[0.00027848 0.00265523 0.00279101 0.0029337 ],[0.00023535 0.00225746 0.00237222 0.00249281],[0.00021398 0.00205222 0.00215657 0.0022662 ],[0.00033891 0.0032325  0.00339775 0.00357141],[0.00021323 0.00203745 0.00214141 0.00225067],[0.00023902 0.00228141 0.00239796 0.00252044]
5.0,-0.5090747,[5.6907702e-05 5.4264296e-04 5.7038834e-04 5.9955061e-04],[0.00058183 0.00553575 0.00581944 0.00611758],[7.7207958e-05 7.3720951e-04 7.7485380e-04 8.1441744e-04],[0.00036395 0.0035148  0.00369231 0.00387874],[7.5690456e-05 7.2002091e-04 7.5692195e-04 7.9571136e-04],[0.0004604  0.004416   0.00464052 0.0048764 ],[8.9579196e-05 8.5539068e-04 8.9906703e-04 9.4496983e-04],[0.00054519 0.00522508 0.00549096 0.00577027],[9.9070909e-05 9.5075619e-04 9.9906628e-04 1.0498271e-03],[0.00047578 0.00452992 0.0047619  0.0050057 ],[0.00631488 0.07051596 0.07361111 0.07683083],[0.00209681 0.02008814 0.02111111 0.02218495],[0.00195508 0.01904584 0.02       0.02100092],[0.00182242 0.01791384 0.01880342 0.01973626],[0.00177927 0.01703802 0.01790598 0.01881729],[0.00192381 0.01841335 0.01935185 0.02033717],[3.1570242e-05 3.0024850e-04 3.1563954e-04 3.3181877e-04],[2.6588024e-05 2.5380409e-04 2.6676734e-04 2.8039212e-04],[2.7393882e-05 2.6084870e-04 2.7420404e-04 2.8824256e-04],[3.4915160e-05 3.3206615e-04 3.4908790e-04 3.6698132e-04],[3.1191459e-05 2.9664551e-04 3.1185185e-04 3.2783695e-04],[3.1149932e-05 2.9625048e-04 3.1143660e-04 3.2740043e-04]
6.0,0.4909253,[9.5261157e-06 9.0587528e-05 9.5231633e-05 1.0011365e-04],[0.00033329 0.00317084 0.00333333 0.00350412],[1.1828045e-05 1.1247881e-04 1.1824514e-04 1.2430685e-04],[0.00018683 0.00179161 0.00188272 0.00197844],[1.4992720e-05 1.4310880e-04 1.5041862e-04 1.5810152e-04],[0.00019712 0.00188335 0.00197946 0.00208046],[1.2900466e-05 1.2313640e-04 1.2942613e-04 1.3603688e-04],[0.00024262 0.00232728 0.00244559 0.0025699 ],[1.1199321e-05 1.0676526e-04 1.1222540e-04 1.1796458e-04],[0.0001723  0.00164393 0.00172794 0.00181623],[0.00502858 0.05487077 0.05733333 0.05989936],[0.00075893 0.00731799 0.00768817 0.00807692],[0.00071392 0.00689082 0.00723906 0.00760475],[0.00068496 0.00652874 0.00686275 0.0072137 ],[0.00077867 0.00745359 0.00783333 0.00823226],[0.00075541 0.00724806 0.00761649 0.00800348],[2.6599862e-06 2.5230687e-05 2.6527383e-05 2.7890672e-05],[2.0690109e-06 1.9600426e-05 2.0609001e-05 2.1669435e-05],[1.7329600e-06 1.6396216e-05 1.7240951e-05 1.8129174e-05],[2.8770312e-06 2.7289449e-05 2.8691948e-05 3.0166479e-05],[1.7899152e-06 1.6956437e-05 1.7828961e-05 1.8746352e-05],[1.9301856e-06 1.8262266e-05 1.9203138e-05 2.0192450e-05]
