Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-5.5090747,[0.01381846 0.56307715 0.57       0.57689565],[0.01687146 0.5715409  0.58       0.58841234],[0.01650407 0.62171    0.63       0.63821405],[0.01692329 0.5615179  0.57       0.5784412 ],[0.01678037 0.58658206 0.595      0.60336244],[0.01566551 0.6921088  0.7        0.70777434],[0.01613465 0.6568845  0.665      0.6730191 ],[0.01684288 0.57655376 0.585      0.5933966 ],[0.01630474 0.6418038  0.65       0.65810853],[0.01674641 0.59159756 0.6        0.60834396],[0.01048401 0.88964266 0.895      0.90012664],[0.01678217 0.85139877 0.86       0.86818093],[0.01726875 0.84116125 0.85       0.85843   ],[0.01626673 0.86165065 0.87       0.87791735],[0.0131313  0.9131892  0.92       0.92632043],[0.01203945 0.8488766  0.855      0.860916  ],[0.01601113 0.6669433  0.675      0.68295443],[0.01640827 0.63175493 0.64       0.64816326],[0.01551194 0.70218265 0.71       0.71769464],[0.01551194 0.70218265 0.71       0.71769464],[0.01601113 0.6669433  0.675      0.68295443],[0.01594627 0.6719743  0.68       0.6879206 ]
1.0,-4.5090747,[0.01145107 0.33429784 0.34       0.3457489 ],[0.01186631 0.39908072 0.405      0.41094705],[0.01193075 0.41404632 0.42       0.42597708],[0.01379088 0.41645283 0.42333335 0.43024373],[0.01177659 0.38162816 0.3875     0.39340472],[0.01170273 0.3691669  0.375      0.38086963],[0.01379088 0.41645283 0.42333335 0.43024373],[0.0136347  0.38653678 0.39333335 0.40017146],[0.01365468 0.38985944 0.39666668 0.40351415],[0.01352479 0.36992833 0.37666667 0.3834531 ],[0.01499516 0.7324323  0.74       0.7474275 ],[0.01416209 0.77283716 0.78       0.7869992 ],[0.01427604 0.7677817  0.775      0.7820577 ],[0.01367546 0.79307467 0.8        0.8067501 ],[0.01367546 0.79307467 0.8        0.8067501 ],[0.01237429 0.8387121  0.845      0.8510864 ],[0.01391829 0.45638135 0.46333334 0.47029963],[0.01385504 0.43308416 0.44       0.4469392 ],[0.01394468 0.47303155 0.48       0.48697624],[0.01395089 0.5063553  0.5133333  0.5203062 ],[0.0139481  0.5096894  0.51666665 0.5236375 ],[0.01208581 0.49895638 0.505      0.5110422 ]
2.0,-3.5090747,[0.008369   0.23084131 0.235      0.23921031],[0.00822063 0.21924995 0.22333333 0.22747059],[0.00854687 0.24575092 0.25       0.2542978 ],[0.00834835 0.22918513 0.23333333 0.23753348],[0.00848914 0.24078026 0.245      0.2492694 ],[0.00808608 0.2093182  0.21333334 0.21740429],[0.00955393 0.26125038 0.266      0.2708043 ],[0.00817655 0.21593899 0.22       0.22411555],[0.00760505 0.21907775 0.22285715 0.2266828 ],[0.00815423 0.21428365 0.21833333 0.22243789],[0.01659228 0.6116688  0.62       0.6282611 ],[0.01674641 0.59159756 0.6        0.60834396],[0.01625004 0.6468297  0.655      0.66307974],[0.01630474 0.6418038  0.65       0.65810853],[0.01650407 0.62171    0.63       0.63821405],[0.0158793 0.6770063 0.685     0.6928856],[0.00877984 0.267299   0.27166668 0.27607882],[0.00789776 0.24464352 0.24857143 0.25254127],[0.00783609 0.23896055 0.24285714 0.24679665],[0.00895632 0.2855423  0.29       0.29449862],[0.00791288 0.24606442 0.25       0.2539773 ],[0.00809931 0.2645411  0.26857144 0.2726404 ]
3.0,-2.5090747,[0.00273776 0.07500601 0.07636364 0.07774377],[0.00487344 0.12576483 0.12818182 0.13063829],[0.00389579 0.10740065 0.10933334 0.11129644],[0.00421825 0.09957694 0.10166667 0.10379519],[0.00325502 0.08250442 0.08411764 0.08575945],[0.00476826 0.11945412 0.12181818 0.12422239],[0.00386443 0.09737021 0.09928571 0.10123465],[0.00538059 0.12511164 0.12777779 0.13049224],[0.00383958 0.09595414 0.09785714 0.09979372],[0.00470629 0.11584894 0.11818182 0.12055524],[0.01386597 0.4364114  0.44333333 0.45027736],[0.01388592 0.44306678 0.45       0.4569527 ],[0.01193075 0.41404632 0.42       0.42597708],[0.01384348 0.42975727 0.43666667 0.44360074],[0.01393599 0.46637055 0.47333333 0.48030654],[0.01393599 0.46637055 0.47333333 0.48030654],[0.00377824 0.11577107 0.11764706 0.11954932],[0.00319241 0.09491558 0.0965     0.09810799],[0.00295681 0.08898702 0.09045455 0.09194383],[0.00336631 0.10096065 0.10263158 0.10432696],[0.00288876 0.08447571 0.08590909 0.08736446],[0.00339667 0.10305067 0.10473684 0.10644733]
4.0,-1.5090747,[0.0008527  0.02249419 0.02291667 0.02334689],[0.00302679 0.07026602 0.07176471 0.07329282],[0.00108346 0.02682197 0.02735849 0.02790543],[0.00220092 0.05370995 0.0548     0.05591087],[0.00093498 0.0240681  0.02453125 0.02500308],[0.00221599 0.05450239 0.0556     0.05671838],[0.00113314 0.0288618  0.02942308 0.02999493],[0.00259756 0.06021404 0.0615     0.06281159],[0.00125393 0.0313355  0.03195652 0.03258943],[0.00235335 0.05666065 0.05782609 0.059014  ],[0.01384348 0.42975727 0.43666667 0.44360074],[0.00862148 0.2523796  0.25666666 0.2610011 ],[0.00877984 0.267299   0.27166668 0.27607882],[0.00874577 0.263983   0.26833335 0.2727288 ],[0.00892558 0.28222466 0.28666666 0.2911502 ],[0.00819211 0.27449384 0.27857143 0.28268597],[0.00083879 0.02553628 0.02595238 0.02637507],[0.00072327 0.02254115 0.0229     0.02326442],[0.00064972 0.01995042 0.02027273 0.02060014],[0.00100909 0.03051392 0.03101449 0.03152301],[0.00068032 0.02193511 0.02227273 0.02261542],[0.00073154 0.02259626 0.02295918 0.0233278 ]
5.0,-0.5090747,[0.00015136 0.00397842 0.0040534  0.00412978],[0.00131991 0.0300969  0.03075    0.03141681],[0.00020314 0.00529412 0.00539474 0.00549726],[0.00086149 0.02065048 0.02107692 0.02151197],[0.00020347 0.00540082 0.00550162 0.00560429],[0.00103463 0.0234097  0.02392157 0.02444434],[0.00021933 0.00531129 0.00541985 0.00553061],[0.00118464 0.02592574 0.02651163 0.02711038],[0.00024138 0.00584691 0.00596639 0.00608829],[0.00105898 0.02355782 0.02408163 0.0246168 ],[0.01138825 0.32683036 0.3325     0.3382186 ],[0.00521841 0.14831841 0.1509091  0.15353683],[0.00486712 0.13925056 0.14166667 0.14411767],[0.00458803 0.13310698 0.13538462 0.13769501],[0.00452118 0.12852526 0.13076924 0.13304642],[0.00486712 0.13925056 0.14166667 0.14411767],[0.00010663 0.00356381 0.00361673 0.00367044],[8.6458524e-05 2.7883570e-03 2.8312572e-03 2.8748154e-03],[8.8211054e-05 2.8100356e-03 2.8538012e-03 2.8982467e-03],[0.00011614 0.00382296 0.0038806  0.0039391 ],[0.00010176 0.00328284 0.00333333 0.0033846 ],[0.00010224 0.00331811 0.00336884 0.00342035]
6.0,0.4909253,[2.6109428e-05 7.0367649e-04 7.1661238e-04 7.2978588e-04],[0.00074403 0.01648916 0.01685714 0.01723319],[2.9017661e-05 6.9847988e-04 7.1284123e-04 7.2749757e-04],[0.0004303  0.00986649 0.01007937 0.01029679],[3.8914826e-05 9.9605450e-04 1.0153257e-03 1.0349693e-03],[0.00043736 0.00961566 0.00983193 0.01005302],[3.2417196e-05 8.0263295e-04 8.1868132e-04 8.3505019e-04],[0.00053595 0.01179682 0.01206186 0.01233277],[2.9917854e-05 7.8747264e-04 8.0229226e-04 8.1739045e-04],[0.00038936 0.00870449 0.00889706 0.00909385],[0.00943629 0.25131035 0.256      0.26074666],[0.00202033 0.05641753 0.05741936 0.05843786],[0.00188621 0.05209512 0.0530303  0.05398132],[0.00186164 0.05231215 0.05323529 0.05417379],[0.00207454 0.05763799 0.05866667 0.05971253],[0.00206239 0.0589771  0.06       0.06103949],[9.5739624e-06 3.3940584e-04 3.4415955e-04 3.4897978e-04],[7.0631445e-06 2.3699841e-04 2.4050409e-04 2.4406156e-04],[6.0098905e-06 2.0465242e-04 2.0763563e-04 2.1066230e-04],[9.7549928e-06 3.2549253e-04 3.3033403e-04 3.3524749e-04],[6.3100679e-06 2.1874838e-04 2.2188100e-04 2.2505844e-04],[6.6817915e-06 2.2712095e-04 2.3043767e-04 2.3380276e-04]
