Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_NSYS_CR_BP,BCH_NSYS_CR_GNBP_0,BCH_NSYS_CR_GNBP_1,BCH_NSYS_CR_GNBP_2,BCH_NSYS_CR_GNBP_3,BCH_NSYS_CR_GNBP_4,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4
0.0,-1.4612803,447.0,510.0,467.0,448.0,484.0,491.0,501.0,527.0,474.0,492.0,518.0,518.0,531.0,517.0,493.0,531.0,553.0,533.0,514.0,504.0,542.0,546.0,549.0,538.0,539.0,487.0,549.0,539.0
1.0,-0.46128035,645.0,660.0,626.0,626.0,672.0,619.0,668.0,627.0,601.0,642.0,774.0,436.0,414.0,403.0,413.0,387.0,734.0,400.0,403.0,771.0,781.0,704.0,769.0,805.0,409.0,394.0,707.0,441.0
2.0,0.53871965,469.0,503.0,436.0,576.0,529.0,477.0,482.0,564.0,499.0,517.0,607.0,601.0,597.0,561.0,560.0,574.0,444.0,510.0,506.0,434.0,417.0,427.0,517.0,492.0,503.0,493.0,532.0,524.0
3.0,1.5387197,440.0,485.0,434.0,459.0,426.0,417.0,467.0,492.0,467.0,480.0,459.0,600.0,605.0,613.0,416.0,603.0,448.0,481.0,495.0,465.0,474.0,490.0,432.0,442.0,488.0,535.0,493.0,478.0
4.0,2.5387197,423.0,442.0,427.0,432.0,429.0,436.0,421.0,428.0,434.0,443.0,514.0,491.0,419.0,424.0,536.0,409.0,439.0,448.0,448.0,419.0,444.0,444.0,478.0,451.0,439.0,454.0,438.0,446.0
5.0,3.5387197,421.0,424.0,424.0,425.0,421.0,423.0,422.0,422.0,421.0,421.0,460.0,434.0,480.0,463.0,461.0,443.0,422.0,422.0,430.0,422.0,426.0,428.0,439.0,437.0,428.0,425.0,423.0,425.0
6.0,4.5387197,420.0,423.0,420.0,432.0,421.0,422.0,419.0,425.0,421.0,428.0,424.0,439.0,427.0,442.0,426.0,454.0,421.0,421.0,422.0,422.0,423.0,422.0,427.0,421.0,422.0,424.0,423.0,421.0
