Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_NSYS_CR_BP,BCH_NSYS_CR_GNBP_0,BCH_NSYS_CR_GNBP_1,BCH_NSYS_CR_GNBP_2,BCH_NSYS_CR_GNBP_3,BCH_NSYS_CR_GNBP_4,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4
0.0,-1.4612803,[0.00914913 0.09485241 0.09933333 0.10400154],[0.00969568 0.10857587 0.11333334 0.11827155],[0.00932824 0.09920625 0.10377778 0.1085345 ],[0.00915822 0.09507003 0.09955555 0.10422825],[0.00947629 0.10290913 0.10755555 0.11238542],[0.00953617 0.10443438 0.10911111 0.11397056],[0.00962067 0.10661384 0.11133333 0.1162345 ],[0.00983477 0.11228321 0.11711111 0.12211797],[0.00938965 0.10073075 0.10533334 0.1101204 ],[0.00954468 0.1046523  0.10933334 0.11419697],[0.00976155 0.11032028 0.11511111 0.12008183],[0.00976155 0.11032028 0.11511111 0.12008183],[0.00986702 0.11315577 0.118      0.12302278],[0.00975336 0.11010221 0.11488889 0.11985557],[0.00955317 0.10487022 0.10955556 0.11442339],[0.00986702 0.11315577 0.118      0.12302278],[0.01004121 0.11795641 0.12288889 0.12799762],[0.00988307 0.11359207 0.11844444 0.12347515],[0.00972871 0.10944802 0.11422222 0.11917673],[0.00964578 0.1072678  0.112      0.11691357],[0.00995477 0.11555576 0.12044445 0.12551053],[0.00998635 0.11642865 0.12133333 0.126415  ],[0.01000993 0.11708337 0.122      0.1270933 ],[0.00992302 0.11468296 0.11955556 0.12460597],[0.00993097 0.11490115 0.11977778 0.12483212],[0.00950203 0.10356277 0.10822222 0.1130648 ],[0.01000993 0.11708337 0.122      0.1270933 ],[0.00993097 0.11490115 0.11977778 0.12483212]
1.0,-0.46128035,[0.00557865 0.06892739 0.07166667 0.07450604],[0.00563803 0.07056417 0.07333333 0.07620221],[0.00550218 0.06685477 0.06955556 0.07235695],[0.00550218 0.06685477 0.06955556 0.07235695],[0.00568492 0.07187392 0.07466666 0.07755883],[0.00547365 0.06609135 0.06877778 0.07156499],[0.00566935 0.07143731 0.07422222 0.07710665],[0.00550624 0.06696383 0.06966667 0.07247008],[0.00539933 0.06412874 0.06677778 0.06952807],[0.00556667 0.06860009 0.07133333 0.07416676],[0.00606334 0.08301671 0.086      0.08908005],[0.00904825 0.09245898 0.09688889 0.10150723],[0.00884112 0.08767479 0.092      0.09651592],[0.00873476 0.0852841  0.08955555 0.09401886],[0.00883153 0.08745742 0.09177778 0.09628895],[0.00857654 0.08180849 0.086      0.09038503],[0.00591903 0.07864494 0.08155555 0.08456396],[0.00870542 0.08463226 0.08888889 0.09333768],[0.00873476 0.0852841  0.08955555 0.09401886],[0.00605269 0.08268874 0.08566666 0.08874143],[0.00608808 0.08378202 0.08677778 0.0898701 ],[0.00580741 0.07536781 0.07822222 0.08117521],[0.00604557 0.0824701  0.08544444 0.08851567],[0.00617183 0.08640651 0.08944444 0.09257833],[0.00879301 0.086588   0.09088889 0.09538101],[0.00864628 0.08332881 0.08755556 0.09197509],[0.0058187  0.07569545 0.07855555 0.08151416],[0.00909432 0.09354679 0.098      0.10264111]
2.0,0.53871965,[0.00323446 0.03315976 0.03474074 0.03639422],[0.00334515 0.03562274 0.03725926 0.03896789],[0.00312267 0.0307714  0.0322963  0.03389407],[0.00356936 0.04091762 0.04266667 0.04448698],[0.00342699 0.03750759 0.03918518 0.04093459],[0.00326089 0.03373909 0.03533333 0.03699998],[0.00327729 0.03410123 0.0357037  0.03737853],[0.00353366 0.04004665 0.04177778 0.04358031],[0.00333235 0.03533287 0.03696296 0.03866521],[0.00338951 0.03663751 0.0382963  0.04002702],[0.00542426 0.06478287 0.06744444 0.07020713],[0.00539933 0.06412874 0.06677778 0.06952807],[0.00538263 0.0636927  0.06633333 0.06907532],[0.00522913 0.05976991 0.06233333 0.06499904],[0.00522478 0.05966099 0.06222222 0.06488577],[0.00528524 0.06118613 0.06377777 0.06647137],[0.00468471 0.04704365 0.04933333 0.05172836],[0.00500106 0.05421795 0.05666667 0.05921901],[0.0049826  0.05378279 0.05622222 0.05876539],[0.00463442 0.04595781 0.04822222 0.05059223],[0.00454737 0.04411267 0.04633333 0.04866003],[0.00459882 0.04519792 0.04744444 0.04979674],[0.00503315 0.05497959 0.05744445 0.06001274],[0.00491731 0.05226006 0.05466667 0.05717736],[0.0049687  0.05345644 0.05588889 0.05842514],[0.00492201 0.0523688  0.05477778 0.05729081],[0.00510105 0.0566121  0.05911111 0.06171316],[0.00506498 0.05574136 0.05822222 0.06080634]
3.0,1.5387197,[0.00105723 0.01034829 0.0108642  0.01140552],[0.00142375 0.01470113 0.01539683 0.01612488],[0.00118054 0.01147954 0.01205556 0.01266008],[0.0012136  0.01215744 0.01275    0.01337104],[0.00133571 0.0128722  0.01352381 0.01420791],[0.00154029 0.01469318 0.01544444 0.01623347],[0.00122398 0.01237446 0.01297222 0.01359844],[0.00143381 0.01491832 0.01561905 0.01635213],[0.00122398 0.01237446 0.01297222 0.01359844],[0.00141651 0.01454603 0.0152381  0.01596254],[0.00320106 0.03243579 0.034      0.03563684],[0.00363952 0.04266018 0.04444445 0.0462997 ],[0.00365393 0.04302331 0.04481481 0.04667724],[0.00367684 0.0436044  0.04540741 0.04728125],[0.00454218 0.04400416 0.04622222 0.04854635],[0.00364817 0.04287806 0.04466667 0.04652623],[0.0023831  0.0237251  0.02488889 0.0261082 ],[0.00246689 0.02551644 0.02672222 0.02798332],[0.00200687 0.02101891 0.022      0.02302578],[0.00242667 0.02464771 0.02583333 0.02707437],[0.00196483 0.02010664 0.02106667 0.02207147],[0.00199695 0.02080166 0.02177778 0.02279861],[0.0031088  0.03048207 0.032      0.03359087],[0.00236751 0.02339958 0.02455556 0.0257671 ],[0.00248426 0.02589662 0.02711111 0.02838087],[0.00259752 0.02845094 0.02972222 0.03104846],[0.00249658 0.02616822 0.02738889 0.0286648 ],[0.0024594  0.02535352 0.02655555 0.02781292]
4.0,2.5387197,[0.00031221 0.0029811  0.00313333 0.00329331],[0.00038281 0.00374212 0.00392889 0.00412493],[0.00022962 0.00220239 0.00231436 0.00243201],[0.00029581 0.00285573 0.003      0.00315154],[0.00026955 0.00259235 0.00272381 0.00286191],[0.00052767 0.0051253  0.00538272 0.00565298],[0.0003222  0.00306896 0.00322605 0.00339116],[0.00033643 0.00323275 0.00339683 0.00356919],[0.00024334 0.00235425 0.00247293 0.00259759],[0.00036853 0.00360652 0.00378632 0.00397505],[0.00146497 0.01560113 0.01631746 0.01706609],[0.00249166 0.02605957 0.02727778 0.02855123],[0.00306325 0.02954195 0.03103704 0.0326052 ],[0.00308086 0.02990348 0.03140741 0.03298435],[0.00259987 0.02850532 0.02977778 0.03110519],[0.00302768 0.02881905 0.0302963  0.03184673],[0.00105604 0.01032419 0.01083951 0.01138023],[0.0006871  0.00677579 0.00711111 0.00746289],[0.00064145 0.006324   0.00663704 0.00696545],[0.0006205  0.00590485 0.00620741 0.00652535],[0.00068405 0.00671382 0.00704762 0.00739788],[0.00059881 0.00587448 0.00616667 0.00647329],[0.00141361 0.01448399 0.0151746  0.0158976 ],[0.00096373 0.00955181 0.01002222 0.01051554],[0.00105604 0.01032419 0.01083951 0.01138023],[0.0008794  0.00874245 0.00917172 0.00962185],[0.00086393 0.00842696 0.00884848 0.00929089],[0.00095843 0.00944335 0.00991111 0.01040178]
5.0,3.5387197,[3.5989273e-05 3.4228366e-04 3.5982905e-04 3.7827293e-04],[8.4577820e-05 8.0761110e-04 8.4884884e-04 8.9218892e-04],[3.4779634e-05 3.3201399e-04 3.4897120e-04 3.6679365e-04],[5.4654694e-05 5.2244711e-04 5.4909562e-04 5.7710177e-04],[3.5045901e-05 3.3330987e-04 3.5039533e-04 3.6835577e-04],[0.00010082 0.0009616  0.00101075 0.00106242],[4.2972344e-05 4.0922282e-04 4.3017330e-04 4.5219515e-04],[8.753147e-05 8.337525e-04 8.764278e-04 9.212840e-04],[3.3903292e-05 3.2244099e-04 3.3896940e-04 3.5634427e-04],[6.9301044e-05 6.5921817e-04 6.9300411e-04 7.2851917e-04],[0.00060943 0.00609139 0.00638889 0.00670081],[0.00157083 0.01530751 0.01607407 0.01687834],[0.00165046 0.01697133 0.01777778 0.01862179],[0.00162152 0.0163562  0.01714815 0.01797772],[0.00161808 0.01628385 0.01707407 0.01790193],[0.00158675 0.01563287 0.01640741 0.01721962],[0.00019502 0.00185862 0.0019537  0.00205364],[9.3655784e-05 8.9211651e-04 9.3777780e-04 9.8577235e-04],[0.00010504 0.00101051 0.00106173 0.00111554],[0.00011017 0.00104955 0.00110327 0.00115973],[9.5047661e-05 9.0988353e-04 9.5622893e-04 1.0049312e-03],[0.0001084  0.00104037 0.00109323 0.00114877],[0.00068022 0.00663638 0.00696825 0.0073166 ],[0.00021166 0.00205478 0.00215802 0.00226644],[0.00022988 0.00220768 0.00231978 0.00243756],[0.00019987 0.001912   0.00200946 0.00211187],[0.00021298 0.00203252 0.00213636 0.0022455 ],[0.00019987 0.001912   0.00200946 0.00211187]
6.0,4.5387197,[3.8499243e-06 3.6563586e-05 3.8440416e-05 4.0413513e-05],[1.1755044e-05 1.1206340e-04 1.1779449e-04 1.2381845e-04],[3.5488347e-06 3.3704022e-05 3.5434066e-05 3.7252856e-05],[1.2263442e-05 1.1821092e-04 1.2419146e-04 1.3047436e-04],[3.9190622e-06 3.7266778e-05 3.9177368e-05 4.1185842e-05],[1.4848336e-05 1.4137874e-04 1.4861772e-04 1.5622708e-04],[3.2967946e-06 3.1271091e-05 3.2878219e-05 3.4567885e-05],[1.1061976e-05 1.0571760e-04 1.1111111e-04 1.1677957e-04],[2.7182043e-06 2.5847530e-05 2.7172686e-05 2.8565733e-05],[9.6185868e-06 9.2263057e-05 9.6953219e-05 1.0188164e-04],[0.0002842  0.00271664 0.00285522 0.00300084],[0.00079312 0.00774265 0.00812963 0.00853577],[0.00085312 0.00821015 0.00862626 0.00906326],[0.0007958  0.00779686 0.00818519 0.00859267],[0.00093693 0.00900967 0.00946667 0.0099466 ],[0.00080643 0.00801377 0.00840741 0.0088202 ],[2.9896160e-05 2.8432466e-04 2.9889954e-04 3.1422082e-04],[7.498840e-06 7.130861e-05 7.496439e-05 7.880745e-05],[7.769182e-06 7.397166e-05 7.775935e-05 8.174084e-05],[7.4244454e-06 7.0689246e-05 7.4308860e-05 7.8113691e-05],[9.3246927e-06 8.8893183e-05 9.3439361e-05 9.8217875e-05],[9.5705300e-06 9.1123460e-05 9.5789357e-05 1.0069399e-04],[0.00017122 0.00164176 0.00172525 0.00181298],[3.2718061e-05 3.1116672e-04 3.2711733e-04 3.4388478e-04],[3.0124047e-05 2.8684986e-04 3.0153626e-04 3.1697389e-04],[2.9438101e-05 2.8101460e-04 2.9536747e-04 3.1045271e-04],[2.9129516e-05 2.7772353e-04 2.9192548e-04 3.0685303e-04],[2.8529155e-05 2.7132194e-04 2.8523034e-04 2.9985109e-04]
