Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_NSYS_CR_BP,BCH_NSYS_CR_GNBP_0,BCH_NSYS_CR_GNBP_1,BCH_NSYS_CR_GNBP_2,BCH_NSYS_CR_GNBP_3,BCH_NSYS_CR_GNBP_4,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4
0.0,-1.4612803,87.0,93.0,92.0,95.0,90.0,96.0,90.0,97.0,91.0,95.0,100.0,100.0,100.0,100.0,98.0,100.0,99.0,97.0,98.0,99.0,99.0,97.0,99.0,95.0,99.0,98.0,97.0,96.0
1.0,-0.46128035,150.0,157.0,151.0,154.0,147.0,158.0,155.0,153.0,143.0,153.0,188.0,98.0,99.0,98.0,99.0,96.0,184.0,89.0,89.0,179.0,183.0,169.0,175.0,178.0,92.0,88.0,167.0,95.0
2.0,0.53871965,131.0,139.0,121.0,158.0,151.0,139.0,138.0,156.0,133.0,132.0,175.0,193.0,192.0,191.0,183.0,189.0,131.0,136.0,143.0,132.0,123.0,126.0,132.0,135.0,131.0,132.0,137.0,144.0
3.0,1.5387197,155.0,146.0,147.0,152.0,142.0,122.0,147.0,156.0,150.0,134.0,157.0,254.0,263.0,271.0,175.0,256.0,141.0,157.0,163.0,153.0,171.0,163.0,125.0,139.0,154.0,167.0,168.0,153.0
4.0,2.5387197,152.0,133.0,175.0,150.0,164.0,130.0,141.0,131.0,154.0,122.0,152.0,288.0,228.0,234.0,289.0,231.0,136.0,162.0,174.0,168.0,173.0,185.0,125.0,156.0,156.0,162.0,147.0,157.0
5.0,3.5387197,177.0,151.0,209.0,169.0,175.0,138.0,149.0,135.0,160.0,138.0,135.0,305.0,341.0,315.0,309.0,325.0,150.0,179.0,177.0,165.0,187.0,173.0,109.0,173.0,163.0,162.0,168.0,160.0
6.0,4.5387197,181.0,136.0,248.0,172.0,191.0,163.0,168.0,143.0,169.0,141.0,96.0,362.0,353.0,375.0,345.0,376.0,145.0,195.0,199.0,196.0,186.0,176.0,107.0,183.0,181.0,177.0,176.0,185.0
