Eb/N0 (dB) ,SNR(dB)     ,AE_GNBP_0              ,AE_GNBP_0_BP       ,AE_GNBP_1             ,AE_GNBP_1_BP       ,AE_GNBP_2             ,AE_GNBP_2_BP       ,AE_GNBP_3             ,AE_GNBP_3_BP       ,AE_GNBP_4              ,AE_GNBP_4_BP          ,BCH_NSYS_BP        ,BCH_NSYS_GNBP_0    ,BCH_NSYS_GNBP_1    ,BCH_NSYS_GNBP_2    ,BCH_NSYS_GNBP_3    ,BCH_NSYS_GNBP_4    ,BCH_NSYS_BP_NACH ,BCH_NSYS_NBP_NACH ,BCH_NSYS_CR_BP     ,BCH_NSYS_CR_GNBP_0    ,BCH_NSYS_CR_GNBP_1  ,BCH_NSYS_CR_GNBP_2    ,BCH_NSYS_CR_GNBP_3   ,BCH_NSYS_CR_GNBP_4    ,BCH_NSYS_CR_BP_NACH ,BCH_NSYS_CR_NBP_NACH ,BCH_NSYS_CR_Perm_RNN_NACH ,BCH_SYS_BP            ,BCH_SYS_GNBP_0        ,BCH_SYS_GNBP_1        ,BCH_SYS_GNBP_2        ,BCH_SYS_GNBP_3         ,BCH_SYS_GNBP_4         ,BCH_ML_OSD
0.0        ,-1.4612803  ,0.0993333309888839     ,0.1133333370089531 ,0.1037777811288833    ,0.0995555520057678 ,0.10755555331707      ,0.1091111078858375 ,0.1113333329558372    ,0.1171111091971397 ,0.1053333356976509     ,0.109333336353302     ,0.1151111125946044 ,0.1151111125946044 ,0.1180000007152557 ,0.1148888915777206 ,0.1095555573701858 ,0.1180000007152557 ,0                ,0                 ,0.1228888854384422 ,0.1184444427490234    ,0.1142222210764885  ,0.1120000034570694    ,0.1204444468021392   ,0.1213333308696746    ,0                   ,0                    ,0                         ,0.12200000137090683   ,0.11955555528402328   ,0.11977777630090714   ,0.10822222381830215   ,0.12200000137090683    ,0.11977777630090714    ,0
1.0        ,-0.46128035 ,0.0716666653752327     ,0.0733333304524421 ,0.0695555582642555    ,0.0695555582642555 ,0.0746666640043258    ,0.0687777772545814 ,0.0742222219705581    ,0.0696666687726974 ,0.0667777806520462     ,0.0713333338499069    ,0.0860000029206276 ,0.096888892352581  ,0.0920000001788139 ,0.0895555540919303 ,0.09177777916193   ,0.0860000029206276 ,0.09             ,0.09              ,0.0815555527806282 ,0.0888888910412788    ,0.0895555540919303  ,0.0856666639447212    ,0.086777776479721    ,0.0782222226262092    ,0.09                ,0.09                 ,0.06                      ,0.08544444292783737   ,0.08944444358348846   ,0.09088888764381409   ,0.08755555748939514   ,0.07855555415153503    ,0.09799999743700027    ,0.06
2.0        ,0.53871965  ,0.0347407422959804     ,0.0372592583298683 ,0.0322962962090969    ,0.0426666662096977 ,0.0391851849853992    ,0.0353333316743373 ,0.0357037037611007    ,0.041777778416872  ,0.0369629636406898     ,0.0382962971925735    ,0.0674444437026977 ,0.0667777806520462 ,0.0663333311676979 ,0.0623333342373371 ,0.0622222237288951 ,0.0637777745723724 ,0.06             ,0.06              ,0.0493333339691162 ,0.0566666685044765    ,0.0562222227454185  ,0.0482222214341163    ,0.0463333316147327   ,0.0474444441497325    ,0.05                ,0.048                ,0.02                      ,0.05744444578886032   ,0.054666668176651     ,0.055888887494802475  ,0.054777778685092926  ,0.059111110866069794   ,0.058222223073244095   ,0.02
3.0        ,1.5387197   ,0.0108641972765326     ,0.0153968250378966 ,0.012055555358529     ,0.0127499997615814 ,0.0135238096117973    ,0.0154444444924592 ,0.0129722226411104    ,0.0156190479174256 ,0.0129722226411104     ,0.015238095074892     ,0.0340000018477439 ,0.0444444455206394 ,0.0448148138821125 ,0.0454074069857597 ,0.0462222211062908 ,0.0446666665375232 ,0.034            ,0.032             ,0.0248888880014419 ,0.0267222225666046    ,0.0219999998807907  ,0.0258333329111337    ,0.0210666675120592   ,0.0217777770012617    ,0.024               ,0.02                 ,0.003                     ,0.03200000151991844   ,0.02455555647611618   ,0.0271111112087965    ,0.029722223058342934  ,0.027388889342546463   ,0.026555554941296577   ,0.003
4.0        ,2.5387197   ,0.0031333332881331     ,0.003928889054805  ,0.0023143631406128    ,0.003000000026077  ,0.0027238095644861    ,0.0053827161900699 ,0.003226053668186     ,0.0033968253992497 ,0.0024729345459491     ,0.0037863247562199    ,0.0163174606859684 ,0.0272777769714593 ,0.0310370363295078 ,0.0314074084162712 ,0.0297777783125638 ,0.0302962958812713 ,0.019            ,0.0125            ,0.0108395060524344 ,0.00711111119017      ,0.0066370372660458  ,0.006207407452166     ,0.0070476192049682   ,0.0061666667461395    ,0.009               ,0.0065               ,0.0003                    ,0.015174603089690208  ,0.010022222064435482  ,0.010839506052434444  ,0.009171716868877411  ,0.008848484605550766   ,0.009911111555993557   ,0.0002
5.0        ,3.5387197   ,0.0003598290495574     ,0.0008488488383591 ,0.0003489711962174    ,0.0005490956245921 ,0.0003503953339532    ,0.0010107526322826 ,0.0004301732988096    ,0.0008764278027229 ,0.0003389694029465     ,0.0006930041126906    ,0.0063888886943459 ,0.0160740744322538 ,0.0177777782082557 ,0.0171481482684612 ,0.0170740745961666 ,0.0164074078202247 ,0.007            ,0.003             ,0.0019537038169801 ,0.0009377778042107    ,0.0010617283405736  ,0.0011032680049538    ,0.0009562289342284   ,0.0010932311415672    ,0.0017              ,0.001                ,0.00001                   ,0.006968253757804632  ,0.0021580245811492205 ,0.002319783205166459  ,0.002009456278756261  ,0.00213636364787817    ,0.002009456278756261   ,0.0000075
6.0        ,4.5387197   ,3.8440415664808825e-05 ,0.0001177944868686 ,3.543406637618318e-05 ,0.0001241914578713 ,3.917736830771901e-05 ,0.000148617720697  ,3.287821891717613e-05 ,0.0001111111123464 ,2.7172685804544017e-05 ,9.695321932667866e-05 ,0.0028552189469337 ,0.0081296293064951 ,0.0086262626573443 ,0.0081851854920387 ,0.0094666667282581 ,0.0084074074402451 ,0.0022           ,0.00047           ,0.000298899540212  ,7.496438774978742e-05 ,7.7759352279827e-05 ,7.430886034853756e-05 ,9.34393610805273e-05 ,9.578935714671388e-05 ,0.0003              ,0.0001               ,0                         ,0.0017252524849027395 ,0.0003271173336543143 ,0.0003015362599398941 ,0.0002953674702439457 ,0.00029192547663114965 ,0.00028523034416139126 ,0
