Eb/N0 (dB) ,SNR(dB)     ,AE_GNBP_0          ,AE_GNBP_0_BP       ,AE_GNBP_1          ,AE_GNBP_1_BP       ,AE_GNBP_2          ,AE_GNBP_2_BP       ,AE_GNBP_3          ,AE_GNBP_3_BP       ,AE_GNBP_4          ,AE_GNBP_4_BP       ,BCH_NSYS_BP        ,BCH_NSYS_GNBP_0    ,BCH_NSYS_GNBP_1    ,BCH_NSYS_GNBP_2    ,BCH_NSYS_GNBP_3    ,BCH_NSYS_GNBP_4    ,BCH_NSYS_BP_NACH ,BCH_NSYS_NBP_NACH ,BCH_NSYS_CR_BP     ,BCH_NSYS_CR_GNBP_0 ,BCH_NSYS_CR_GNBP_1 ,BCH_NSYS_CR_GNBP_2 ,BCH_NSYS_CR_GNBP_3 ,BCH_NSYS_CR_GNBP_4 ,BCH_NSYS_BP_NACH ,BCH_NSYS_NBP_NACH ,BCH_NSYS_CR_Perm_RNN_NACH ,BCH_SYS_BP          ,BCH_SYS_GNBP_0       ,BCH_SYS_GNBP_1       ,BCH_SYS_GNBP_2       ,BCH_SYS_GNBP_3        ,BCH_SYS_GNBP_4       ,BCH_ML_OSD
0.0        ,-1.4612803  ,0.8700000047683716 ,0.9300000071525574 ,0.9200000166893004 ,0.949999988079071  ,0.8999999761581421 ,0.959999978542328  ,0.8999999761581421 ,0.9700000286102296 ,0.9100000262260436 ,0.949999988079071  ,1.0                ,1.0                ,1.0                ,1.0                ,0.9800000190734864 ,1.0                ,0                ,0                 ,0.9900000095367432 ,0.9700000286102296 ,0.9800000190734864 ,0.9900000095367432 ,0.9900000095367432 ,0.9700000286102296 ,0                ,0                 ,0                         ,0.9900000095367432  ,0.949999988079071    ,0.9900000095367432   ,0.9800000190734863   ,0.9700000286102295    ,0.9599999785423279   ,0
1.0        ,-0.46128035 ,0.75               ,0.7850000262260437 ,0.7549999952316284 ,0.7699999809265137 ,0.7350000143051147 ,0.7900000214576721 ,0.7749999761581421 ,0.7649999856948853 ,0.7149999737739563 ,0.7649999856948853 ,0.9399999976158142 ,0.9800000190734864 ,0.9900000095367432 ,0.9800000190734864 ,0.9900000095367432 ,0.959999978542328  ,0                ,0                 ,0.9200000166893004 ,0.8899999856948853 ,0.8899999856948853 ,0.8949999809265137 ,0.915000021457672  ,0.8450000286102295 ,0                ,0                 ,0                         ,0.875               ,0.8899999856948853   ,0.9200000166893005   ,0.8799999952316284   ,0.8349999785423279    ,0.949999988079071    ,0
2.0        ,0.53871965  ,0.4366666674613952 ,0.4633333384990692 ,0.4033333361148834 ,0.5266666412353516 ,0.503333330154419  ,0.4633333384990692 ,0.4600000083446502 ,0.5199999809265137 ,0.4433333277702331 ,0.4399999976158142 ,0.875              ,0.9649999737739564 ,0.959999978542328  ,0.9549999833106996 ,0.915000021457672  ,0.9449999928474426 ,0                ,0                 ,0.6549999713897705 ,0.6800000071525574 ,0.7149999737739563 ,0.6600000262260437 ,0.6150000095367432 ,0.6299999952316284 ,0                ,0                 ,0                         ,0.6600000262260437  ,0.675000011920929    ,0.6549999713897705   ,0.6600000262260437   ,0.6850000023841858    ,0.7200000286102295   ,0
3.0        ,1.5387197   ,0.172222226858139  ,0.2085714340209961 ,0.1837500035762787 ,0.1899999976158142 ,0.2028571367263794 ,0.2033333331346511 ,0.1837500035762787 ,0.2228571474552154 ,0.1875             ,0.1914285719394683 ,0.5233333110809326 ,0.846666693687439  ,0.8766666650772095 ,0.903333306312561  ,0.875              ,0.8533333539962769 ,0                ,0                 ,0.3524999916553497 ,0.3925000131130218 ,0.3260000050067901 ,0.3824999928474426 ,0.3420000076293945 ,0.3260000050067901 ,0                ,0                 ,0                         ,0.4166666567325592  ,0.3474999964237213   ,0.38499999046325684  ,0.41749998927116394  ,0.41999998688697815   ,0.3824999928474426   ,0
4.0        ,2.5387197   ,0.0506666675209999 ,0.0531999990344047 ,0.0426829271018505 ,0.046875           ,0.0468571446835994 ,0.0722222253680229 ,0.0486206896603107 ,0.0467857159674167 ,0.0394871793687343 ,0.0469230785965919 ,0.2171428501605987 ,0.7200000286102295 ,0.7599999904632568 ,0.7799999713897705 ,0.7225000262260437 ,0.7699999809265137 ,0                ,0                 ,0.1511111110448837 ,0.1157142892479896 ,0.1159999966621398 ,0.1120000034570694 ,0.1235714256763458 ,0.1156250014901161 ,0                ,0                 ,0                         ,0.1785714328289032  ,0.15600000321865082  ,0.1733333319425583   ,0.1472727209329605   ,0.13363637030124664   ,0.15700000524520874  ,0
5.0        ,3.5387197   ,0.006807692348957  ,0.0136036034673452 ,0.0077407406643033 ,0.0098255816847085 ,0.0065543069504201 ,0.0148387094959616 ,0.0068348622880876 ,0.0126168224960565 ,0.005797101650387  ,0.0102222226560115 ,0.0843750014901161 ,0.5083333253860474 ,0.5683333277702332 ,0.5249999761581421 ,0.5149999856948853 ,0.5416666865348816 ,0                ,0                 ,0.03125            ,0.0178999993950128 ,0.0196666661649942 ,0.0194117650389671 ,0.0188888888806104 ,0.0198850575834512 ,0                ,0                 ,0                         ,0.07785714417695999 ,0.03844444453716278  ,0.03975609689950943  ,0.03446808457374573  ,0.03818181902170181   ,0.03404255211353302  ,0
6.0        ,4.5387197   ,0.0007454695296473 ,0.0017042607069015 ,0.0009415337699465 ,0.0022250970359891 ,0.0007998325163498 ,0.0025832012761384 ,0.0005932203494012 ,0.0016823529731482 ,0.000490851001814  ,0.0014373088488355 ,0.0290909092873334 ,0.3016666769981384 ,0.3209090828895569 ,0.3125             ,0.3449999988079071 ,0.3133333325386047 ,0                ,0                 ,0.0046325880102813 ,0.001562500023283  ,0.0016500828787684 ,0.0015530902892351 ,0.0018489065114408 ,0.0017977528041228 ,0                ,0                 ,0                         ,0.01945454627275467 ,0.006398601457476616 ,0.005819935817271471 ,0.005548589397221804 ,0.0054658385924994946 ,0.005640244111418724 ,0
