Eb/N0 (dB),SNR(dB),ext_BCH_sys_BP_3_iter,ext_BCH_sys_BP_5_iter,ext_BCH_sys_BP_10_iter,ext_BCH_sys_BP_20_iter,ext_BCH_sys_BP_50_iter,ext_BCH_sys_BP_200_iter,ext_BCH_nsys_BP_3_iter,ext_BCH_nsys_BP_5_iter,ext_BCH_nsys_BP_10_iter,ext_BCH_nsys_BP_20_iter,ext_BCH_nsys_BP_50_iter,ext_BCH_nsys_BP_200_iter,CCSDS_LDPC_sys_BP_3_iter,CCSDS_LDPC_sys_BP_5_iter,CCSDS_LDPC_sys_BP_10_iter,CCSDS_LDPC_sys_BP_20_iter,CCSDS_LDPC_sys_BP_50_iter,CCSDS_LDPC_sys_BP_200_iter,CCSDS_LDPC_nsys_BP_3_iter,CCSDS_LDPC_nsys_BP_5_iter,CCSDS_LDPC_nsys_BP_10_iter,CCSDS_LDPC_nsys_BP_20_iter,CCSDS_LDPC_nsys_BP_50_iter,CCSDS_LDPC_nsys_BP_200_iter,AE_BP_3_iter_0,AE_BP_3_iter_0_BP_5_iter,AE_BP_3_iter_0_BP_10_iter,AE_BP_3_iter_0_BP_20_iter,AE_BP_3_iter_0_BP_50_iter,AE_BP_3_iter_0_BP_200_iter,AE_BP_3_iter_1,AE_BP_3_iter_1_BP_5_iter,AE_BP_3_iter_1_BP_10_iter,AE_BP_3_iter_1_BP_20_iter,AE_BP_3_iter_1_BP_50_iter,AE_BP_3_iter_1_BP_200_iter,AE_BP_3_iter_2,AE_BP_3_iter_2_BP_5_iter,AE_BP_3_iter_2_BP_10_iter,AE_BP_3_iter_2_BP_20_iter,AE_BP_3_iter_2_BP_50_iter,AE_BP_3_iter_2_BP_200_iter,AE_BP_3_iter_3,AE_BP_3_iter_3_BP_5_iter,AE_BP_3_iter_3_BP_10_iter,AE_BP_3_iter_3_BP_20_iter,AE_BP_3_iter_3_BP_50_iter,AE_BP_3_iter_3_BP_200_iter,AE_BP_3_iter_4,AE_BP_3_iter_4_BP_5_iter,AE_BP_3_iter_4_BP_10_iter,AE_BP_3_iter_4_BP_20_iter,AE_BP_3_iter_4_BP_50_iter,AE_BP_3_iter_4_BP_200_iter,AE_BP_5_iter_0,AE_BP_5_iter_0_BP_10_iter,AE_BP_5_iter_0_BP_20_iter,AE_BP_5_iter_0_BP_50_iter,AE_BP_5_iter_0_BP_200_iter,AE_BP_5_iter_1,AE_BP_5_iter_1_BP_10_iter,AE_BP_5_iter_1_BP_20_iter,AE_BP_5_iter_1_BP_50_iter,AE_BP_5_iter_1_BP_200_iter,AE_BP_5_iter_2,AE_BP_5_iter_2_BP_10_iter,AE_BP_5_iter_2_BP_20_iter,AE_BP_5_iter_2_BP_50_iter,AE_BP_5_iter_2_BP_200_iter,AE_BP_5_iter_3,AE_BP_5_iter_3_BP_10_iter,AE_BP_5_iter_3_BP_20_iter,AE_BP_5_iter_3_BP_50_iter,AE_BP_5_iter_3_BP_200_iter,AE_BP_5_iter_4,AE_BP_5_iter_4_BP_10_iter,AE_BP_5_iter_4_BP_20_iter,AE_BP_5_iter_4_BP_50_iter,AE_BP_5_iter_4_BP_200_iter,AE_BP_10_iter_0,AE_BP_10_iter_0_BP_20_iter,AE_BP_10_iter_0_BP_50_iter,AE_BP_10_iter_0_BP_200_iter,AE_BP_10_iter_1,AE_BP_10_iter_1_BP_20_iter,AE_BP_10_iter_1_BP_50_iter,AE_BP_10_iter_1_BP_200_iter,AE_BP_10_iter_2,AE_BP_10_iter_2_BP_20_iter,AE_BP_10_iter_2_BP_50_iter,AE_BP_10_iter_2_BP_200_iter,AE_BP_10_iter_3,AE_BP_10_iter_3_BP_20_iter,AE_BP_10_iter_3_BP_50_iter,AE_BP_10_iter_3_BP_200_iter,AE_BP_10_iter_4,AE_BP_10_iter_4_BP_20_iter,AE_BP_10_iter_4_BP_50_iter,AE_BP_10_iter_4_BP_200_iter,AE_BP_20_iter_0,AE_BP_20_iter_0_BP_50_iter,AE_BP_20_iter_0_BP_200_iter,AE_BP_20_iter_1,AE_BP_20_iter_1_BP_50_iter,AE_BP_20_iter_1_BP_200_iter,AE_BP_20_iter_2,AE_BP_20_iter_2_BP_50_iter,AE_BP_20_iter_2_BP_200_iter,AE_BP_20_iter_3,AE_BP_20_iter_3_BP_50_iter,AE_BP_20_iter_3_BP_200_iter,AE_BP_20_iter_4,AE_BP_20_iter_4_BP_50_iter,AE_BP_20_iter_4_BP_200_iter,AE_GNBP_3_iter_0,AE_GNBP_3_iter_0_GNBP_5_iter,AE_GNBP_3_iter_0_GNBP_10_iter,AE_GNBP_3_iter_0_GNBP_20_iter,AE_GNBP_3_iter_1,AE_GNBP_3_iter_1_GNBP_5_iter,AE_GNBP_3_iter_1_GNBP_10_iter,AE_GNBP_3_iter_1_GNBP_20_iter,AE_GNBP_3_iter_2,AE_GNBP_3_iter_2_GNBP_5_iter,AE_GNBP_3_iter_2_GNBP_10_iter,AE_GNBP_3_iter_2_GNBP_20_iter,AE_GNBP_3_iter_3,AE_GNBP_3_iter_3_GNBP_5_iter,AE_GNBP_3_iter_3_GNBP_10_iter,AE_GNBP_3_iter_3_GNBP_20_iter,AE_GNBP_3_iter_4,AE_GNBP_3_iter_4_GNBP_5_iter,AE_GNBP_3_iter_4_GNBP_10_iter,AE_GNBP_5_iter_0,AE_GNBP_5_iter_0_GNBP_10_iter,AE_GNBP_5_iter_0_GNBP_20_iter,AE_GNBP_5_iter_1,AE_GNBP_5_iter_1_GNBP_10_iter,AE_GNBP_5_iter_1_GNBP_20_iter,AE_GNBP_5_iter_2,AE_GNBP_5_iter_2_GNBP_10_iter,AE_GNBP_5_iter_2_GNBP_20_iter,AE_GNBP_5_iter_3,AE_GNBP_5_iter_3_GNBP_10_iter,AE_GNBP_5_iter_3_GNBP_20_iter,AE_GNBP_5_iter_4,AE_GNBP_5_iter_4_GNBP_10_iter,AE_GNBP_5_iter_4_GNBP_20_iter,AE_GNBP_10_iter_0,AE_GNBP_10_iter_0_GNBP_20_iter,AE_GNBP_10_iter_1,AE_GNBP_10_iter_1_GNBP_20_iter,AE_GNBP_10_iter_2,AE_GNBP_10_iter_2_GNBP_20_iter,AE_GNBP_10_iter_3,AE_GNBP_10_iter_3_GNBP_20_iter,AE_GNBP_10_iter_4
0.0,-3.0103,1036.0,1067.0,1037.0,969.0,1015.0,1011.0,1042.0,1012.0,1077.0,1007.0,1073.0,967.0,986.0,980.0,1015.0,1009.0,984.0,996.0,885.0,862.0,945.0,944.0,906.0,915.0,996.0,978.0,1012.0,1005.0,1055.0,1004.0,1015.0,997.0,1047.0,998.0,994.0,1036.0,1026.0,1006.0,977.0,1045.0,1050.0,997.0,983.0,964.0,995.0,1018.0,1019.0,981.0,1019.0,994.0,1046.0,1036.0,1017.0,1029.0,994.0,1033.0,1069.0,993.0,959.0,1021.0,986.0,994.0,1067.0,1028.0,1024.0,1013.0,1033.0,1025.0,995.0,1033.0,1004.0,1022.0,966.0,1087.0,995.0,1025.0,1016.0,1013.0,1001.0,1000.0,1010.0,1025.0,1040.0,1023.0,1063.0,997.0,1019.0,1041.0,1025.0,1024.0,1049.0,993.0,995.0,955.0,1003.0,1030.0,1009.0,962.0,1049.0,984.0,999.0,989.0,1018.0,1023.0,963.0,1032.0,1047.0,1020.0,1018.0,1060.0,996.0,996.0,1033.0,1025.0,924.0,937.0,888.0,1005.0,1007.0,1045.0,908.0,1012.0,965.0,990.0,992.0,1007.0,1033.0,993.0,991.0,1020.0,1009.0,1041.0,984.0,977.0,1011.0,1050.0,1011.0,972.0,965.0,951.0,928.0,944.0,952.0,950.0,1004.0,1011.0,996.0,1008.0,1035.0,1040.0,938.0,1016.0,872.0,1009.0,892.0,951.0,993.0
1.0,-2.0103,801.0,815.0,901.0,837.0,839.0,862.0,856.0,869.0,790.0,819.0,870.0,843.0,827.0,827.0,879.0,812.0,835.0,846.0,616.0,669.0,600.0,621.0,642.0,570.0,801.0,811.0,845.0,863.0,846.0,856.0,804.0,866.0,817.0,835.0,838.0,847.0,824.0,819.0,824.0,817.0,837.0,825.0,894.0,848.0,891.0,815.0,858.0,828.0,859.0,852.0,836.0,834.0,874.0,840.0,855.0,802.0,813.0,860.0,846.0,889.0,865.0,838.0,820.0,859.0,842.0,824.0,785.0,827.0,822.0,874.0,833.0,844.0,831.0,869.0,839.0,872.0,842.0,814.0,882.0,857.0,873.0,832.0,862.0,842.0,821.0,820.0,794.0,782.0,838.0,838.0,827.0,857.0,871.0,810.0,845.0,802.0,806.0,871.0,824.0,838.0,854.0,893.0,885.0,845.0,826.0,793.0,815.0,806.0,799.0,840.0,789.0,801.0,780.0,892.0,743.0,753.0,626.0,793.0,675.0,722.0,633.0,723.0,792.0,695.0,642.0,604.0,777.0,658.0,673.0,715.0,715.0,714.0,668.0,756.0,826.0,777.0,636.0,710.0,726.0,790.0,736.0,715.0,806.0,727.0,750.0,779.0,712.0,755.0,769.0,812.0,831.0,781.0,723.0,738.0,660.0,707.0,772.0
2.0,-1.0102999,687.0,688.0,663.0,691.0,648.0,683.0,654.0,649.0,680.0,675.0,657.0,683.0,696.0,648.0,695.0,666.0,638.0,660.0,302.0,336.0,313.0,263.0,155.0,280.0,661.0,632.0,648.0,667.0,661.0,662.0,667.0,683.0,644.0,657.0,665.0,630.0,669.0,688.0,669.0,607.0,687.0,655.0,654.0,708.0,666.0,670.0,651.0,667.0,660.0,664.0,670.0,686.0,671.0,672.0,676.0,657.0,649.0,641.0,641.0,641.0,688.0,663.0,692.0,661.0,673.0,633.0,671.0,659.0,705.0,721.0,736.0,639.0,645.0,651.0,689.0,587.0,633.0,706.0,644.0,695.0,630.0,652.0,671.0,665.0,699.0,636.0,697.0,677.0,693.0,686.0,653.0,659.0,680.0,641.0,664.0,657.0,636.0,634.0,677.0,650.0,657.0,632.0,662.0,700.0,660.0,659.0,670.0,645.0,658.0,661.0,648.0,667.0,627.0,721.0,476.0,307.0,327.0,406.0,462.0,368.0,281.0,346.0,403.0,442.0,411.0,331.0,455.0,427.0,347.0,404.0,500.0,477.0,323.0,537.0,529.0,482.0,464.0,360.0,491.0,509.0,491.0,444.0,547.0,416.0,495.0,433.0,515.0,419.0,555.0,589.0,583.0,514.0,508.0,460.0,330.0,462.0,548.0
3.0,-0.010299921,490.0,473.0,487.0,484.0,516.0,467.0,516.0,531.0,486.0,481.0,464.0,491.0,482.0,520.0,518.0,475.0,496.0,483.0,131.0,88.0,85.0,48.0,41.0,71.0,481.0,444.0,462.0,432.0,517.0,516.0,522.0,492.0,496.0,500.0,443.0,491.0,480.0,443.0,504.0,526.0,444.0,471.0,467.0,495.0,549.0,458.0,452.0,459.0,488.0,454.0,457.0,436.0,490.0,461.0,514.0,525.0,479.0,534.0,500.0,510.0,500.0,477.0,489.0,477.0,487.0,502.0,485.0,506.0,521.0,489.0,474.0,506.0,480.0,479.0,494.0,506.0,483.0,510.0,436.0,445.0,531.0,478.0,514.0,504.0,488.0,428.0,511.0,458.0,448.0,498.0,505.0,519.0,534.0,457.0,463.0,500.0,476.0,480.0,482.0,540.0,482.0,485.0,475.0,481.0,517.0,431.0,389.0,421.0,480.0,468.0,481.0,502.0,555.0,542.0,195.0,147.0,82.0,133.0,307.0,162.0,110.0,88.0,207.0,164.0,168.0,99.0,207.0,124.0,140.0,177.0,194.0,221.0,122.0,176.0,232.0,233.0,253.0,132.0,206.0,178.0,230.0,183.0,176.0,223.0,184.0,213.0,155.0,212.0,285.0,229.0,356.0,385.0,184.0,250.0,139.0,149.0,290.0
4.0,0.9897001,378.0,344.0,342.0,288.0,315.0,257.0,328.0,349.0,313.0,303.0,294.0,279.0,324.0,352.0,339.0,301.0,291.0,291.0,15.0,41.0,40.0,39.0,44.0,51.0,292.0,284.0,333.0,280.0,279.0,324.0,314.0,294.0,274.0,292.0,332.0,265.0,325.0,312.0,226.0,243.0,286.0,298.0,377.0,374.0,262.0,340.0,364.0,310.0,380.0,228.0,312.0,335.0,278.0,207.0,317.0,328.0,324.0,301.0,321.0,388.0,288.0,393.0,298.0,297.0,327.0,380.0,318.0,347.0,284.0,328.0,333.0,320.0,337.0,291.0,307.0,258.0,360.0,353.0,268.0,330.0,311.0,363.0,309.0,331.0,276.0,289.0,355.0,318.0,417.0,293.0,283.0,295.0,282.0,286.0,245.0,296.0,319.0,332.0,243.0,290.0,349.0,316.0,228.0,228.0,245.0,275.0,227.0,195.0,294.0,301.0,295.0,315.0,292.0,380.0,44.0,43.0,69.0,36.0,48.0,47.0,49.0,45.0,51.0,37.0,76.0,32.0,64.0,35.0,56.0,55.0,83.0,57.0,37.0,45.0,87.0,75.0,60.0,52.0,32.0,55.0,59.0,56.0,44.0,50.0,68.0,43.0,41.0,49.0,100.0,98.0,111.0,107.0,48.0,44.0,31.0,26.0,91.0
5.0,1.9897001,238.0,178.0,176.0,249.0,200.0,218.0,180.0,154.0,118.0,143.0,137.0,167.0,262.0,249.0,201.0,157.0,136.0,217.0,11.0,14.0,18.0,39.0,42.0,5.0,185.0,279.0,150.0,197.0,148.0,160.0,238.0,206.0,149.0,219.0,164.0,144.0,248.0,211.0,168.0,146.0,125.0,104.0,188.0,161.0,150.0,224.0,145.0,136.0,267.0,146.0,188.0,182.0,101.0,105.0,333.0,220.0,258.0,200.0,163.0,270.0,179.0,255.0,261.0,209.0,266.0,183.0,160.0,155.0,127.0,245.0,210.0,216.0,145.0,160.0,213.0,148.0,231.0,142.0,164.0,172.0,160.0,178.0,117.0,119.0,331.0,157.0,160.0,178.0,183.0,168.0,243.0,106.0,181.0,225.0,130.0,166.0,191.0,120.0,185.0,226.0,185.0,164.0,170.0,106.0,94.0,64.0,79.0,93.0,215.0,219.0,168.0,199.0,211.0,156.0,38.0,29.0,38.0,16.0,22.0,41.0,46.0,29.0,15.0,23.0,34.0,40.0,19.0,34.0,39.0,34.0,32.0,37.0,21.0,46.0,30.0,34.0,40.0,42.0,33.0,30.0,27.0,33.0,39.0,48.0,30.0,39.0,30.0,31.0,58.0,29.0,27.0,38.0,37.0,39.0,40.0,30.0,23.0
6.0,2.9897,112.0,148.0,117.0,234.0,115.0,37.0,38.0,101.0,79.0,52.0,73.0,55.0,180.0,274.0,99.0,73.0,129.0,29.0,13.0,16.0,67.0,2.0,0.0,17.0,223.0,174.0,90.0,64.0,71.0,41.0,47.0,101.0,41.0,36.0,25.0,114.0,307.0,184.0,71.0,119.0,83.0,57.0,109.0,184.0,52.0,104.0,108.0,48.0,189.0,151.0,70.0,71.0,48.0,105.0,281.0,76.0,179.0,96.0,111.0,219.0,70.0,63.0,71.0,67.0,272.0,97.0,62.0,78.0,63.0,300.0,85.0,43.0,59.0,40.0,144.0,177.0,67.0,88.0,102.0,140.0,91.0,43.0,102.0,51.0,123.0,91.0,106.0,91.0,41.0,127.0,28.0,133.0,109.0,67.0,62.0,85.0,108.0,126.0,83.0,107.0,107.0,177.0,95.0,32.0,38.0,43.0,27.0,20.0,50.0,118.0,54.0,104.0,173.0,67.0,12.0,28.0,31.0,20.0,17.0,25.0,39.0,30.0,13.0,29.0,19.0,21.0,15.0,27.0,34.0,32.0,16.0,32.0,37.0,20.0,27.0,37.0,21.0,25.0,20.0,29.0,18.0,28.0,29.0,29.0,19.0,21.0,33.0,33.0,33.0,33.0,16.0,29.0,21.0,22.0,17.0,18.0,24.0
