Eb/N0 (dB) ,SNR(dB)    ,AE_GNBP_0             ,AE_GNBP_0_BP         ,AE_GNBP_1             ,AE_GNBP_1_BP         ,AE_GNBP_2              ,AE_GNBP_2_BP         ,AE_GNBP_3            ,AE_GNBP_3_BP         ,AE_GNBP_4             ,AE_GNBP_4_BP         ,BCH_NSYS_BP          ,BCH_NSYS_GNBP_0      ,BCH_NSYS_GNBP_1      ,BCH_NSYS_GNBP_2     ,BCH_NSYS_GNBP_3      ,BCH_NSYS_GNBP_4      ,BCH_NSYS_NBP_NACH ,BCH_NSYS_CR_BP       ,BCH_NSYS_CR_GNBP_0   ,BCH_NSYS_CR_GNBP_1   ,BCH_NSYS_CR_GNBP_2   ,BCH_NSYS_CR_GNBP_3   ,BCH_NSYS_CR_GNBP_4  ,BCH_NSYS_CR_NBP_NACH ,BCH_NSYS_CR_mRRD_RNN_NACH ,BCH_SYS_BP          ,BCH_SYS_GNBP_0      ,BCH_SYS_GNBP_1       ,BCH_SYS_GNBP_2       ,BCH_SYS_GNBP_3       ,BCH_SYS_GNBP_4      ,BCH_ML_OSD
0.0        ,-2.43038   ,0.8799999952316284    ,0.9100000262260437   ,0.8399999737739563    ,0.9100000262260437   ,0.8600000143051147     ,0.8299999833106995   ,0.8399999737739563   ,0.8999999761581421   ,0.8700000047683716    ,0.8799999952316284   ,1.0                  ,0.9900000095367432   ,0.9800000190734863   ,0.9700000286102295  ,0.9800000190734863   ,0.9800000190734863   ,0                 ,0.9800000190734863   ,0.9900000095367432   ,0.9800000190734863   ,0.9900000095367432   ,0.9900000095367432   ,0.9700000286102295  ,0                    ,0                         ,0.9800000190734863  ,0.9599999785423279  ,0.9900000095367432   ,1.0                  ,0.9700000286102295   ,0.9599999785423279  ,0
1.0        ,-1.4303801 ,0.6050000190734863    ,0.675000011920929    ,0.6000000238418579    ,0.6549999713897705   ,0.6850000023841858     ,0.6100000143051147   ,0.6499999761581421   ,0.6349999904632568   ,0.5799999833106995    ,0.625                ,0.9700000286102295   ,0.9399999976158142   ,0.9599999785423279   ,0.9399999976158142  ,0.949999988079071    ,0.9300000071525574   ,0                 ,0.9599999785423279   ,0.8799999952316284   ,0.925000011920929    ,0.8799999952316284   ,0.949999988079071    ,0.949999988079071   ,0                    ,0                         ,0.949999988079071   ,0.8799999952316284  ,0.9300000071525574   ,0.9300000071525574   ,0.9200000166893005   ,0.9100000262260437  ,0
2.0        ,-0.4303801 ,0.3766666650772095    ,0.3400000035762787   ,0.3700000047683716    ,0.35249999165534973  ,0.3499999940395355     ,0.34333333373069763  ,0.4233333468437195   ,0.3474999964237213   ,0.3474999964237213    ,0.3566666543483734   ,0.7799999713897705   ,0.8050000071525574   ,0.7950000166893005   ,0.8399999737739563  ,0.7549999952316284   ,0.7699999809265137   ,0                 ,0.7850000262260437   ,0.7649999856948853   ,0.7549999952316284   ,0.7799999713897705   ,0.7699999809265137   ,0.75                ,0                    ,0                         ,0.7900000214576721  ,0.7599999904632568  ,0.7250000238418579   ,0.7450000047683716   ,0.7749999761581421   ,0.7200000286102295  ,0
3.0        ,0.5696199  ,0.1644444465637207    ,0.15333333611488342  ,0.13899999856948853   ,0.16285714507102966  ,0.15125000476837158    ,0.13750000298023224  ,0.15700000524520874  ,0.14000000059604645  ,0.1469999998807907    ,0.1728571355342865   ,0.5                  ,0.5400000214576721   ,0.5333333611488342   ,0.5233333110809326  ,0.5566666722297668   ,0.5600000023841858   ,0                 ,0.4699999988079071   ,0.4675000011920929   ,0.44333332777023315  ,0.4375               ,0.44999998807907104  ,0.47333332896232605 ,0                    ,0                         ,0.6133333444595337  ,0.5899999737739563  ,0.5133333206176758   ,0.6150000095367432   ,0.5433333516120911   ,0.5366666913032532  ,0
4.0        ,1.5696199  ,0.03525000065565109   ,0.05550000071525574  ,0.04374999925494194   ,0.05478261038661003  ,0.03095238097012043    ,0.04384615272283554  ,0.03545454517006874  ,0.05950000137090683  ,0.03738095238804817   ,0.05304347723722458  ,0.2980000078678131   ,0.272857129573822    ,0.27666667103767395  ,0.2566666603088379  ,0.2542857229709625   ,0.273333340883255    ,0                 ,0.22428570687770844  ,0.21111111342906952  ,0.17000000178813934  ,0.19499999284744263  ,0.17399999499320984  ,0.1922222226858139  ,0                    ,0                         ,0.32749998569488525 ,0.30399999022483826 ,0.27399998903274536  ,0.328000009059906    ,0.28999999165534973  ,0.3160000145435333  ,0
5.0        ,2.56962    ,0.004789643920958042  ,0.017384614795446396 ,0.0060836500488221645 ,0.01701492629945278  ,0.004362606443464756   ,0.011495326645672321 ,0.007105262950062752 ,0.017260273918509483 ,0.00595155730843544   ,0.01805555634200573  ,0.10750000178813934  ,0.0833333358168602   ,0.0782608687877655   ,0.07695652544498444 ,0.07695652544498444  ,0.08130434900522232  ,0                 ,0.060769230127334595 ,0.042222220450639725 ,0.04809523746371269  ,0.04675000160932541  ,0.042954545468091965 ,0.04214285686612129 ,0                    ,0                         ,0.17000000178813934 ,0.10733333230018616 ,0.1080000028014183   ,0.11571428924798965  ,0.1128571406006813   ,0.1133333370089531  ,0
6.0        ,3.56962    ,0.0006495987763628364 ,0.004999999888241291 ,0.0008016121573746204 ,0.006797752808779478 ,0.00040209791040979326 ,0.002527716103941202 ,0.000911431503482163 ,0.004755244590342045 ,0.0010181136894971132 ,0.005378151312470436 ,0.035428572446107864 ,0.015422535128891468 ,0.014013158157467842 ,0.01393103413283825 ,0.014093959704041481 ,0.014620689675211906 ,0                 ,0.012892561964690685 ,0.005743072833865881 ,0.005353535525500774 ,0.005577395670115948 ,0.005706521682441235 ,0.00569863012060523 ,0                    ,0                         ,0.08624999970197678 ,0.03423076868057251 ,0.029672130942344666 ,0.029016394168138504 ,0.027384614571928978 ,0.03232142701745033 ,0
