Eb/N0 (dB) ,SNR(dB)    ,AE_GNBP_0              ,AE_GNBP_0_BP           ,AE_GNBP_1             ,AE_GNBP_1_BP          ,AE_GNBP_2             ,AE_GNBP_2_BP          ,AE_GNBP_3              ,AE_GNBP_3_BP           ,AE_GNBP_4              ,AE_GNBP_4_BP          ,BCH_NSYS_BP          ,BCH_NSYS_GNBP_0       ,BCH_NSYS_GNBP_1       ,BCH_NSYS_GNBP_2       ,BCH_NSYS_GNBP_3       ,BCH_NSYS_GNBP_4       ,BCH_NSYS_NBP_NACH ,BCH_NSYS_CR_BP        ,BCH_NSYS_CR_GNBP_0    ,BCH_NSYS_CR_GNBP_1     ,BCH_NSYS_CR_GNBP_2    ,BCH_NSYS_CR_GNBP_3     ,BCH_NSYS_CR_GNBP_4     ,BCH_NSYS_CR_NBP_NACH ,BCH_NSYS_CR_mRRD_RNN_NACH ,BCH_SYS_BP           ,BCH_SYS_GNBP_0        ,BCH_SYS_GNBP_1       ,BCH_SYS_GNBP_2        ,BCH_SYS_GNBP_3        ,BCH_SYS_GNBP_4        ,BCH_ML_OSD
0.0        ,-2.43038   ,0.12833333015441895    ,0.12888889014720917    ,0.12583333253860474   ,0.12861111760139465   ,0.12888889014720917   ,0.1158333346247673    ,0.11666666716337204    ,0.11833333224058151    ,0.13333334028720856    ,0.125                 ,0.1458333283662796   ,0.1388888955116272    ,0.14249999821186066   ,0.14472222328186035   ,0.14305555820465088   ,0.13972222805023193   ,0.13              ,0.13805556297302246   ,0.1480555534362793    ,0.13388888537883759    ,0.14666666090488434   ,0.15305554866790771    ,0.1366666704416275     ,0.13                 ,0                         ,0.13500000536441803  ,0.1527777761220932    ,0.1461111158132553   ,0.14416666328907013   ,0.15138888359069824   ,0.14305555820465088   ,0
1.0        ,-1.4303801 ,0.07444444298744202    ,0.08041666448116302    ,0.07527777552604675   ,0.07583333551883698   ,0.08541666716337204   ,0.07374999672174454   ,0.0729166641831398     ,0.07194444537162781    ,0.06930555403232574    ,0.07527777552604675   ,0.11861111223697662  ,0.11027777940034866   ,0.11611111462116241   ,0.10972221940755844   ,0.11222222447395325   ,0.1180555522441864    ,0.1               ,0.10583333671092987   ,0.10555555671453476   ,0.10750000178813934    ,0.10694444179534912   ,0.11361110955476761    ,0.11555555462837219    ,0.1                  ,0                         ,0.11416666954755783  ,0.11138889193534851   ,0.11527777463197708  ,0.11055555194616318   ,0.11861111223697662   ,0.10999999940395355   ,0
2.0        ,-0.4303801 ,0.03898148238658905    ,0.03402777761220932    ,0.040833331644535065  ,0.03715277835726738   ,0.03583333268761635   ,0.03777777776122093   ,0.04500000178813934    ,0.03722222149372101    ,0.034861110150814056   ,0.04064814746379852   ,0.07666666805744171  ,0.08347222208976746   ,0.07486110925674438   ,0.08222222328186035   ,0.07666666805744171   ,0.07791666686534882   ,0.08              ,0.0798611119389534    ,0.0754166692495346    ,0.06763888895511627    ,0.08041666448116302   ,0.07027778029441833    ,0.07111111283302307    ,0.08                 ,0                         ,0.08180555701255798  ,0.08194444328546524   ,0.07694444805383682  ,0.07944444566965103   ,0.08041666448116302   ,0.07555555552244186   ,0
3.0        ,0.5696199  ,0.013734567910432816   ,0.014660493470728397   ,0.011777778156101704  ,0.01706349290907383   ,0.015104166232049465  ,0.014513889327645302  ,0.01227777823805809    ,0.01379629597067833    ,0.012527777813374996   ,0.017103174701333046  ,0.043703705072402954 ,0.04564814642071724   ,0.04018518701195717   ,0.044907405972480774  ,0.043888889253139496  ,0.04416666552424431   ,0.045             ,0.03777777776122093   ,0.037291668355464935  ,0.03861111029982567    ,0.03500000014901161   ,0.03777777776122093    ,0.03999999910593033    ,0.04                 ,0.004                     ,0.05879629775881767  ,0.05583333224058151   ,0.047685183584690094 ,0.05791666731238365   ,0.052407406270504     ,0.049444444477558136  ,0.001
4.0        ,1.5696199  ,0.0029305554926395416  ,0.006013888865709305   ,0.0036718749906867743 ,0.005108695477247238  ,0.0028439152520149946 ,0.004529914353042841  ,0.0026957071386277676  ,0.006055555772036314   ,0.0027843916323035955  ,0.005084541160613298  ,0.024166665971279144 ,0.018214285373687744  ,0.019490741193294525  ,0.019166667014360428  ,0.017698412761092186  ,0.019999999552965164  ,0.02              ,0.017420634627342224  ,0.013456789776682854  ,0.012083332985639572   ,0.014444444328546524  ,0.01297222264111042    ,0.012932098470628262   ,0.013                ,0.0003                    ,0.03576388955116272  ,0.02433333359658718   ,0.023222222924232483 ,0.02616666629910469   ,0.023444443941116333  ,0.02477777749300003   ,0.00003
5.0        ,2.56962    ,0.00038025889080017805 ,0.0018247863044962287  ,0.0004499366332311183 ,0.0018117744475603104 ,0.0003328611783217639 ,0.001100726891309023  ,0.0005165691836737096  ,0.00161339424084872    ,0.00040561321657150984 ,0.001631944440305233  ,0.009745370596647263 ,0.004884259309619665  ,0.0051932367496192455 ,0.005181159358471632  ,0.005096618551760912  ,0.005229468457400799  ,0.005             ,0.004583333153277636  ,0.002635802375152707  ,0.0027910051867365837  ,0.0029861112125217915 ,0.0026704545598477125  ,0.0027910051867365837  ,0.003                ,0.00002                   ,0.023666666820645332 ,0.007925925776362419  ,0.007833333685994148 ,0.008630952797830105  ,0.008809523656964302  ,0.008111110888421535  ,0.0000003
6.0        ,3.56962    ,4.4686450564768165e-05 ,0.00048553719534538686 ,5.286858868203126e-05 ,0.0006632334552705288 ,2.906815461756196e-05 ,0.0002599162398837507 ,6.0075522924307734e-05 ,0.00041181041160598397 ,7.37386362743564e-05   ,0.0004971988964825869 ,0.003380952402949333 ,0.0008372457232326269 ,0.0007711988291703165 ,0.0008103448199108243 ,0.0007885905797593296 ,0.0008065134170465171 ,0.0008            ,0.0009756657527759671 ,0.0002959697740152478 ,0.00029601569985970855 ,0.0002886977745220065 ,0.00032004830427467823 ,0.00032115678186528385 ,0.0004               ,0                         ,0.015868054702878    ,0.0022489316761493683 ,0.001935336971655488 ,0.0019717668183147907 ,0.0018205128144472837 ,0.0021031745709478855 ,0
