Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_NSYS_CR_BP,BCH_NSYS_CR_GNBP_0,BCH_NSYS_CR_GNBP_1,BCH_NSYS_CR_GNBP_2,BCH_NSYS_CR_GNBP_3,BCH_NSYS_CR_GNBP_4,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4
0.0,-2.43038,[0.011437   0.12272342 0.12833333 0.13416041],[0.01145805 0.12326827 0.12888889 0.13472632],[0.01134141 0.12027193 0.12583333 0.13161334],[0.01144754 0.12299585 0.12861112 0.13444339],[0.01145805 0.12326827 0.12888889 0.13472632],[0.01094403 0.11047355 0.11583333 0.12141757],[0.0109781  0.1112896  0.11666667 0.1222677 ],[0.01104571 0.11292198 0.11833333 0.12396768],[0.01162395 0.12762849 0.13333334 0.13925244],[0.01130922 0.11945494 0.125      0.13076417],[0.01206808 0.13990274 0.14583333 0.15197083],[0.0118253  0.13308175 0.1388889  0.14490704],[0.01195275 0.13662805 0.1425     0.1485808 ],[0.01202988 0.13881107 0.14472222 0.15084095],[0.01197212 0.13717376 0.14305556 0.14914589],[0.01185495 0.1339     0.13972223 0.14575495],[0.01179552 0.13226354 0.13805556 0.14405906],[0.01214376 0.14208648 0.14805555 0.15423024],[0.01164438 0.12817365 0.13388889 0.13981804],[0.01209657 0.14072159 0.14666666 0.15281817],[0.01231064 0.1470016  0.15305555 0.15931222],[0.01174555 0.13090004 0.13666667 0.14264558],[0.01168504 0.12926412 0.135      0.14094916],[0.01230149 0.14672847 0.15277778 0.15902995],[0.01207759 0.14017569 0.14611112 0.15225329],[0.01201069 0.13826527 0.14416666 0.15027596],[0.01225553 0.14536296 0.15138888 0.15761848],[0.01197212 0.13717376 0.14305556 0.14914589]
1.0,-1.4303801,[0.00634763 0.0713328  0.07444444 0.07768042],[0.00657578 0.07719007 0.08041666 0.08376585],[0.00638015 0.07214975 0.07527778 0.0785299 ],[0.0064017  0.07269444 0.07583334 0.07909615],[0.00675849 0.08209798 0.08541667 0.08885648],[0.00632035 0.07065209 0.07375    0.07697245],[0.0062874  0.06983535 0.07291666 0.07612276],[0.00624866 0.06888264 0.07194445 0.07513131],[0.00614182 0.06629756 0.06930555 0.07243939],[0.00638015 0.07214975 0.07527778 0.0785299 ],[0.01105691 0.11319408 0.11861111 0.12425098],[0.01071219 0.10503553 0.11027778 0.11574772],[0.01095541 0.11074555 0.11611111 0.12170096],[0.01068854 0.10449196 0.10972222 0.11518051],[0.01079428 0.10693836 0.11222222 0.11773264],[0.01103449 0.11264989 0.11805555 0.12368438],[0.01052057 0.10068819 0.10583334 0.11120877],[0.01050841 0.10041659 0.10555556 0.11092499],[0.00748924 0.10381272 0.1075     0.11130196],[0.01056901 0.10177477 0.10694444 0.11234377],[0.01085229 0.10829784 0.11361111 0.11915013],[0.01093263 0.11020155 0.11555555 0.12113418],[0.01087534 0.10884171 0.11416667 0.11971705],[0.01075922 0.10612281 0.11138889 0.11688203],[0.01092122 0.10992956 0.11527777 0.12085077],[0.01072398 0.10530733 0.11055555 0.11603131],[0.01105691 0.11319408 0.11861111 0.12425098],[0.01070038 0.10476375 0.11       0.11546412]
2.0,-0.4303801,[0.00382232 0.03711522 0.03898148 0.04093754],[0.00310054 0.03251155 0.03402778 0.03561208],[0.00390818 0.03892396 0.04083333 0.04283214],[0.00323439 0.03556939 0.03715278 0.03880378],[0.00317867 0.0342779  0.03583333 0.03745657],[0.00376528 0.03594016 0.03777778 0.03970543],[0.00409359 0.04299752 0.045      0.04709111],[0.00323729 0.03563738 0.03722222 0.03887467],[0.00313688 0.03332665 0.03486111 0.03646353],[0.00389969 0.03874304 0.04064815 0.04264273],[0.00643384 0.07351159 0.07666667 0.07994543],[0.00668829 0.08018893 0.08347222 0.08687721],[0.00636392 0.07174126 0.07486111 0.07810517],[0.00664259 0.07896195 0.08222222 0.08560455],[0.00643384 0.07351159 0.07666667 0.07994543],[0.00648164 0.0747375  0.07791667 0.08121915],[0.00655502 0.07664497 0.07986111 0.08319999],[0.00638555 0.07228591 0.07541667 0.07867146],[0.00607303 0.06466554 0.06763889 0.07073857],[0.00657578 0.07719007 0.08041666 0.08376585],[0.00618148 0.06724982 0.07027778 0.0734313 ],[0.00621519 0.06806616 0.07111111 0.07428136],[0.00662726 0.07855301 0.08180556 0.08518028],[0.00663237 0.07868933 0.08194444 0.0853217 ],[0.00644451 0.07378399 0.07694445 0.0802285 ],[0.0065394  0.07623619 0.07944445 0.08277558],[0.00657578 0.07719007 0.08041666 0.08376585],[0.00639094 0.07242209 0.07555556 0.07881303]
3.0,0.5696199,[0.00132708 0.01308682 0.01373457 0.01441389],[0.00137039 0.01399106 0.01466049 0.01536144],[0.00116704 0.01120852 0.01177778 0.01237557],[0.00167442 0.01624644 0.01706349 0.01792086],[0.00147508 0.01438434 0.01510417 0.01585942],[0.00144644 0.0138084  0.01451389 0.01525484],[0.00119123 0.01169642 0.01227778 0.01288764],[0.00133001 0.01314708 0.0137963  0.01447709],[0.00120313 0.01194046 0.01252778 0.01314358],[0.00167633 0.01628517 0.01710317 0.0179615 ],[0.004037   0.04172965 0.04370371 0.04576664],[0.00412153 0.04363163 0.04564815 0.04775316],[0.00387838 0.03829078 0.04018519 0.04216916],[0.00408958 0.04290694 0.04490741 0.04699652],[0.00404514 0.04191075 0.04388889 0.04595588],[0.00405732 0.0421824  0.04416667 0.04623972],[0.00376528 0.03594016 0.03777778 0.03970543],[0.00324019 0.03570537 0.03729167 0.03894556],[0.00380488 0.03675361 0.03861111 0.04055849],[0.00314289 0.03346252 0.035      0.03660541],[0.00376528 0.03594016 0.03777778 0.03970543],[0.00386982 0.03810989 0.04       0.04197972],[0.0046447  0.05651692 0.0587963  0.06116161],[0.0055531  0.05312167 0.05583333 0.05867477],[0.00420789 0.04562529 0.04768518 0.04983318],[0.00564938 0.05515656 0.05791667 0.06080594],[0.00440018 0.05025091 0.05240741 0.05465109],[0.00428078 0.04734794 0.04944444 0.05162871]
4.0,1.5696199,[0.00029238 0.002788   0.00293056 0.00308038],[0.0005914  0.0057254  0.00601389 0.00631681],[0.00036577 0.00349352 0.00367187 0.00385929],[0.00050853 0.00486072 0.0051087  0.00536925],[0.00028109 0.00270683 0.00284392 0.00298792],[0.00045052 0.00431023 0.00452991 0.00476074],[0.0002674  0.00256531 0.00269571 0.00283271],[0.00059343 0.00576606 0.00605556 0.00635949],[0.00027815 0.00264878 0.00278439 0.00292692],[0.00050733 0.00483716 0.00508454 0.0053445 ],[0.00234918 0.02301988 0.02416667 0.02536906],[0.00172888 0.01736995 0.01821429 0.01909884],[0.00193056 0.01854886 0.01949074 0.02047942],[0.00191478 0.01823269 0.01916667 0.02014747],[0.0017047  0.01686619 0.01769841 0.01857089],[0.00195508 0.01904584 0.02       0.02100092],[0.00169152 0.01659502 0.01742063 0.01828654],[0.00131379 0.01281569 0.01345679 0.01412948],[0.00118188 0.01150665 0.01208333 0.01268853],[0.00144303 0.01374066 0.01444444 0.01518369],[0.00122398 0.01237446 0.01297222 0.01359844],[0.0012883  0.01230376 0.0129321  0.01359206],[0.00317571 0.03420994 0.03576389 0.03738565],[0.00235705 0.0231826  0.02433333 0.02553966],[0.00230399 0.02209809 0.02322222 0.02440208],[0.00244184 0.02497344 0.02616667 0.02741527],[0.00231471 0.02231494 0.02344444 0.02462965],[0.00237792 0.02361659 0.02477778 0.02599451]
5.0,2.56962,[3.7942100e-05 3.6176032e-04 3.8025889e-04 3.9970240e-04],[0.00018109 0.00173648 0.00182479 0.00191757],[4.4734392e-05 4.2812448e-04 4.4993663e-04 4.7285887e-04],[0.00017773 0.00172508 0.00181177 0.00190281],[3.3213564e-05 3.1666804e-04 3.3286118e-04 3.4988162e-04],[0.00010966 0.00104726 0.00110073 0.00115692],[5.1478662e-05 4.9147004e-04 5.1656918e-04 5.4294866e-04],[0.00016069 0.00153504 0.00161339 0.00169574],[4.0519411e-05 3.8585864e-04 4.0561322e-04 4.2637804e-04],[0.00016273 0.0015526  0.00163194 0.00171533],[0.00097009 0.00927226 0.00974537 0.01024236],[0.00048682 0.00464688 0.00488426 0.0051337 ],[0.00051269 0.00494318 0.00519324 0.00545587],[0.0005121  0.0049314  0.00518116 0.0054435 ],[0.00050793 0.00484894 0.00509662 0.00535687],[0.00051447 0.00497852 0.00522947 0.00549299],[0.00045315 0.00436233 0.00458333 0.00481548],[0.00026147 0.0025083  0.0026358  0.00276977],[0.00027848 0.00265523 0.00279101 0.0029337 ],[0.00029513 0.00284218 0.00298611 0.00313731],[0.00026615 0.00254068 0.00267045 0.00280683],[0.00027848 0.00265523 0.00279101 0.0029337 ],[0.00232538 0.02253181 0.02366667 0.02485719],[0.00078322 0.0075439  0.00792593 0.00832712],[0.00077867 0.00745359 0.00783333 0.00823226],[0.00084568 0.00821837 0.00863095 0.00906405],[0.0008543  0.00839263 0.00880952 0.00924693],[0.00079223 0.00772458 0.00811111 0.00851681]
6.0,3.56962,[4.4701446e-06 4.2507203e-05 4.4686451e-05 4.6977348e-05],[4.8444159e-05 4.6191824e-04 4.8553720e-04 5.1036238e-04],[5.2636337e-06 5.0302195e-05 5.2868589e-05 5.5565826e-05],[6.6011708e-05 6.3104730e-04 6.6323346e-04 6.9705897e-04],[2.9147538e-06 2.7647264e-05 2.9068155e-05 3.0562016e-05],[2.5966670e-05 2.4725668e-04 2.5991624e-04 2.7322336e-04],[6.0166808e-06 5.7142410e-05 6.0075523e-05 6.3159088e-05],[4.1041098e-05 3.9180028e-04 4.1181041e-04 4.3284139e-04],[7.3413930e-06 7.0159178e-05 7.3738636e-05 7.7500576e-05],[4.9432205e-05 4.7309601e-04 4.9719890e-04 5.2252819e-04],[0.00033565 0.00321727 0.00338095 0.00355292],[8.303097e-05 7.967573e-04 8.372457e-04 8.797883e-04],[7.7026016e-05 7.3364552e-04 7.7119883e-04 8.1067148e-04],[8.0838414e-05 7.7093154e-04 8.1034482e-04 8.5176999e-04],[7.8669116e-05 7.5023499e-04 7.8859058e-04 8.2890416e-04],[8.064747e-05 7.671956e-04 8.065134e-04 8.478431e-04],[9.7092860e-05 9.2832447e-04 9.7566575e-04 1.0254174e-03],[2.9533014e-05 2.8157109e-04 2.9596977e-04 3.1110409e-04],[2.9572613e-05 2.8159810e-04 2.9601570e-04 3.1117073e-04],[2.8807490e-05 2.7465279e-04 2.8869777e-04 3.0346029e-04],[3.1897547e-05 3.0449629e-04 3.2004830e-04 3.3639386e-04],[3.2083855e-05 3.0551490e-04 3.2115678e-04 3.3759873e-04],[0.00151129 0.01513009 0.01586805 0.01664138],[0.00022472 0.00213937 0.00224893 0.00236409],[0.0001925  0.00184147 0.00193534 0.00203397],[0.0001943  0.001877   0.00197177 0.0020713 ],[0.00018088 0.00173231 0.00182051 0.00191319],[0.00020942 0.00200106 0.00210317 0.00221048]
