Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,AE_GNBP_5,AE_GNBP_5_ML,AE_GNBP_5_BP,AE_GNBP_6,AE_GNBP_6_ML,AE_GNBP_6_BP,AE_GNBP_7,AE_GNBP_7_ML,AE_GNBP_7_BP,AE_GNBP_8,AE_GNBP_8_ML,AE_GNBP_8_BP,AE_GNBP_9,AE_GNBP_9_ML,AE_GNBP_9_BP,AE_GNBP_10,AE_GNBP_10_ML,AE_GNBP_10_BP,AE_GNBP_11,AE_GNBP_11_ML,AE_GNBP_11_BP,AE_GNBP_12,AE_GNBP_12_ML,AE_GNBP_12_BP,AE_GNBP_13,AE_GNBP_13_ML,AE_GNBP_13_BP,AE_GNBP_14,AE_GNBP_14_ML,AE_GNBP_14_BP,AE_GNBP_15,AE_GNBP_15_ML,AE_GNBP_15_BP,AE_GNBP_16,AE_GNBP_16_ML,AE_GNBP_16_BP,AE_GNBP_17,AE_GNBP_17_ML,AE_GNBP_17_BP,AE_GNBP_18,AE_GNBP_18_ML,AE_GNBP_18_BP,AE_GNBP_19,AE_GNBP_19_ML,AE_GNBP_19_BP,AE_GNBP_20,AE_GNBP_20_ML,AE_GNBP_20_BP,AE_GNBP_21,AE_GNBP_21_ML,AE_GNBP_21_BP,AE_GNBP_22,AE_GNBP_22_ML,AE_GNBP_22_BP,AE_GNBP_23,AE_GNBP_23_ML,AE_GNBP_23_BP,AE_GNBP_24,AE_GNBP_24_ML,AE_GNBP_24_BP,AE_GNBP_25,AE_GNBP_25_ML,AE_GNBP_25_BP,AE_GNBP_26,AE_GNBP_26_ML,AE_GNBP_26_BP,AE_GNBP_27,AE_GNBP_27_ML,AE_GNBP_27_BP,AE_GNBP_28,AE_GNBP_28_ML,AE_GNBP_28_BP,AE_GNBP_29,AE_GNBP_29_ML,AE_GNBP_29_BP,AE_GNBP_30,AE_GNBP_30_ML,AE_GNBP_30_BP,AE_GNBP_31,AE_GNBP_31_ML,AE_GNBP_31_BP,AE_GNBP_32,AE_GNBP_32_ML,AE_GNBP_32_BP,AE_GNBP_33,AE_GNBP_33_ML,AE_GNBP_33_BP,AE_GNBP_34,AE_GNBP_34_ML,AE_GNBP_34_BP,AE_GNBP_35,AE_GNBP_35_ML,AE_GNBP_35_BP,AE_GNBP_36,AE_GNBP_36_ML,AE_GNBP_36_BP,AE_GNBP_37,AE_GNBP_37_ML,AE_GNBP_37_BP,AE_GNBP_38,AE_GNBP_38_ML,AE_GNBP_38_BP,AE_GNBP_39,AE_GNBP_39_ML,AE_GNBP_39_BP,AE_GNBP_40,AE_GNBP_40_ML,AE_GNBP_40_BP,AE_GNBP_41,AE_GNBP_41_ML,AE_GNBP_41_BP,AE_GNBP_42,AE_GNBP_42_ML,AE_GNBP_42_BP,AE_GNBP_43,AE_GNBP_43_ML,AE_GNBP_43_BP,AE_GNBP_44,AE_GNBP_44_ML,AE_GNBP_44_BP,AE_GNBP_45,AE_GNBP_45_ML,AE_GNBP_45_BP,AE_GNBP_46,AE_GNBP_46_ML,AE_GNBP_46_BP,AE_GNBP_47,AE_GNBP_47_ML,AE_GNBP_47_BP,AE_GNBP_48,AE_GNBP_48_ML,AE_GNBP_48_BP,AE_GNBP_49,AE_GNBP_49_ML,AE_GNBP_49_BP
0.0,-2.8724172,0.1097916662693023,0.0765625014901161,0.0914583355188369,0.111666664481163,0.0829166695475578,0.1172916665673255,0.096041664481163,0.0829166695475578,0.0925000011920929,0.1168750002980232,0.087708331644535,0.1127083301544189,0.1043749973177909,0.0866666659712791,0.0989583358168602,0.1070833355188369,0.0864583328366279,0.0970833301544189,0.1052083298563957,0.0952083319425582,0.1104166656732559,0.1016666665673255,0.0843750014901161,0.1014583334326744,0.1035416647791862,0.0925000011920929,0.1072916686534881,0.0962499976158142,0.0806249976158142,0.0916666686534881,0.1016666665673255,0.0839062482118606,0.0935416668653488,0.0989583358168602,0.0820833370089531,0.0945833325386047,0.1081250011920929,0.0721874982118606,0.0983333364129066,0.1020833328366279,0.0845833346247673,0.1068750023841857,0.0972916632890701,0.075312502682209,0.0985416695475578,0.087708331644535,0.0887499973177909,0.0958333313465118,0.1064583361148834,0.0935416668653488,0.1052083298563957,0.090416669845581,0.0847916677594184,0.1000000014901161,0.1058333367109298,0.0891666635870933,0.0910416692495346,0.0983333364129066,0.0881249979138374,0.1029166653752327,0.1127083301544189,0.0847916677594184,0.1049999967217445,0.1020833328366279,0.083125002682209,0.1037499979138374,0.0779687464237213,0.09375,0.1008333340287208,0.0947916656732559,0.0796874985098838,0.1022916659712791,0.09708333015441895,0.09187500178813934,0.10104166716337204,0.11781249940395355,0.11656250059604645,0.0989583358168602,0.10229166597127914,0.08291666954755783,0.09291666746139526,0.11083333194255829,0.09479166567325592,0.08375000208616257,0.09666666388511658,0.07203125208616257,0.09541666507720947,0.08708333224058151,0.08562500029802322,0.09312500059604645,0.09624999761581421,0.07359375059604645,0.1041666641831398,0.11249999701976776,0.08390624821186066,0.0925000011920929,0.09395833313465118,0.08583333343267441,0.10499999672174454,0.08874999731779099,0.08624999970197678,0.09854166954755783,0.08916666358709335,0.08270833641290665,0.0977083370089531,0.10791666805744171,0.09583333134651184,0.0910416692495346,0.1029166653752327,0.0845833346247673,0.10374999791383743,0.09395833313465118,0.0949999988079071,0.10750000178813934,0.10999999940395355,0.08479166775941849,0.09541666507720947,0.10687500238418579,0.09270833432674408,0.10229166597127914,0.10770833492279053,0.07999999821186066,0.10187499970197678,0.1081250011920929,0.08291666954755783,0.09041666984558105,0.10062500089406967,0.08270833641290665,0.09583333134651184,0.08833333104848862,0.09416666626930237,0.08687499910593033,0.12250000238418579,0.08124999701976776,0.11312499642372131,0.10833333432674408,0.08270833641290665,0.09520833194255829,0.08874999731779099,0.08604166656732559,0.10687500238418579,0.09458333253860474,0.09187500178813934,0.09541666507720947,0.09395833313465118,0.08916666358709335,0.09583333134651184,0.09187500178813934,0.09125000238418579,0.11656250059604645
1.0,-1.8724172,0.0653124973177909,0.0389285720884799,0.0602499991655349,0.0717187523841857,0.0372321419417858,0.0659374967217445,0.0621875002980232,0.0433333329856395,0.0662499964237213,0.0656249970197677,0.0509999990463256,0.0724999979138374,0.0681250020861625,0.0512499995529651,0.0625,0.0760937482118606,0.0459375008940696,0.0703125,0.0667187497019767,0.0503125004470348,0.0740624964237213,0.0623750016093254,0.0461458340287208,0.0685937479138374,0.0721874982118606,0.050875000655651,0.061999998986721,0.0558749996125698,0.0438541658222675,0.0570000000298023,0.0541249997913837,0.0394642874598503,0.0586250014603138,0.0637499988079071,0.0448958314955234,0.0558749996125698,0.0637499988079071,0.0403571426868438,0.0651562511920929,0.0621875002980232,0.0531250014901161,0.0621250011026859,0.0701562464237213,0.044479165226221,0.0690625011920929,0.0558749996125698,0.0414285697042942,0.0613749995827674,0.0620312504470348,0.0420833341777324,0.0729687511920929,0.0617499984800815,0.0428125001490116,0.0625,0.0682812482118606,0.0511250011622905,0.06640625,0.0720312520861625,0.0498958341777324,0.0660937502980232,0.0643749982118606,0.0429166667163372,0.0599999986588954,0.0590000003576278,0.0425000004470348,0.0649999976158142,0.0571249984204769,0.0416964292526245,0.0639062523841857,0.0535000003874301,0.0436458326876163,0.0620312504470348,0.06609375029802322,0.045104168355464935,0.07328125089406967,0.05849999934434891,0.05225000157952309,0.054875001311302185,0.06281249970197678,0.04208333417773247,0.061000000685453415,0.057500001043081284,0.03991071507334709,0.08203125,0.05687500163912773,0.03687499836087227,0.0572500005364418,0.046145834028720856,0.04312499985098839,0.06421875208616257,0.06024999916553497,0.04645833373069763,0.06174999848008156,0.06037500128149986,0.04218750074505806,0.06859374791383743,0.051624998450279236,0.041160713881254196,0.06593749672174454,0.0625,0.03883928433060646,0.060750000178813934,0.05874999985098839,0.04874999821186066,0.06593749672174454,0.057374998927116394,0.049791667610406876,0.05824999883770943,0.06921874731779099,0.04833333194255829,0.05712499842047691,0.06281249970197678,0.044062498956918716,0.057999998331069946,0.06671874970197678,0.049791667610406876,0.05287500098347664,0.05712499842047691,0.04802083224058151,0.05962499976158142,0.06265625357627869,0.042916666716337204,0.06859374791383743,0.06406249850988388,0.046875,0.06734374910593033,0.057750001549720764,0.04520833492279053,0.06281249970197678,0.05687500163912773,0.04541666805744171,0.06687500327825546,0.05637500062584877,0.03999999910593033,0.054375000298023224,0.06624999642372131,0.04035714268684387,0.06671874970197678,0.0651562511920929,0.04196428507566452,0.057624999433755875,0.0533749982714653,0.04843749850988388,0.062187500298023224,0.06234375014901161,0.043541666120290756,0.06549999862909317,0.057500001043081284,0.03866071254014969,0.06703124940395355
2.0,-0.8724172,0.0325781255960464,0.016213234513998,0.0379687510430812,0.0383035726845264,0.0173046868294477,0.0425000004470348,0.0307638887315988,0.0148611115291714,0.0287500005215406,0.0362499989569187,0.0199038460850715,0.0378571413457393,0.0266874991357326,0.0221153851598501,0.0337500013411045,0.0324305556714534,0.0189285706728696,0.0394642874598503,0.0360937491059303,0.0199038460850715,0.0454166680574417,0.0306944437325,0.0162499994039535,0.0378571413457393,0.0322222225368022,0.0166015625,0.0386607125401496,0.0305555555969476,0.0185267850756645,0.0327343754470348,0.0227083340287208,0.015625,0.0258124992251396,0.0301388893276453,0.0174583327025175,0.0325781255960464,0.0316666662693023,0.016580881550908,0.0441666655242443,0.0382142849266529,0.016796875745058,0.0328124985098838,0.0302083324640989,0.0164062492549419,0.0346875004470348,0.0289583336561918,0.0169140622019767,0.0283125005662441,0.0340625010430812,0.0164062492549419,0.0342187508940696,0.0299999993294477,0.0172916669398546,0.0290972217917442,0.0304166674613952,0.0154779413715004,0.0416964292526245,0.0371428579092025,0.0180833339691162,0.0331249982118606,0.0330468751490116,0.020817307755351,0.0459375008940696,0.0309999994933605,0.0163671877235174,0.0345312505960464,0.0293055549263954,0.0166015625,0.0310416668653488,0.0282499995082616,0.014965278096497,0.0392857156693935,0.03732142969965935,0.015625,0.03857142850756645,0.030763888731598854,0.017265625298023224,0.032734375447034836,0.02800000086426735,0.018666666001081467,0.03265624865889549,0.03617187589406967,0.020096153020858765,0.03656249865889549,0.029652778059244156,0.015514706261456013,0.033203125,0.02505681850016117,0.021009614691138268,0.028750000521540642,0.030347222462296486,0.020048076286911964,0.03090277686715126,0.031111111864447594,0.017666665837168694,0.033671874552965164,0.029027778655290604,0.015330882743000984,0.02775000035762787,0.037410713732242584,0.017374999821186066,0.03265624865889549,0.030833333730697632,0.020336538553237915,0.03515625,0.030763888731598854,0.018124999478459358,0.03312499821186066,0.02986111119389534,0.016249999403953552,0.03375000134110451,0.02800000086426735,0.015808824449777603,0.03515625,0.03020833246409893,0.01404605247080326,0.02850000001490116,0.02824999950826168,0.018124999478459358,0.03304687514901161,0.03492187336087227,0.01640624925494194,0.037410713732242584,0.030763888731598854,0.018124999478459358,0.028750000521540642,0.029583333060145378,0.016328124329447746,0.033671874552965164,0.024204544723033905,0.020673077553510666,0.029999999329447746,0.029652778059244156,0.018291667103767395,0.03304687514901161,0.031180555000901222,0.017791666090488434,0.03229166567325592,0.032109376043081284,0.018958333879709244,0.03910714387893677,0.034296873956918716,0.01536764670163393,0.03242187574505806,0.032083332538604736,0.018616070970892906,0.039196427911520004,0.03281249850988388,0.014687499962747097,0.03187499940395355
3.0,0.12758279,0.0133124999701976,0.0054209185764193,0.0150694446638226,0.0147916665300726,0.0051322113722562,0.0229687504470348,0.0118478257209062,0.0038602941203862,0.0132738091051578,0.0151388887315988,0.0052999998442828,0.0191517863422632,0.0125000001862645,0.0062797619029879,0.0163671877235174,0.013281250372529,0.0047727273777127,0.0144791668280959,0.0145394736900925,0.00417658733204,0.01959821395576,0.0122443186119198,0.0058888890780508,0.0169921871274709,0.0124702379107475,0.0049537038430571,0.0163281243294477,0.0120380437001585,0.0045258621685206,0.0152573529630899,0.0096990736201405,0.0049074073322117,0.011458333581686,0.0107249999418854,0.0049537038430571,0.0134062496945261,0.0103125004097819,0.0050480770878493,0.0136874997988343,0.0125297615304589,0.0047879465855658,0.014687499962747,0.0124147729948163,0.0042641130276024,0.0136249996721744,0.0101201925426721,0.0053125000558793,0.0144791668280959,0.0137499999254941,0.0053874999284744,0.0182499997317791,0.0104250004515051,0.0040340907871723,0.0134062496945261,0.0126190474256873,0.0057744565419852,0.0143421050161123,0.0153676467016339,0.0049528302624821,0.0207692310214042,0.0141874998807907,0.0044062500819563,0.0146710528060793,0.0127380955964326,0.0049421298317611,0.01599264703691,0.0093965521082282,0.0052205882966518,0.012159090489149,0.0118465907871723,0.0040384614840149,0.015514706261456,0.013000000268220901,0.0041699218563735485,0.016679687425494194,0.012159090489149094,0.005774456541985273,0.015955882146954536,0.010874999687075615,0.004491525236517191,0.01193181797862053,0.011067708022892475,0.005965908989310265,0.012738095596432686,0.010824999772012234,0.005691489204764366,0.012500000186264515,0.009791666641831398,0.006000000052154064,0.010859374888241291,0.009732143022119999,0.004111328162252903,0.013782895170152187,0.010480768978595734,0.004510416649281979,0.01394736859947443,0.010138888843357563,0.004791666753590107,0.0147569440305233,0.009288793429732323,0.00441598379984498,0.013980262912809849,0.011331521905958652,0.005400000140070915,0.012440476566553116,0.014506579376757145,0.004920454695820808,0.01852678507566452,0.014243421144783497,0.004111328162252903,0.016544118523597717,0.01201704517006874,0.004533898085355759,0.015294117853045464,0.0114402174949646,0.0049652778543531895,0.013782895170152187,0.011846590787172318,0.004952830262482166,0.012500000186264515,0.013000000268220901,0.0054209185764193535,0.017791666090488434,0.011302083730697632,0.004861111287027597,0.013124999590218067,0.011521738953888416,0.0044270833022892475,0.011385869234800339,0.009675925597548485,0.006191860418766737,0.013980262912809849,0.011385869234800339,0.0055078123696148396,0.016507353633642197,0.011484375223517418,0.005819444544613361,0.013375000096857548,0.012619047425687313,0.005572916474193335,0.015992647036910057,0.013914473354816437,0.004313524812459946,0.014687499962747097,0.012357954867184162,0.004150390625,0.013717105612158775,0.012529761530458927,0.004872685298323631,0.014687499962747097
4.0,1.1275828,0.0047879465855658,0.0013546954141929,0.0055598956532776,0.004840909037739,0.000920258637052,0.008958333171904,0.0029279892332851,0.0008060213294811,0.0035500000230968,0.0040673078037798,0.0011906108120456,0.0069871796295046,0.0033750000875443,0.0012411556672304,0.0041308593936264,0.0032812498975545,0.0010278320405632,0.0055867345072329,0.0040576923638582,0.000756106339395,0.0063392855226993,0.0031696427613496,0.0015606508823111,0.0054687499068677,0.0040530301630496,0.0010809425730258,0.0075535713694989,0.003200301202014,0.0011102320859208,0.0048636365681886,0.0028221649117767,0.0010540675139054,0.0039272387512028,0.0033828124869614,0.0008619280997663,0.0056929346174001,0.0033814101479947,0.0007116666529327,0.0036892360076308,0.0036729453131556,0.0011830356670543,0.0065243900753557,0.0039179106242954,0.0008487903396598,0.0055208331905305,0.0030955881811678,0.0011244658380746,0.0042641130276024,0.003338607493788,0.0010376448044553,0.0051562502048909,0.0025546115357428,0.0008841973030939,0.0043545081280171,0.0034539473708719,0.0013699495466426,0.0054947915486991,0.0042063491418957,0.0010556102497503,0.0071452702395617,0.0037940139882266,0.0010567269055172,0.0052999998442828,0.0032968749292194,0.001042490126565,0.0066249999217689,0.0023817566689103,0.0010296935215592,0.0036558220162987,0.0030523256864398,0.0008313679136335,0.0045127118937671,0.004024621099233627,0.0009179687476716936,0.005847222171723843,0.0031919642351567745,0.0015755988424643874,0.005706521682441235,0.0030886628665030003,0.0011244658380746841,0.004920454695820808,0.0035895269829779863,0.0010853909188881516,0.0052999998442828655,0.0034374999813735485,0.000977564137428999,0.0036148647777736187,0.003024425357580185,0.0015735294437035918,0.004166666883975267,0.0031845238991081715,0.0007939189090393484,0.004829545505344868,0.0033814101479947567,0.0009521660394966602,0.0049646226689219475,0.0030387931037694216,0.0007453965954482555,0.004525862168520689,0.0033814101479947567,0.0007208904135040939,0.004115384537726641,0.0031250000465661287,0.0012470518704503775,0.0043958332389593124,0.0036458333488553762,0.0010466269450262189,0.0055078123696148396,0.004196428693830967,0.0009042096207849681,0.005625000223517418,0.003689236007630825,0.0012499999720603228,0.00654687499627471,0.0035583332646638155,0.0010271318024024367,0.004638157784938812,0.0024363426491618156,0.0008300472982227802,0.004071969538927078,0.004196428693830967,0.0008770833374001086,0.005819444544613361,0.0032561728730797768,0.0007693713414482772,0.003927238751202822,0.0034496753942221403,0.0011228813091292977,0.003945895470678806,0.0026875000912696123,0.001777871628291905,0.005249999929219484,0.003986742347478867,0.0012619617627933621,0.0063541666604578495,0.0034703947603702545,0.0010037878528237343,0.005833333358168602,0.003457792103290558,0.001267942599952221,0.00609011622145772,0.003860294120386243,0.0009625912643969059,0.004720982164144516,0.0036718749906867743,0.000804663635790348,0.005747282411903143,0.00299005676060915,0.0009232456213794649,0.005287500098347664
5.0,2.1275828,0.0008627049392089,0.0002165435143979,0.0015850904164835,0.0010359252337366,0.0001025466553983,0.0033203125931322,0.0005016603390686,9.6206582384184e-05,0.0010721544967964,0.0009159483015537,0.0001290165528189,0.0025238094385713,0.0006708860746584,0.0002407365100225,0.0011883408296853,0.0006611180724576,0.0001810908433981,0.0022107437252998,0.0008146284963004,6.877601117594168e-05,0.0020384616218507,0.0007226027664728,0.0002127016196027,0.0016839172458276,0.0007471671560779,0.0001860855700215,0.0020542636048048,0.0005821349332109,0.000173336622538,0.0012470379006117,0.0004918224294669,0.0001627241872483,0.0010052281431853,0.0006249999860301,0.0001504695537732,0.0015848213806748,0.0004662698484025,8.194187103072181e-05,0.0008555825334042,0.0008399681537412,0.0002612959360703,0.0021849174518138,0.0007343749748542,0.000122219644254,0.0013563144020736,0.0005089458427391,0.0001851851848186,0.0012127293739467,0.000820433429908,0.00014193894458,0.0020718504674732,0.0004839449538849,0.0001235908857779,0.0012269584694877,0.0007579022785648,0.0002286981034558,0.0018189655384048,0.0008934563957154,0.0001716405677143,0.0023761261254549,0.0006464460748247,0.0001352827821392,0.0013456632150337,0.0006712372414767,0.0001740244770189,0.0020085878204554,0.0004284274182282,0.0001518320786999,0.0009719668887555,0.0006796272355131,0.0001140275417128,0.0011802455410361,0.0008103975560516119,0.00015533411351498216,0.0018027210608124733,0.0007693713414482772,0.0002827540156431496,0.002397727221250534,0.0005438144435174763,0.00015130822430364788,0.0011722221970558167,0.0006264810217544436,0.00019786196935456246,0.001352040795609355,0.0005529350019060075,0.00016322890587616712,0.0009673713357187808,0.0006076789577491581,0.0002533621445763856,0.0009745370480231941,0.0005380879156291485,0.00010270296479575336,0.0011906108120456338,0.0007854477735236287,0.00014823944366071373,0.0015406976453959942,0.0005552631337195635,9.528946247883141e-05,0.0009888060158118606,0.00043064646888524294,0.00012312822218518704,0.0010327148484066129,0.0005748373223468661,0.0001658804976614192,0.0011670354288071394,0.0008373016025871038,0.00015255337348207831,0.002127016196027398,0.0007468220428563654,0.00014845938130747527,0.0019490740960463881,0.0006104988278821111,0.0001421066845068708,0.0017425497062504292,0.0005463917623274028,0.0001553276233607903,0.0015443314332515001,0.0005035714129917324,0.0001439951010979712,0.0010105364490300417,0.0008683993364684284,0.00014069983444642276,0.0022669490426778793,0.0005226824432611465,0.00012059899745509028,0.0009342105477117002,0.0006561720510944724,0.00015191973943728954,0.0013743622694164515,0.0005200098967179656,0.0002397727221250534,0.0013424744829535484,0.0008229813538491726,0.00020147397299297154,0.002114257775247097,0.0006355676450766623,0.0001700872671790421,0.0016890822444111109,0.000651299487799406,0.00019199345842935145,0.0018929856596514583,0.000697944313287735,0.00013162831601221114,0.0013802082976326346,0.0007561063393950462,0.00011581205762922764,0.001697580679319799,0.0004985822015441954,0.00012729801528621465,0.0013659794349223375
6.0,3.1275828,0.0001241741410922,2.7606472940533425e-05,0.0004455236485227,0.0001408920943504,1.0965376532112714e-05,0.0009778598323464,5.65123773412779e-05,1.0596691026876217e-05,0.0001860855700215,0.0001261904690181,1.388370947097428e-05,0.0006626884569413,8.410395093960688e-05,2.598739774839487e-05,0.0003725282440427,9.363878780277446e-05,1.9051265553571284e-05,0.0006386198801919,0.0001228408073075,6.300000222836388e-06,0.0004183070850558,9.333983325632288e-05,3.08414782921318e-05,0.0005101547576487,0.000123416975839,2.089331428578589e-05,0.0006120092584751,8.295239240396768e-05,2.695348666748032e-05,0.0003632919979281,6.845546158729121e-05,1.871418317023199e-05,0.0001546014100313,8.862411777954549e-05,1.4736722732777707e-05,0.0003753541095647,5.336596586857922e-05,5.875000169908162e-06,0.000135813592351,0.0001443883083993,4.349703885964118e-05,0.0006906167836859,9.4306051323656e-05,1.0558638678048736e-05,0.0004325364716351,7.653432112419978e-05,2.4105000193230808e-05,0.0002452236658427,0.0001385241630487,1.5253693163685966e-05,0.0008425632840953,6.630216375924647e-05,1.3156562999938616e-05,0.00026207670453,0.0001013188302749,3.632108200690709e-05,0.0005387931014411,0.0001301058073295,1.798654193407856e-05,0.001152173965238,7.844878564355895e-05,1.741666710586287e-05,0.0003099355089943,9.705828415462749e-05,1.882176729850471e-05,0.000706885010004,5.488187161972746e-05,1.983751280931756e-05,0.0001378339511575,8.304470975417644e-05,1.1319392797304316e-05,0.0002682211925275,0.00013071286957710981,1.4894559171807487e-05,0.00048457641969434917,0.0001266810722881928,4.749411891680211e-05,0.0008373016025871038,6.913426477694884e-05,1.5146038094826508e-05,0.0002580331056378782,7.496438774978742e-05,2.947383291029837e-05,0.0003466732450760901,9.123612835537642e-05,2.1340965759009123e-05,0.0002526215394027531,8.284792420454323e-05,3.6666900996351615e-05,0.00017506653966847807,7.046732935123146e-05,1.0325000403099693e-05,0.0002344444510526955,9.17650104383938e-05,2.083167237287853e-05,0.0003063154872506857,5.656108623952605e-05,8.89999955688836e-06,0.00021982038742862642,5.711488120141439e-05,1.2864918062405195e-05,0.00016186776338145137,7.277869735844433e-05,1.830379005696159e-05,0.00021133093105163425,0.0001040019778884016,1.4651189303549472e-05,0.0005074376240372658,0.00011637550051091239,1.4486293366644531e-05,0.0006904450128786266,9.543888154439628e-05,1.404267914040247e-05,0.0006417682743631303,7.339609146583825e-05,1.9791037630056962e-05,0.0003204933018423617,6.531699182232842e-05,2.2130905563244596e-05,0.00024386004952248186,0.00013248993491288275,1.2578238056448754e-05,0.0007464788504876196,6.495309935417026e-05,9.250000402971637e-06,0.00019220233662053943,7.10533422534354e-05,1.9583831090130843e-05,0.0003919019363820553,6.962777115404606e-05,2.9388715120148845e-05,0.0003820447891484946,0.00013107337872497737,2.3205582692753524e-05,0.0006264845724217594,9.893098467728123e-05,1.731152406136971e-05,0.0004775408306159079,7.399465539492667e-05,2.307046997884754e-05,0.0005623667384497821,9.638278424972668e-05,1.1368629202479497e-05,0.0003276774659752846,0.0001020752897602506,1.0300000212737359e-05,0.0006992084672674537,6.651289004366845e-05,1.4139656741463114e-05,0.0004267799376975745
