Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-3.0103,82.0,92.0,81.0,84.0,83.0,86.0,77.0,81.0,78.0,83.0,100.0,97.0,98.0,92.0,94.0,96.0,152.0,159.0,154.0,152.0,161.0,157.0
1.0,-2.0103,120.0,113.0,121.0,121.0,122.0,127.0,114.0,121.0,126.0,119.0,174.0,90.0,85.0,172.0,180.0,175.0,143.0,116.0,162.0,110.0,115.0,147.0
2.0,-1.0102999,134.0,131.0,111.0,107.0,120.0,118.0,123.0,101.0,131.0,107.0,147.0,146.0,157.0,140.0,151.0,147.0,155.0,144.0,142.0,139.0,166.0,162.0
3.0,-0.010299921,134.0,122.0,146.0,126.0,138.0,103.0,134.0,106.0,128.0,122.0,121.0,197.0,189.0,159.0,160.0,160.0,164.0,179.0,166.0,167.0,167.0,159.0
4.0,0.9897001,139.0,118.0,146.0,111.0,150.0,120.0,132.0,113.0,136.0,109.0,114.0,166.0,170.0,159.0,192.0,187.0,207.0,188.0,185.0,182.0,180.0,186.0
5.0,1.9897001,147.0,115.0,159.0,125.0,174.0,133.0,147.0,114.0,141.0,114.0,94.0,187.0,166.0,187.0,185.0,182.0,242.0,209.0,213.0,217.0,211.0,225.0
6.0,2.9897,175.0,106.0,175.0,141.0,181.0,118.0,164.0,122.0,159.0,111.0,92.0,195.0,180.0,196.0,188.0,188.0,237.0,187.0,189.0,208.0,174.0,204.0
