Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-3.0103,[0.01265487 0.13566524 0.141875   0.14832011],[0.01298324 0.14456059 0.1509375  0.15754382],[0.01241828 0.1295356  0.135625   0.14195387],[0.01227214 0.12585989 0.131875   0.13813204],[0.01172058 0.11270259 0.1184375  0.12442318],[0.01235778 0.12800387 0.1340625  0.14036164],[0.01180029 0.11453712 0.1203125  0.12633741],[0.0121101  0.12187975 0.1278125  0.13398986],[0.01168037 0.11178551 0.1175     0.12346587],[0.01177383 0.11392556 0.1196875  0.12569939],[0.01353219 0.16053076 0.1671875  0.17406295],[0.01304911 0.14640202 0.1528125  0.15945114],[0.01335806 0.15530707 0.161875   0.16866513],[0.01260823 0.13443898 0.140625   0.1470472 ],[0.0130818  0.14732288 0.15375    0.16040467],[0.01288312 0.14179905 0.148125   0.15468217],[0.00783598 0.1003658  0.10421875 0.10820178],[0.00788243 0.10174859 0.105625   0.10963102],[0.00779432 0.09913684 0.10296875 0.10693116],[0.00788243 0.10174859 0.105625   0.10963102],[0.00805405 0.10697442 0.1109375  0.11502846],[0.00772054 0.09698658 0.10078125 0.10470713]
1.0,-2.0103,[0.00673654 0.0712329  0.07453125 0.07796945],[0.00644248 0.06450606 0.06765625 0.07094855],[0.00687086 0.07444645 0.0778125  0.08131732],[0.00711095 0.08041915 0.08390625 0.08753011],[0.00717067 0.08195154 0.08546875 0.08912221],[0.00720026 0.08271787 0.08625    0.08991812],[0.00657836 0.06756262 0.07078125 0.07414097],[0.00716473 0.08179828 0.0853125  0.08896301],[0.00701999 0.07812127 0.0815625  0.08514126],[0.00693355 0.07597735 0.079375   0.0829109 ],[0.0081034  0.10851198 0.1125     0.11661538],[0.01185293 0.11576039 0.1215625  0.12761332],[0.01186602 0.11606625 0.121875   0.12793227],[0.00806891 0.10743566 0.11140625 0.11550456],[0.00822463 0.11235698 0.11640625 0.1205816 ],[0.00832885 0.1157418  0.11984375 0.12407065],[0.00456473 0.04776694 0.05       0.05233167],[0.00620953 0.05946714 0.0625     0.06567666],[0.00501374 0.05858289 0.06104167 0.06359663],[0.00623837 0.06007762 0.063125   0.06631599],[0.00651769 0.06618693 0.069375   0.07270462],[0.00485049 0.0544983  0.056875   0.05934879]
2.0,-1.0102999,[0.00362337 0.0398666  0.04164062 0.04348998],[0.00352769 0.03764901 0.039375   0.0411767 ],[0.00424026 0.04074246 0.0428125  0.04498272],[0.00421557 0.04023403 0.04229167 0.0444496 ],[0.00438492 0.04379479 0.0459375  0.04817971],[0.00476616 0.05245736 0.05479167 0.05722352],[0.00350074 0.03703753 0.03875    0.04053828],[0.00443654 0.04491469 0.04708333 0.04935123],[0.00337638 0.03428745 0.0359375  0.03766382],[0.00449662 0.04623866 0.0484375  0.05073528],[0.00741387 0.08839136 0.09203125 0.09580523],[0.00701999 0.07812127 0.0815625  0.08514126],[0.00722967 0.08348428 0.08703125 0.09071395],[0.00684556 0.0738342  0.0771875  0.08067977],[0.00710494 0.08026594 0.08375    0.08737087],[0.00693978 0.07613046 0.07953125 0.08307023],[0.00232871 0.02422623 0.02536458 0.02655494],[0.00270549 0.02730324 0.028625   0.03000873],[0.0025851  0.02480111 0.0260625  0.02738621],[0.00230296 0.02366622 0.02479167 0.02596918],[0.00228878 0.02336083 0.02447917 0.02564961],[0.00227451 0.02305548 0.02416667 0.02532999]
3.0,-0.010299921,[0.00132709 0.01291494 0.0135625  0.01424203],[0.0017202  0.01748001 0.01832031 0.0192002 ],[0.0012154  0.01190687 0.0125     0.01312227],[0.00165036 0.01603061 0.01683594 0.01768097],[0.00162382 0.01549703 0.01628906 0.01712085],[0.00260011 0.02510608 0.026375   0.02770619],[0.00122219 0.01204551 0.01264205 0.01326771],[0.00191141 0.01888827 0.01982143 0.02079968],[0.00132558 0.01288445 0.01353125 0.01421003],[0.00190508 0.01875752 0.0196875  0.02066259],[0.00647681 0.06527002 0.0684375  0.07174683],[0.00373813 0.04262149 0.04445313 0.04635962],[0.00368447 0.04132031 0.043125   0.04500478],[0.00447824 0.04583123 0.04802083 0.05030947],[0.00466681 0.05011147 0.05239583 0.05477828],[0.00445049 0.04522018 0.04739583 0.04967067],[0.00062767 0.0060183  0.0063244  0.00664597],[0.00063278 0.00611991 0.00642857 0.00675269],[0.00073784 0.00714007 0.0075     0.00787792],[0.00066811 0.00650217 0.00682813 0.00717029],[0.00060549 0.0058694  0.00616477 0.0064749 ],[0.0007353  0.00708926 0.00744792 0.00782456]
4.0,0.9897001,[0.00030077 0.002886   0.00303267 0.00318677],[0.00055835 0.00544374 0.00571615 0.00600209],[0.00038679 0.00369008 0.00387868 0.00407687],[0.00082011 0.00784223 0.00824219 0.00866235],[0.00044185 0.00425326 0.00446875 0.0046951 ],[0.00103058 0.01009805 0.01060096 0.01112863],[0.0002751  0.00263278 0.00276693 0.00290788],[0.00059783 0.00571699 0.00600852 0.00631482],[0.00029444 0.00282863 0.00297222 0.00312307],[0.0007496  0.00737725 0.00774306 0.00812684],[0.00454669 0.04735934 0.04958333 0.05190603],[0.00274242 0.02809722 0.0294375  0.03083965],[0.00222619 0.02203803 0.023125   0.02426422],[0.00216665 0.02081787 0.021875   0.02298452],[0.00197147 0.02015283 0.02111607 0.02212429],[0.00224081 0.02234321 0.0234375  0.02458401],[0.00011606 0.00111117 0.00116776 0.00122723],[9.6586220e-05 9.2461961e-04 9.7171532e-04 1.0212058e-03],[0.00010548 0.00100607 0.0010575  0.00111155],[0.00011777 0.00113449 0.00119192 0.00125226],[0.00010987 0.00104799 0.00110156 0.00115787],[0.00010277 0.00097773 0.00102783 0.0010805 ]
5.0,1.9897001,[5.2841213e-05 5.0260226e-04 5.2836345e-04 5.5544352e-04],[0.00022322 0.00216716 0.00227604 0.00239038],[5.4754626e-05 5.2469579e-04 5.5139465e-04 5.7945045e-04],[0.00022271 0.002157   0.00226562 0.00237971],[9.1992071e-05 8.7516865e-04 9.2001748e-04 9.6716074e-04],[0.00044236 0.00426342 0.00447917 0.00470577],[3.8165221e-05 3.6434009e-04 3.8294797e-04 4.0250528e-04],[0.00016207 0.00155968 0.00163872 0.00172175],[6.1199848e-05 5.8503274e-04 6.1487267e-04 6.4623263e-04],[0.00024348 0.00236419 0.00248295 0.00260767],[0.00426478 0.04125098 0.04333333 0.04551576],[0.00093891 0.00900635 0.00946429 0.00994526],[0.0010894 0.0104062 0.0109375 0.0114956],[0.00085033 0.00845211 0.00886719 0.00930245],[0.00078732 0.00768571 0.00806985 0.00847302],[0.00089682 0.00881235 0.00925    0.00970916],[1.1061116e-05 1.0557860e-04 1.1097152e-04 1.1663971e-04],[1.0562008e-05 1.0043877e-04 1.0558788e-04 1.1100078e-04],[8.441567e-06 8.027366e-05 8.438903e-05 8.871523e-05],[8.2874130e-06 7.8807701e-05 8.2847924e-05 8.7095119e-05],[8.506132e-06 8.098860e-05 8.513557e-05 8.949473e-05],[8.545710e-06 8.126406e-05 8.543020e-05 8.980977e-05]
6.0,2.9897,[6.8063391e-06 6.5126056e-05 6.8444730e-05 7.1932394e-05],[8.5626278e-05 8.1661268e-04 8.5836038e-04 9.0223894e-04],[7.791866e-06 7.418765e-05 7.798640e-05 8.197952e-05],[6.0361748e-05 5.7701854e-04 6.0644979e-04 6.3738023e-04],[1.6470425e-05 1.5662939e-04 1.6465895e-04 1.7309980e-04],[0.00019168 0.00183588 0.00192935 0.00202756],[3.6304205e-06 3.4651082e-05 3.6421112e-05 3.8281501e-05],[4.6992314e-05 4.4695634e-04 4.6986606e-04 4.9394864e-04],[8.0587333e-06 7.6728640e-05 8.0657490e-05 8.4787374e-05],[0.00010233 0.00097724 0.00102713 0.00107957],[0.00227689 0.02310637 0.02421875 0.02538326],[0.00025864 0.00247193 0.00259804 0.00273056],[0.00031286 0.0029799  0.00313244 0.00329276],[0.00026411 0.00252746 0.00265625 0.00279158],[0.00025307 0.00241267 0.00253606 0.00266574],[0.00028029 0.00267583 0.0028125  0.00295612],[8.203421e-07 7.712465e-06 8.112280e-06 8.532807e-06],[4.8074321e-07 4.1537032e-06 4.3875002e-06 4.6344467e-06],[4.6757071e-07 3.9227898e-06 4.1500002e-06 4.3903601e-06],[4.745492e-07 4.044300e-06 4.275000e-06 4.518849e-06],[4.5618316e-07 3.7284833e-06 3.9500001e-06 4.1846665e-06],[4.8550618e-07 4.2388215e-06 4.4750000e-06 4.7243279e-06]
