Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-3.0103,454.0,483.0,434.0,422.0,379.0,429.0,385.0,409.0,376.0,383.0,535.0,489.0,518.0,450.0,492.0,474.0,667.0,676.0,659.0,676.0,710.0,645.0
1.0,-2.0103,477.0,433.0,498.0,537.0,547.0,552.0,453.0,546.0,522.0,508.0,720.0,389.0,390.0,713.0,745.0,767.0,480.0,400.0,586.0,404.0,444.0,546.0
2.0,-1.0102999,533.0,504.0,411.0,406.0,441.0,526.0,496.0,452.0,460.0,465.0,589.0,522.0,557.0,494.0,536.0,509.0,487.0,458.0,417.0,476.0,470.0,464.0
3.0,-0.010299921,434.0,469.0,440.0,431.0,417.0,422.0,445.0,444.0,433.0,441.0,438.0,569.0,552.0,461.0,503.0,455.0,425.0,432.0,432.0,437.0,434.0,429.0
4.0,0.9897001,427.0,439.0,422.0,422.0,429.0,441.0,425.0,423.0,428.0,446.0,476.0,471.0,444.0,420.0,473.0,450.0,426.0,426.0,423.0,431.0,423.0,421.0
5.0,1.9897001,421.0,437.0,427.0,435.0,421.0,430.0,424.0,430.0,425.0,437.0,416.0,424.0,420.0,454.0,439.0,444.0,424.0,421.0,421.0,421.0,422.0,421.0
6.0,2.9897,426.0,423.0,422.0,425.0,421.0,426.0,424.0,421.0,422.0,424.0,465.0,424.0,421.0,425.0,422.0,423.0,412.0,351.0,332.0,342.0,316.0,358.0
