Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-1.4342214,[0.00888911 0.09108273 0.09543478 0.09997184],[0.00915429 0.09747039 0.10195652 0.10662468],[0.00918016 0.09810948 0.1026087  0.10728963],[0.00961897 0.10940918 0.11413044 0.11902814],[0.00976069 0.11325046 0.11804347 0.12301115],[0.00924006 0.09960092 0.10413043 0.10884098],[0.00977622 0.11367738 0.11847826 0.12345359],[0.00944086 0.10471672 0.10934783 0.11415757],[0.00955484 0.10770251 0.11239131 0.11725734],[0.00955484 0.10770251 0.11239131 0.11725734],[0.00974512 0.11282356 0.1176087  0.12256868],[0.00962694 0.10962253 0.11434782 0.11924947],[0.00975291 0.11303701 0.11782609 0.12278992],[0.00932458 0.10173208 0.10630435 0.11105666],[0.00979944 0.1143178  0.11913043 0.12411723],[0.00969814 0.111543   0.11630435 0.12124114],[0.00910222 0.09619237 0.10065217 0.10529459],[0.00986853 0.11623932 0.12108696 0.12610786],[0.00943263 0.10450349 0.10913043 0.11393612],[0.00916293 0.0976834  0.10217391 0.10684633],[0.00945728 0.10514319 0.10978261 0.11460046],[0.00934133 0.10215838 0.10673913 0.11149971]
1.0,-0.4342214,[0.00537898 0.06518601 0.06782608 0.07056499],[0.00554329 0.06966855 0.0723913  0.07521184],[0.00569011 0.07383378 0.07663044 0.07952389],[0.00563801 0.07233825 0.07510869 0.07797627],[0.00558144 0.0707363  0.07347826 0.07631774],[0.00548148 0.06796052 0.07065217 0.073442  ],[0.005216   0.06092017 0.06347826 0.06613617],[0.00838887 0.07981375 0.08391304 0.08820261],[0.00554712 0.06977531 0.0725     0.07532243],[0.00557384 0.07052273 0.07326087 0.07609657],[0.00594456 0.08142306 0.08434783 0.08736762],[0.00892517 0.09193406 0.09630435 0.10085923],[0.00871468 0.08704045 0.09130435 0.09575513],[0.00596881 0.08217172 0.0851087  0.08814053],[0.00851561 0.08257581 0.08673913 0.09109142],[0.00839872 0.08002616 0.08413044 0.08842488],[0.00541871 0.06625297 0.06891304 0.07167169],[0.00563427 0.07223146 0.075      0.07786572],[0.00554712 0.06977531 0.0725     0.07532243],[0.00533885 0.06411923 0.06673913 0.06945808],[0.00560417 0.07137705 0.07413044 0.07698121],[0.00543843 0.06678654 0.06945653 0.07222497]
2.0,0.5657786,[0.00347311 0.03953029 0.04123189 0.0430034 ],[0.00330182 0.03548582 0.03710145 0.03878764],[0.00356786 0.04187404 0.04362319 0.0454419 ],[0.00357632 0.04208718 0.04384058 0.04566351],[0.00350215 0.04024036 0.04195652 0.0437425 ],[0.00321055 0.03343017 0.035      0.03664071],[0.0031945  0.0330759  0.03463768 0.0362704 ],[0.00327694 0.0349186  0.03652174 0.03819554],[0.00328941 0.03520219 0.03681159 0.0384916 ],[0.0044049  0.04219747 0.04434783 0.04660237],[0.00481345 0.05112259 0.05347826 0.05593603],[0.00503734 0.0564448  0.05891304 0.06148214],[0.00508922 0.05772306 0.06021739 0.06281228],[0.00499358 0.05537985 0.05782609 0.06037343],[0.00513618 0.0588951  0.06141304 0.06403127],[0.00516577 0.05964108 0.06217391 0.06480685],[0.0031816  0.03279252 0.03434782 0.03597412],[0.00324236 0.03413884 0.03572464 0.0373812 ],[0.00335399 0.03669153 0.03833333 0.04004551],[0.00314253 0.03194255 0.03347826 0.03508508],[0.00309956 0.03102208 0.03253623 0.03412164],[0.00314908 0.0320842  0.03362319 0.03523327]
3.0,1.5657786,[0.00120259 0.01221154 0.01279891 0.01341414],[0.00135433 0.01356231 0.0142236  0.01491663],[0.0013323  0.0131075  0.01375776 0.0144398 ],[0.00151769 0.01458572 0.01532609 0.0161034 ],[0.00152998 0.01483318 0.01557971 0.01636316],[0.00137167 0.01392629 0.01459627 0.01529797],[0.00130838 0.01262258 0.01326087 0.01393096],[0.00157983 0.01585895 0.01663044 0.01743877],[0.00132637 0.01298625 0.01363354 0.01431261],[0.00136158 0.01371395 0.01437888 0.01507554],[0.00349347 0.04002732 0.04173913 0.04352079],[0.00331726 0.03584039 0.03746377 0.03915765],[0.00326441 0.03463502 0.03623188 0.03789943],[0.00324236 0.03413884 0.03572464 0.0373812 ],[0.00327694 0.0349186  0.03652174 0.03819554],[0.00326755 0.03470591 0.03630435 0.03797346],[0.00129319 0.01231963 0.01295031 0.01361282],[0.00101561 0.00974618 0.01024155 0.0107618 ],[0.0010505  0.01045336 0.01096618 0.01150386],[0.00115765 0.01128295 0.01184783 0.01244061],[0.00114845 0.01109735 0.01165761 0.01224579],[0.00119754 0.01210537 0.01269022 0.01330292]
4.0,2.5657787,[0.00024888 0.00238745 0.00250881 0.00263633],[0.00035317 0.00338129 0.00355351 0.00373446],[0.00035192 0.00335683 0.00352843 0.00370876],[0.00051269 0.00494318 0.00519324 0.00545587],[0.0003861  0.00373378 0.0039221  0.00411988],[0.00041528 0.00395759 0.00416008 0.00437288],[0.00027176 0.00261682 0.00274936 0.00288859],[0.00032798 0.00313975 0.00329969 0.00346774],[0.00029767 0.00286324 0.00300842 0.00316092],[0.00038788 0.00376912 0.00395833 0.004157  ],[0.00310954 0.03123447 0.03275362 0.03434401],[0.00132934 0.01304687 0.01369565 0.01437621],[0.0013189  0.0128347  0.01347826 0.01415361],[0.00131741 0.0128044  0.0134472  0.0141218 ],[0.00152648 0.01476247 0.01550725 0.01628895],[0.00137024 0.01389596 0.01456522 0.01526619],[0.00026217 0.00250571 0.00263354 0.00276787],[0.0001993  0.00190188 0.00199905 0.00210118],[0.00025609 0.00245966 0.00258454 0.00271574],[0.00020753 0.00201954 0.00212077 0.00222707],[0.00021419 0.0020543  0.00215875 0.00226849],[0.0002727  0.00263554 0.00276854 0.00290824]
5.0,3.5657787,[3.138649e-05 2.988732e-04 3.141751e-04 3.302597e-04],[7.1755028e-05 6.8512320e-04 7.2010868e-04 7.5687823e-04],[4.3278971e-05 4.1265658e-04 4.3375717e-04 4.5593554e-04],[9.0143083e-05 8.6184446e-04 9.0579712e-04 9.5198752e-04],[4.6393034e-05 4.4290524e-04 4.6552482e-04 4.8929825e-04],[9.5436415e-05 9.0908643e-04 9.5561595e-04 1.0045229e-03],[3.4846755e-05 3.3182907e-04 3.4881799e-04 3.6667584e-04],[7.9675003e-05 7.5888674e-04 7.9773157e-04 8.3856174e-04],[4.4376397e-05 4.2364831e-04 4.4528459e-04 4.6802472e-04],[7.9580728e-05 7.5704354e-04 7.9584122e-04 8.3662424e-04],[0.00303209 0.02960665 0.03108696 0.03263874],[0.0004679  0.00457606 0.00480435 0.00504396],[0.00044012 0.00424703 0.0044617  0.00468716],[0.00045887 0.00439579 0.00461957 0.00485466],[0.00053899 0.00515915 0.00542199 0.00569814],[0.00042306 0.0041118  0.00431818 0.00453486],[3.8435941e-05 3.6692503e-04 3.8566490e-04 4.0536094e-04],[2.1796304e-05 2.0728289e-04 2.1790891e-04 2.2907919e-04],[2.2218201e-05 2.1182264e-04 2.2265501e-04 2.3404085e-04],[1.9272764e-05 1.8328159e-04 1.9267734e-04 2.0255435e-04],[1.8682838e-05 1.7767091e-04 1.8677906e-04 1.9635374e-04],[2.0011748e-05 1.9054748e-04 2.0030378e-04 2.1055921e-04]
6.0,4.5657787,[3.2446026e-06 3.0776024e-05 3.2357711e-05 3.4020628e-05],[6.0962025e-06 5.7897680e-05 6.0869566e-05 6.3993881e-05],[3.4336647e-06 3.2569369e-05 3.4243218e-05 3.6003032e-05],[1.3977285e-05 1.3505969e-04 1.4187643e-04 1.4903698e-04],[4.1766689e-06 3.9716444e-05 4.1752617e-05 4.3893113e-05],[1.7391843e-05 1.6559902e-04 1.7407804e-04 1.8299086e-04],[2.8239733e-06 2.6853304e-05 2.8230024e-05 2.9677278e-05],[1.0127997e-05 9.6431526e-05 1.0136920e-04 1.0655953e-04],[3.0090314e-06 2.8577317e-05 3.0044208e-05 3.1586347e-05],[1.2970402e-05 1.2411058e-04 1.3043478e-04 1.3708099e-04],[0.00168111 0.01805459 0.01887681 0.0197357 ],[0.00010605 0.00101775 0.00106947 0.0011238 ],[0.00011731 0.00111616 0.00117336 0.00123347],[0.00010996 0.00105663 0.00111025 0.00116659],[0.0001135  0.00108529 0.00114063 0.00119879],[0.00010282 0.00097821 0.00102833 0.00108102],[3.0747958e-06 2.9201905e-05 3.0700856e-05 3.2276701e-05],[1.2567401e-06 1.1860463e-05 1.2473025e-05 1.3117203e-05],[1.5022428e-06 1.4249091e-05 1.4981408e-05 1.5751333e-05],[1.2582514e-06 1.1889763e-05 1.2503081e-05 1.3148015e-05],[1.1240637e-06 1.0594876e-05 1.1142751e-05 1.1718940e-05],[1.14259524e-06 1.07695460e-05 1.13264532e-05 1.19121405e-05]
