Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_BP,LDPC_SYS_BP,LDPC_SYS_GNBP_0,LDPC_SYS_GNBP_1,LDPC_SYS_GNBP_2,LDPC_SYS_GNBP_3,LDPC_SYS_GNBP_4,LDPC_NSYS_BP,LDPC_NSYS_GNBP_0,LDPC_NSYS_GNBP_1,LDPC_NSYS_GNBP_2,LDPC_NSYS_GNBP_3,LDPC_NSYS_GNBP_4
0.0,-1.4342214,[0.00946547 0.88517815 0.89       0.8946436 ],[0.00772092 0.92604125 0.93       0.9337622 ],[0.009076  0.8953706 0.9       0.9044466],[0.00516768 0.9673087  0.97       0.9724764 ],[0.00772092 0.92604125 0.93       0.9337622 ],[0.0065973  0.94659853 0.95       0.9531958 ],[0.0086585  0.905577   0.91       0.91423553],[0.00516768 0.9673087  0.97       0.9724764 ],[0.0065973  0.94659853 0.95       0.9531958 ],[0.00516768 0.9673087  0.97       0.9724764 ],[0.00302558 0.98837525 0.99       0.9914008 ],[0.00516768 0.9673087  0.97       0.9724764 ],[0.00302558 0.98837525 0.99       0.9914008 ],[3.2323852e-04 9.9972409e-01 1.0000000e+00 1.0000473e+00],[3.2323852e-04 9.9972409e-01 1.0000000e+00 1.0000473e+00],[0.00302558 0.98837525 0.99       0.9914008 ],[0.00772092 0.92604125 0.93       0.9337622 ],[0.00772092 0.92604125 0.93       0.9337622 ],[0.00593347 0.9569281  0.96       0.9628616 ],[0.0086585  0.905577   0.91       0.91423553],[0.0086585  0.905577   0.91       0.91423553],[0.00820868 0.9157997  0.92       0.9240083 ]
1.0,-0.4342214,[0.00938046 0.73528236 0.74       0.7446628 ],[0.00932117 0.7403114  0.745      0.7496326 ],[0.00863363 0.7906495  0.795      0.7992831 ],[0.00885907 0.77553844 0.78       0.7843975 ],[0.00863363 0.7906495  0.795      0.7992831 ],[0.0091335  0.7554036  0.76       0.76453704],[0.00943816 0.73025405 0.735      0.7396922 ],[0.01080058 0.84451973 0.85       0.85532033],[0.0091335  0.7554036  0.76       0.76453704],[0.0085545  0.79568845 0.8        0.8042429 ],[0.00487745 0.9425105  0.945      0.94738793],[0.0065973  0.94659853 0.95       0.9531958 ],[0.00593347 0.9569281  0.96       0.9628616 ],[0.0052738  0.93231344 0.935      0.93758726],[0.00593347 0.9569281  0.96       0.9628616 ],[0.00593347 0.9569281  0.96       0.9628616 ],[0.00885907 0.77553844 0.78       0.7843975 ],[0.0085545  0.79568845 0.8        0.8042429 ],[0.00863363 0.7906495  0.795      0.7992831 ],[0.00919773 0.750372   0.755      0.7595697 ],[0.00885907 0.77553844 0.78       0.7843975 ],[0.00926027 0.7453413  0.75       0.7546016 ]
2.0,0.5657786,[0.00872565 0.47897175 0.48333332 0.4876974 ],[0.00865256 0.42901212 0.43333334 0.4376647 ],[0.00868675 0.54565275 0.55       0.5543395 ],[0.00872876 0.50563484 0.51       0.5143636 ],[0.00871478 0.52564025 0.53       0.53435504],[0.00867426 0.4390005  0.44333333 0.44767475],[0.0086924  0.44899067 0.45333335 0.45768306],[0.0087274  0.48230398 0.48666668 0.49103135],[0.0087274 0.5089686 0.5133333 0.517696 ],[0.01069244 0.4946538  0.5        0.50534624],[0.00885907 0.77553844 0.78       0.7843975 ],[0.00878587 0.7805745  0.785      0.78936034],[0.0083899  0.80576956 0.81       0.8141595 ],[0.00871074 0.78561145 0.79       0.7943222 ],[0.00821645 0.81585515 0.82       0.82407165],[0.0083899  0.80576956 0.81       0.8141595 ],[0.0086924  0.44899067 0.45333335 0.45768306],[0.0086924  0.44899067 0.45333335 0.45768306],[0.0087305 0.4956347 0.5       0.5043652],[0.00859837 0.40904072 0.41333333 0.4176391 ],[0.00860841 0.4123688  0.41666666 0.4209772 ],[0.00866019 0.43234137 0.43666667 0.44100156]
3.0,1.5657786,[0.00417365 0.18542212 0.1875     0.18959576],[0.0044974  0.18918994 0.19142857 0.19368735],[0.00464441 0.20625873 0.20857143 0.21090315],[0.00481106 0.18427308 0.18666667 0.18908413],[0.00519611 0.22741222 0.23       0.23260835],[0.0044454  0.18350184 0.18571429 0.18794724],[0.00445855 0.1849238  0.18714286 0.18938234],[0.00518285 0.22575225 0.22833334 0.23093511],[0.00451016 0.1906121  0.19285715 0.19512226],[0.00447159 0.1863458  0.18857142 0.1908174 ],[0.00859837 0.58236086 0.58666664 0.5909592 ],[0.00856581 0.5923764  0.5966667  0.6009422 ],[0.00858793 0.5856991  0.59       0.59428704],[0.00862728 0.57234716 0.57666665 0.58097446],[0.00855414 0.59571534 0.6        0.60426944],[0.00854205 0.59905446 0.60333335 0.6075965 ],[0.00435054 0.1735496  0.17571428 0.17790015],[0.00371662 0.1603725  0.16222222 0.16408911],[0.00379678 0.16922107 0.1711111  0.17301786],[0.00410816 0.17795508 0.18       0.18206324],[0.00399305 0.16551298 0.1675     0.16950604],[0.00406303 0.17297778 0.175      0.17704082]
4.0,2.5657787,[0.00104395 0.04569705 0.04621622 0.04674099],[0.00136116 0.05509255 0.05576923 0.05645372],[0.00129747 0.04973983 0.05038461 0.0510373 ],[0.00180551 0.06799161 0.06888889 0.06979711],[0.00149444 0.06175695 0.0625     0.06325138],[0.00149836 0.05652814 0.05727273 0.05802651],[0.00108528 0.04534277 0.04588235 0.04642805],[0.00125831 0.05044594 0.05107143 0.05170425],[0.00116197 0.04748686 0.04806451 0.04864883],[0.00140248 0.05388633 0.05458333 0.05528881],[0.00848955 0.37909743 0.38333333 0.38758698],[0.00501415 0.2575008  0.26       0.26251492],[0.00504064 0.2617731  0.2642857  0.26681376],[0.00503188 0.26034895 0.26285714 0.26538083],[0.00561214 0.28886852 0.29166666 0.29448065],[0.00514849 0.28029    0.28285715 0.28543848],[0.00102549 0.04149025 0.042      0.04251574],[0.00080468 0.03329563 0.03369565 0.03410031],[0.00101689 0.04199446 0.0425     0.04301135],[0.00082988 0.03469853 0.03511111 0.03552841],[0.00084631 0.03446304 0.03488372 0.03530935],[0.0010481  0.04212609 0.04264706 0.04317418]
5.0,3.5657787,[0.00014814 0.00698111 0.00705479 0.00712925],[0.00027008 0.01017834 0.0103125  0.01044841],[0.00017411 0.00698895 0.00707547 0.00716306],[0.00032949 0.01209125 0.0122549  0.01242074],[0.00019831 0.00848727 0.00858586 0.00868558],[0.00034995 0.01284702 0.01302083 0.01319697],[0.00014184 0.005747   0.00581749 0.00588884],[0.0003147  0.01245232 0.0126087  0.01276701],[0.00018123 0.00739785 0.00748792 0.00757908],[0.00028778 0.01037882 0.01052174 0.0106666 ],[0.00723341 0.21640462 0.22       0.22363803],[0.00206447 0.10297229 0.104      0.10503676],[0.00193739 0.09427381 0.0952381  0.0962112 ],[0.00201073 0.09699923 0.098      0.09900996],[0.00232183 0.11178547 0.11294118 0.1141073 ],[0.0018826  0.09315383 0.09409091 0.09503642],[0.00015654 0.00636572 0.00644351 0.00652226],[9.4523122e-05 4.0720562e-03 4.1190474e-03 4.1665789e-03],[9.612184e-05 4.141076e-03 4.188862e-03 4.237198e-03],[8.4793253e-05 3.7052108e-03 3.7473685e-03 3.7900039e-03],[8.1971906e-05 3.5714908e-03 3.6122450e-03 3.6534625e-03],[8.8913046e-05 3.9295903e-03 3.9737993e-03 4.0185037e-03]
6.0,4.5657787,[1.6810172e-05 8.6197298e-04 8.7033748e-04 8.7878312e-04],[2.7994138e-05 1.2727457e-03 1.2866667e-03 1.3007398e-03],[1.4467895e-05 6.0183159e-04 6.0902257e-04 6.1629945e-04],[5.3180844e-05 2.0337310e-03 2.0601503e-03 2.0869118e-03],[1.8759527e-05 8.3465048e-04 8.4397808e-04 8.5340999e-04],[6.7332359e-05 2.5851454e-03 2.6185957e-03 2.6524777e-03],[1.2196395e-05 5.2138924e-04 5.2745221e-04 5.3358561e-04],[3.9933719e-05 1.5602696e-03 1.5801105e-03 1.6002033e-03],[1.3678066e-05 6.1511371e-04 6.2191510e-04 6.2879181e-04],[4.8897837e-05 1.8348664e-03 1.8591549e-03 1.8837643e-03],[0.00356307 0.08990069 0.09166667 0.09346376],[0.00051468 0.02560597 0.02586207 0.02612066],[0.00056194 0.02741272 0.02769231 0.02797466],[0.00053511 0.02675754 0.02702381 0.02729265],[0.00055107 0.02738012 0.02765432 0.02793119],[0.00050435 0.0251423  0.02539326 0.02564665],[1.2201095e-05 4.7813426e-04 4.8419638e-04 4.9033534e-04],[5.5938995e-06 2.4469572e-04 2.4747686e-04 2.5028959e-04],[6.8739178e-06 3.1072658e-04 3.1414474e-04 3.1760050e-04],[5.6560361e-06 2.5019483e-04 2.5300705e-04 2.5585087e-04],[5.2817995e-06 2.4375187e-04 2.4637859e-04 2.4903368e-04],[5.4091706e-06 2.5152575e-04 2.5421596e-04 2.5693493e-04]
