Eb/N0 (dB) ,SNR(dB)    ,AE_GNBP_0              ,AE_GNBP_0_BP           ,AE_GNBP_1              ,AE_GNBP_1_BP           ,AE_GNBP_2              ,AE_GNBP_2_BP           ,AE_GNBP_3              ,AE_GNBP_3_BP           ,AE_GNBP_4              ,AE_GNBP_4_BP           ,LDPC_SYS_BP          ,LDPC_SYS_GNBP_0      ,LDPC_SYS_GNBP_1       ,LDPC_SYS_GNBP_2      ,LDPC_SYS_GNBP_3       ,LDPC_SYS_GNBP_4       ,LDPC_NSYS_BP           ,LDPC_NSYS_GNBP_0       ,LDPC_NSYS_GNBP_1       ,LDPC_NSYS_GNBP_2       ,LDPC_NSYS_GNBP_3       ,LDPC_NSYS_GNBP_4       ,LDPC_NSYS_REG_BP
0.0        ,-1.4342214 ,0.09543478488922119    ,0.10195652395486832    ,0.10260869562625885    ,0.11413043737411499    ,0.11804347485303879    ,0.10413043200969696    ,0.11847826093435287    ,0.10934782773256302    ,0.11239130795001984    ,0.11239130795001984    ,0.1176086962223053   ,0.11434782296419144  ,0.11782608926296234   ,0.1063043475151062   ,0.11913043260574341   ,0.11630434542894363   ,0.10065217316150665    ,0.1210869550704956     ,0.10913043469190598    ,0.10217390954494476    ,0.10978260636329651    ,0.10673913359642029    ,0.11
1.0        ,-0.4342214 ,0.06782608479261398    ,0.07239130139350891    ,0.07663043588399887    ,0.07510869204998016    ,0.07347825914621353    ,0.07065217196941376    ,0.0634782612323761     ,0.08391304314136505    ,0.07249999791383743    ,0.07326086610555649    ,0.08434782922267914  ,0.09630434960126877  ,0.09130434691905975   ,0.0851086974143982   ,0.08673913031816483   ,0.0841304361820221    ,0.0689130425453186     ,0.07500000298023224    ,0.07249999791383743    ,0.06673912703990936    ,0.07413043826818466    ,0.06945652514696121    ,0.08
2.0        ,0.5657786  ,0.04123188555240631    ,0.03710144758224487    ,0.043623186647892      ,0.04384057968854904    ,0.041956521570682526   ,0.03500000014901161    ,0.034637682139873505   ,0.03652174025774002    ,0.03681159391999245    ,0.04434782639145851    ,0.05347825959324837  ,0.05891304463148117  ,0.060217391699552536  ,0.05782608687877655  ,0.06141304224729538   ,0.06217391416430473   ,0.03434782475233078    ,0.03572463616728783    ,0.038333334028720856   ,0.0334782600402832     ,0.032536230981349945   ,0.033623188734054565   ,0.052
3.0        ,1.5657786  ,0.012798912823200226   ,0.01422360260039568    ,0.013757764361798763   ,0.015326087363064289   ,0.01557970978319645    ,0.014596273191273212   ,0.013260869309306145   ,0.01663043536245823    ,0.013633540831506252   ,0.014378882013261318   ,0.04173913225531578  ,0.03746376931667328  ,0.036231882870197296  ,0.03572463616728783  ,0.03652174025774002   ,0.03630434721708298   ,0.012950310483574867   ,0.010241545736789703   ,0.010966183617711067   ,0.011847825720906258   ,0.011657608672976494   ,0.012690217234194279   ,0.022
4.0        ,2.5657787  ,0.002508813049644232   ,0.003553511807695031   ,0.003528428031131625   ,0.0051932367496192455  ,0.003922101575881243   ,0.004160079173743725   ,0.0027493606321513653  ,0.0032996893860399723  ,0.003008415224030614   ,0.003958333283662796   ,0.03275362402200699  ,0.013695652596652508 ,0.013478260487318039  ,0.013447204604744911 ,0.015507246367633343  ,0.014565217308700085  ,0.0026335404254496098  ,0.001999054802581668   ,0.0025845409836620092  ,0.0021207728423178196  ,0.002158746123313904   ,0.0027685421518981457  ,0.0065
5.0        ,3.5657787  ,0.00031417509308084846 ,0.000720108684618026   ,0.00043375717359595    ,0.0009057971183210611  ,0.00046552481944672763 ,0.0009556159493513405  ,0.0003488179936539382  ,0.0007977315690368414  ,0.00044528458965942264 ,0.0007958412170410156  ,0.031086957082152367 ,0.004804347641766071 ,0.004461697768419981  ,0.004619565326720476 ,0.005421994719654322  ,0.00431818189099431   ,0.0003856648982036859  ,0.00021790890605188906 ,0.0002226550132036209  ,0.00019267734023742378 ,0.00018677905609365553 ,0.00020030378072988242 ,0.0011
6.0        ,4.5657787  ,3.2357711461372674e-05 ,6.0869566368637607e-05 ,3.4243217669427395e-05 ,0.00014187642955221236 ,4.175261710770428e-05  ,0.00017407804261893034 ,2.8230024327058345e-05 ,0.00010136920172953978 ,3.0044207960600033e-05 ,0.00013043478247709572 ,0.018876811489462852 ,0.001069465302862227 ,0.0011733556166291237 ,0.001110248500481248 ,0.0011406333651393652 ,0.0010283341398462653 ,3.0700855859322473e-05 ,1.2473024980863556e-05 ,1.4981407730374485e-05 ,1.2503081052273046e-05 ,1.114275073632598e-05  ,1.132645320467418e-05  ,0.00014
