Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_ML
0.0,-2.8724172,0.09708333015441895,0.08500000089406967,0.10791666805744171,0.09000000357627869,0.078125,0.09312500059604645,0.14343750476837158,0.12968750298023224,0.14875000715255737,0.12937499582767487,0.140625,0.13593749701976776,0.07750000059604645
1.0,-1.8724172,0.07265625149011612,0.04874999821186066,0.06578125059604645,0.0560000017285347,0.03703124821186066,0.07078125327825546,0.12031249701976776,0.09187500178813934,0.09958333522081375,0.09000000357627869,0.09624999761581421,0.10187499970197678,0.040267858654260635
2.0,-0.8724172,0.03131944313645363,0.022604167461395264,0.039642855525016785,0.029583333060145378,0.01718750037252903,0.03476562350988388,0.07218749821186066,0.061500001698732376,0.06437499821186066,0.04854166507720947,0.051249999552965164,0.0521249994635582,0.015882352367043495
3.0,0.12758279,0.012857142835855484,0.004254032392054796,0.016953125596046448,0.012187499552965164,0.004491525236517191,0.0147569440305233,0.04531250149011612,0.03476562350988388,0.03328125178813934,0.027687499299645424,0.031041666865348816,0.02812499925494194,0.003132352838292718
4.0,1.1275828,0.0038405796512961388,0.0008419586229138076,0.005747282411903143,0.0030813952907919884,0.0008406549459323287,0.0042578126303851604,0.02346590906381607,0.0119602270424366,0.01394736859947443,0.00976851861923933,0.01002314779907465,0.008708333596587181,0.0005483367713168263
