Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_ML
0.0,-2.8724172,160.0,114.0,190.0,147.0,133.0,156.0,159.0,133.0,144.0,150.0,151.0,148.0,119.0
1.0,-1.8724172,154.0,140.0,145.0,168.0,136.0,153.0,126.0,148.0,159.0,165.0,174.0,170.0,105.0
2.0,-0.8724172,157.0,121.0,154.0,171.0,137.0,153.0,156.0,176.0,179.0,190.0,190.0,182.0,107.0
3.0,0.12758279,174.0,151.0,160.0,172.0,161.0,149.0,143.0,170.0,163.0,172.0,199.0,202.0,112.0
4.0,1.1275828,167.0,168.0,146.0,194.0,202.0,178.0,134.0,163.0,180.0,177.0,208.0,208.0,104.0
