Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_ML
0.0,-2.8724172,[0.00876858 0.09278733 0.09708333 0.10155591],[0.00826015 0.08096085 0.085      0.089221  ],[0.00918874 0.1034082  0.10791667 0.11259694],[0.00847607 0.08585181 0.09       0.09432787],[0.00688346 0.07475261 0.078125   0.08163606],[0.00860697 0.08891066 0.093125   0.09751763],[0.01271269 0.13719833 0.1434375  0.14991102],[0.01218538 0.1237165  0.1296875  0.13590187],[0.01290551 0.14241268 0.14875    0.15531819],[0.01217289 0.12341034 0.129375   0.13558322],[0.01260823 0.13443898 0.140625   0.1470472 ],[0.01243032 0.12984197 0.1359375  0.14227228],[0.00685823 0.07414032 0.0775     0.08099855]
1.0,-1.8724172,[0.00665809 0.06939743 0.07265625 0.07605553],[0.00451034 0.04654427 0.04875    0.05105461],[0.00635907 0.06267308 0.06578125 0.06903215],[0.00527527 0.05342074 0.056      0.05869601],[0.00342537 0.03535661 0.03703125 0.03878198],[0.00657836 0.06756262 0.07078125 0.07414097],[0.01180029 0.11453712 0.1203125  0.12633741],[0.00855497 0.08768694 0.091875   0.09624191],[0.00886834 0.0952369  0.09958334 0.10410523],[0.00847607 0.08585181 0.09       0.09432787],[0.00873494 0.091971   0.09625    0.10070594],[0.00895827 0.0974831  0.101875   0.10644136],[0.00381218 0.03840495 0.04026786 0.04221712]
2.0,-0.8724172,[0.00297889 0.02986423 0.03131944 0.03284313],[0.0022016  0.02152952 0.02260417 0.02373112],[0.00378374 0.03779422 0.03964286 0.04157797],[0.00289785 0.02816877 0.02958333 0.03106662],[0.00166719 0.01637375 0.0171875  0.01804093],[0.00332295 0.03314238 0.03476562 0.03646533],[0.00663828 0.06893867 0.0721875  0.07557695],[0.00551184 0.05880173 0.0615     0.06431357],[0.00563043 0.06161706 0.064375   0.06724748],[0.0045012  0.04634053 0.04854167 0.05084173],[0.00505954 0.04877923 0.05125    0.05383877],[0.00510014 0.04963381 0.052125   0.05473395],[0.00155584 0.01512315 0.01588235 0.01667899]
3.0,0.12758279,[0.00126144 0.01224168 0.01285714 0.01350311],[0.00042414 0.00404722 0.00425403 0.00447136],[0.00165599 0.01614498 0.01695313 0.01780097],[0.00120032 0.01160192 0.0121875  0.01280224],[0.00044671 0.00427369 0.00449153 0.0047204 ],[0.0014583  0.01404552 0.01475694 0.01550382],[0.00435645 0.04318409 0.0453125  0.04754054],[0.00332295 0.03314238 0.03476562 0.03646533],[0.00325382 0.03169269 0.03328125 0.03494652],[0.00266215 0.02638748 0.0276875  0.02904963],[0.0029661  0.02959288 0.03104167 0.03255897],[0.00268247 0.02681479 0.028125   0.02949726],[0.00031101 0.00298069 0.00313235 0.0032917 ]
4.0,1.1275828,[0.00038209 0.00365426 0.00384058 0.00403635],[8.399080e-05 8.010083e-04 8.419586e-04 8.849992e-04],[0.00057191 0.00546839 0.00574728 0.0060403 ],[0.00030668 0.00293185 0.0030814  0.00323853],[8.4060019e-05 7.9967343e-04 8.4065495e-04 8.8373345e-04],[0.00041764 0.00405409 0.00425781 0.00447172],[0.00234194 0.02232342 0.02346591 0.02466536],[0.00118923 0.0113802  0.01196023 0.01256943],[0.0013805  0.01327394 0.01394737 0.01465443],[0.00097123 0.00929484 0.00976852 0.01026607],[0.00098367 0.00954324 0.01002315 0.01052691],[0.00087043 0.00828388 0.00870833 0.00915432],[5.4773085e-05 5.2163290e-04 5.4833677e-04 5.7640596e-04]
