Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_ML
0.0,-2.8724172,466.0,408.0,518.0,432.0,500.0,447.0,459.0,415.0,476.0,414.0,450.0,435.0,496.0
1.0,-1.8724172,465.0,468.0,421.0,448.0,474.0,453.0,385.0,441.0,478.0,432.0,462.0,489.0,451.0
2.0,-0.8724172,451.0,434.0,444.0,426.0,440.0,445.0,462.0,492.0,515.0,466.0,410.0,417.0,432.0
3.0,0.12758279,432.0,422.0,434.0,429.0,424.0,425.0,435.0,445.0,426.0,443.0,447.0,450.0,426.0
4.0,1.1275828,424.0,423.0,423.0,424.0,421.0,436.0,413.0,421.0,424.0,422.0,433.0,418.0,422.0
