Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_ML,AE_BP_0,AE_BP_0_ML,AE_BP_0_GNBP,AE_BP_1,AE_BP_1_ML,AE_BP_1_GNBP,AE_BP_2,AE_BP_2_ML,AE_BP_2_GNBP,AE_BP_3,AE_BP_3_ML,AE_BP_3_GNBP,AE_BP_4,AE_BP_4_ML,AE_BP_4_GNBP
0.0,-4.49969,165.0,132.0,158.0,166.0,139.0,158.0,178.0,159.0,175.0,179.0,122.0,173.0,156.0,146.0,168.0,181.0,119.0,119.0,126.0,128.0,127.0,155.0,146.0,143.0,213.0,144.0,198.0,99.0,174.0,150.0,195.0,187.0,150.0,174.0,166.0,143.0,181.0,172.0,178.0,193.0,213.0,157.0,178.0
1.0,-3.49969,186.0,157.0,165.0,165.0,145.0,153.0,177.0,153.0,172.0,184.0,152.0,178.0,162.0,142.0,162.0,142.0,134.0,133.0,154.0,141.0,153.0,163.0,167.0,158.0,169.0,175.0,174.0,100.0,185.0,173.0,174.0,178.0,196.0,200.0,181.0,171.0,184.0,189.0,164.0,187.0,211.0,221.0,236.0
2.0,-2.49969,197.0,175.0,170.0,170.0,151.0,165.0,206.0,184.0,191.0,182.0,159.0,171.0,173.0,151.0,162.0,142.0,147.0,134.0,151.0,150.0,163.0,198.0,180.0,189.0,179.0,204.0,205.0,102.0,175.0,160.0,202.0,178.0,203.0,190.0,182.0,197.0,188.0,181.0,208.0,218.0,214.0,229.0,241.0
3.0,-1.49969,191.0,189.0,183.0,176.0,161.0,170.0,198.0,211.0,174.0,213.0,169.0,170.0,172.0,162.0,150.0,129.0,162.0,148.0,158.0,165.0,155.0,199.0,190.0,219.0,204.0,200.0,210.0,106.0,207.0,217.0,195.0,184.0,224.0,213.0,219.0,229.0,218.0,200.0,198.0,231.0,233.0,257.0,270.0
4.0,-0.49969006,194.0,208.0,172.0,196.0,173.0,168.0,210.0,222.0,176.0,198.0,182.0,171.0,174.0,175.0,169.0,144.0,151.0,164.0,158.0,153.0,151.0,203.0,225.0,237.0,215.0,228.0,217.0,101.0,217.0,212.0,215.0,218.0,276.0,220.0,231.0,274.0,258.0,207.0,240.0,229.0,265.0,334.0,298.0
5.0,0.50030994,195.0,233.0,202.0,171.0,200.0,171.0,217.0,247.0,172.0,193.0,201.0,175.0,174.0,205.0,170.0,132.0,164.0,153.0,161.0,160.0,166.0,223.0,235.0,250.0,235.0,248.0,247.0,99.0,208.0,269.0,232.0,195.0,354.0,259.0,237.0,338.0,265.0,236.0,297.0,233.0,340.0,346.0,344.0
6.0,1.50031,196.0,261.0,175.0,183.0,146.0,175.0,216.0,239.0,155.0,214.0,216.0,173.0,178.0,219.0,158.0,121.0,167.0,166.0,157.0,159.0,161.0,225.0,255.0,260.0,265.0,262.0,268.0,10.0,201.0,294.0,244.0,161.0,377.0,300.0,274.0,377.0,317.0,250.0,340.0,271.0,372.0,405.0,398.0
