Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_ML,AE_BP_0,AE_BP_0_ML,AE_BP_0_GNBP,AE_BP_1,AE_BP_1_ML,AE_BP_1_GNBP,AE_BP_2,AE_BP_2_ML,AE_BP_2_GNBP,AE_BP_3,AE_BP_3_ML,AE_BP_3_GNBP,AE_BP_4,AE_BP_4_ML,AE_BP_4_GNBP
0.0,-4.49969,441.0,418.0,419.0,478.0,454.0,444.0,425.0,464.0,428.0,416.0,402.0,480.0,427.0,480.0,446.0,503.0,358.0,374.0,398.0,422.0,376.0,406.0,387.0,379.0,544.0,371.0,485.0,434.0,453.0,415.0,467.0,453.0,404.0,447.0,397.0,416.0,425.0,428.0,452.0,451.0,460.0,402.0,397.0
1.0,-3.49969,441.0,412.0,460.0,416.0,436.0,408.0,432.0,415.0,454.0,449.0,466.0,433.0,406.0,422.0,406.0,383.0,395.0,413.0,500.0,444.0,464.0,375.0,383.0,404.0,400.0,409.0,407.0,426.0,448.0,419.0,425.0,444.0,432.0,422.0,413.0,413.0,445.0,428.0,415.0,419.0,435.0,465.0,464.0
2.0,-2.49969,446.0,438.0,411.0,430.0,415.0,417.0,450.0,420.0,442.0,436.0,430.0,433.0,432.0,416.0,430.0,419.0,390.0,410.0,433.0,425.0,438.0,456.0,418.0,417.0,405.0,408.0,457.0,432.0,413.0,423.0,431.0,420.0,419.0,417.0,442.0,426.0,423.0,416.0,424.0,417.0,415.0,438.0,440.0
3.0,-1.49969,421.0,423.0,418.0,417.0,423.0,428.0,431.0,422.0,424.0,426.0,421.0,441.0,416.0,424.0,416.0,396.0,442.0,418.0,442.0,459.0,449.0,424.0,405.0,435.0,426.0,418.0,439.0,429.0,430.0,424.0,419.0,419.0,422.0,421.0,436.0,421.0,418.0,429.0,418.0,419.0,417.0,421.0,441.0
4.0,-0.49969006,425.0,421.0,420.0,423.0,421.0,420.0,421.0,421.0,423.0,428.0,423.0,420.0,426.0,429.0,426.0,438.0,434.0,442.0,411.0,412.0,423.0,423.0,416.0,437.0,419.0,430.0,415.0,423.0,422.0,422.0,421.0,432.0,423.0,420.0,424.0,421.0,426.0,421.0,426.0,420.0,420.0,421.0,422.0
5.0,0.50030994,422.0,422.0,426.0,423.0,421.0,421.0,421.0,422.0,424.0,423.0,422.0,420.0,422.0,424.0,424.0,420.0,427.0,420.0,424.0,424.0,437.0,422.0,425.0,424.0,427.0,421.0,420.0,419.0,425.0,421.0,421.0,422.0,422.0,421.0,421.0,421.0,425.0,424.0,421.0,423.0,421.0,421.0,422.0
6.0,1.50031,421.0,420.0,422.0,422.0,283.0,422.0,423.0,419.0,425.0,421.0,418.0,422.0,422.0,394.0,421.0,432.0,424.0,426.0,423.0,423.0,422.0,424.0,421.0,421.0,421.0,424.0,421.0,39.0,421.0,422.0,423.0,424.0,420.0,421.0,421.0,420.0,426.0,423.0,425.0,421.0,422.0,422.0,421.0
