Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,BCH_SYS_BP,BCH_SYS_GNBP_0,BCH_SYS_GNBP_1,BCH_SYS_GNBP_2,BCH_SYS_GNBP_3,BCH_SYS_GNBP_4,BCH_NSYS_BP,BCH_NSYS_GNBP_0,BCH_NSYS_GNBP_1,BCH_NSYS_GNBP_2,BCH_NSYS_GNBP_3,BCH_NSYS_GNBP_4,BCH_ML,AE_BP_0,AE_BP_0_ML,AE_BP_0_GNBP,AE_BP_1,AE_BP_1_ML,AE_BP_1_GNBP,AE_BP_2,AE_BP_2_ML,AE_BP_2_GNBP,AE_BP_3,AE_BP_3_ML,AE_BP_3_GNBP,AE_BP_4,AE_BP_4_ML,AE_BP_4_GNBP
0.0,-4.49969,[0.00928946 0.09567811 0.10022727 0.10496756],[0.0073326  0.07241479 0.076      0.07974738],[0.00908019 0.09078394 0.09522727 0.09986413],[0.00962557 0.10391713 0.10863636 0.1135427 ],[0.00761434 0.07881811 0.08254545 0.08643246],[0.00931743 0.09634577 0.10090909 0.1056632 ],[0.009138   0.09211834 0.09659091 0.10125634],[0.00645761 0.0671427  0.07030303 0.07360031],[0.00916669 0.09278565 0.09727272 0.10195234],[0.00905107 0.09011684 0.09454545 0.09916791],[0.00720238 0.06957135 0.07309091 0.07677374],[0.0096432  0.10436276 0.10909091 0.11400595],[0.00915714 0.0925632  0.09704545 0.10172034],[0.00655932 0.06951571 0.07272727 0.07607502],[0.00933601 0.09679092 0.10136364 0.10612693],[0.01283645 0.14611678 0.15242425 0.15895323],[0.01614533 0.1548158  0.16272727 0.17096111],[0.01642986 0.16194278 0.17       0.17837265],[0.01683639 0.17264338 0.1809091  0.18947978],[0.01722014 0.18335539 0.19181818 0.20057553],[0.01646465 0.16283403 0.17090909 0.17929868],[0.01696676 0.17621283 0.18454546 0.19317959],[0.01665299 0.16773747 0.17590909 0.18439047],[0.01651651 0.1641711  0.17227273 0.1806876 ],[0.01325065 0.15832995 0.16484849 0.1715806 ],[0.01637736 0.16060604 0.16863637 0.1769834 ],[0.01264541 0.1407595  0.14696969 0.15340489],[0.00745967 0.07525978 0.07890909 0.08271945],[0.00940057 0.09834917 0.10295454 0.10774975],[0.00730843 0.07188152 0.07545455 0.07918994],[0.00771251 0.08113221 0.08490909 0.08884472],[0.00760671 0.07864014 0.08236364 0.08624686],[0.00721884 0.06992669 0.07345454 0.07714553],[0.00934528 0.0970135  0.10159091 0.10635878],[0.00886329 0.08589358 0.09022728 0.09475686],[0.00731649 0.07205926 0.07563636 0.07937576],[0.00738857 0.07365927 0.07727273 0.08104785],[0.00916669 0.09278565 0.09727272 0.10195234],[0.00637989 0.06536368 0.06848485 0.07174356],[0.00759143 0.07828422 0.082      0.08587565],[0.00765988 0.07988604 0.08363637 0.08754592],[0.00720238 0.06957135 0.07309091 0.07677374],[0.00716102 0.06868312 0.07218182 0.07584414]
1.0,-3.49969,[0.00543416 0.05461613 0.05727273 0.06005029],[0.00411935 0.03960519 0.04161616 0.04372454],[0.00643184 0.06654962 0.06969697 0.07298147],[0.00613875 0.06003057 0.0630303  0.06616932],[0.0034772  0.03433479 0.03603306 0.03781199],[0.00608344 0.05884629 0.06181818 0.06492973],[0.00624745 0.06240007 0.06545454 0.06864751],[0.00372846 0.03590725 0.03772727 0.03963571],[0.00639293 0.06566013 0.06878788 0.07205306],[0.00548015 0.05563195 0.05831169 0.0611121 ],[0.00394112 0.04043684 0.04236364 0.04437796],[0.00625416 0.06254821 0.06560606 0.06880236],[0.00606951 0.05855028 0.06151515 0.06461979],[0.00416678 0.04059147 0.04262626 0.04475825],[0.00606951 0.05855028 0.06151515 0.06461979],[0.01144067 0.11046261 0.11606061 0.12190329],[0.01159436 0.11402098 0.11969697 0.12561534],[0.01181847 0.11936173 0.12515152 0.1311802 ],[0.01280501 0.14522369 0.15151516 0.1580287 ],[0.0121875  0.12856817 0.13454546 0.14075568],[0.01241496 0.13451311 0.14060606 0.14692807],[0.01133623 0.10809137 0.11363637 0.11942761],[0.01144067 0.11046261 0.11606061 0.12190329],[0.01170735 0.11669089 0.12242424 0.12839824],[0.01165737 0.11550415 0.12121212 0.12716152],[0.01176931 0.11817458 0.12393939 0.12994389],[0.0117446  0.11758106 0.12333333 0.12932566],[0.00377552 0.03688362 0.03872727 0.04065914],[0.00547443 0.05550496 0.05818182 0.06097938],[0.0034113  0.03296291 0.0346281  0.03637421],[0.00534067 0.05258524 0.05519481 0.0579259 ],[0.00545147 0.05499703 0.05766234 0.0604485 ],[0.00293761 0.02877554 0.03020979 0.03171315],[0.00532291 0.05220456 0.05480519 0.05752746],[0.00462692 0.04467251 0.04693182 0.04929943],[0.00371983 0.03572976 0.03754545 0.03944959],[0.00479344 0.04822518 0.05056818 0.05301862],[0.00622051 0.06180758 0.06484848 0.06802808],[0.00413364 0.03990104 0.04191919 0.04403468],[0.00530507 0.05182392 0.05441558 0.05712899],[0.00474217 0.04711459 0.04943182 0.05185676],[0.00329301 0.03361781 0.03522727 0.03691081],[0.00435928 0.04473719 0.04686869 0.04909647]
2.0,-2.49969,[0.00322751 0.03221127 0.03378788 0.03543879],[0.00154947 0.01517105 0.01592727 0.01672052],[0.00310269 0.02962238 0.03113636 0.03272507],[0.00293103 0.02863899 0.03006993 0.03157001],[0.00163904 0.01560375 0.01640316 0.01724279],[0.00340345 0.03280156 0.03446281 0.036205  ],[0.00299617 0.03000491 0.03146853 0.03300108],[0.00151784 0.01453235 0.01527273 0.01605019],[0.00321353 0.03191526 0.03348485 0.03512879],[0.00274307 0.02697237 0.02831169 0.02971544],[0.00166786 0.0161822  0.01699605 0.01785006],[0.00380512 0.03750512 0.03936364 0.04131025],[0.00346182 0.03401193 0.03570248 0.03747375],[0.00139961 0.01332414 0.01400673 0.01472375],[0.00379247 0.03723875 0.03909091 0.04103122],[0.00908019 0.09078394 0.09522727 0.09986413],[0.00879258 0.0843384  0.08863636 0.09313098],[0.00899241 0.08878286 0.09318182 0.09777527],[0.00921421 0.09389798 0.09840909 0.10311219],[0.00738857 0.07365927 0.07727273 0.08104785],[0.00749097 0.07597126 0.07963637 0.08346224],[0.00762956 0.07917407 0.08290909 0.08680363],[0.0073326  0.07241479 0.076      0.07974738],[0.00732455 0.07223702 0.07581818 0.07956157],[0.00722704 0.07010437 0.07363636 0.07733142],[0.00725159 0.07063745 0.07418182 0.07788904],[0.00763716 0.07935205 0.08309091 0.08698921],[0.0013282  0.01289426 0.01354232 0.01422246],[0.00310998 0.02977024 0.03128788 0.03288022],[0.00190021 0.01830015 0.01922727 0.02020036],[0.00254837 0.02487723 0.02612121 0.02742561],[0.00313533 0.03028782 0.03181818 0.03342316],[0.00164678 0.01575797 0.01656126 0.01740475],[0.00288779 0.02775158 0.02916084 0.03063937],[0.00242062 0.02393171 0.02511364 0.02635233],[0.00147012 0.01417789 0.0148951  0.01564801],[0.00252527 0.02440397 0.02563636 0.02692924],[0.00312087 0.02999205 0.03151515 0.03311292],[0.00173101 0.01667613 0.01752066 0.01840714],[0.00268441 0.02576802 0.02707792 0.02845243],[0.00234746 0.02243429 0.02357955 0.02478175],[0.00175881 0.01724072 0.01809917 0.01899952],[0.00257409 0.0254098  0.02666667 0.02798389]
3.0,-1.49969,[0.00131143 0.01255783 0.01319749 0.01386926],[0.00051037 0.0048784  0.00512727 0.00538877],[0.00151428 0.0144614  0.0152     0.01597569],[0.00126204 0.01202088 0.01263636 0.01328292],[0.0004613  0.00440814 0.00463308 0.00486943],[0.00166405 0.01610506 0.016917   0.01776911],[0.00124164 0.01203351 0.0126393  0.01327515],[0.00049657 0.00474015 0.00498229 0.00523672],[0.00173101 0.01667613 0.01752066 0.01840714],[0.00119618 0.01151877 0.01210227 0.01271494],[0.00042449 0.00404555 0.00425253 0.00447004],[0.00204032 0.02010442 0.02110048 0.02214474],[0.00130373 0.01240495 0.01304075 0.01370867],[0.000426   0.0040751  0.00428283 0.00450109],[0.00198293 0.018937   0.01990431 0.02091993],[0.0071527  0.06850549 0.072      0.07565819],[0.00477813 0.04789197 0.05022727 0.0526701 ],[0.00615248 0.06032668 0.06333333 0.06647916],[0.00543994 0.05474309 0.0574026  0.06018303],[0.0043369  0.04424338 0.04636364 0.04858029],[0.00548015 0.05563195 0.05831169 0.0611121 ],[0.00417619 0.04078876 0.04282828 0.04496495],[0.00458413 0.04378492 0.04602273 0.04836905],[0.00381353 0.03768272 0.03954545 0.04149625],[0.00418557 0.04098607 0.0430303  0.04517164],[0.00465342 0.04522737 0.0475     0.04988079],[0.00383027 0.03803795 0.03990909 0.04186822],[0.00032424 0.00311918 0.00327731 0.00344342],[0.00128129 0.01240518 0.0130303  0.01368647],[0.00053968 0.00516576 0.00542894 0.00570544],[0.00105532 0.01006615 0.01058081 0.01112147],[0.00118644 0.01132478 0.01190341 0.01251122],[0.00050977 0.00486657 0.00511515 0.00537635],[0.00100242 0.00958289 0.01007177 0.01058531],[0.00096918 0.00943622 0.00990909 0.0104054 ],[0.00059642 0.00568928 0.00598011 0.00628571],[0.0009734  0.00926891 0.00974359 0.01024231],[0.00153374 0.01485166 0.0156     0.0163854 ],[0.00079162 0.00753066 0.00791667 0.00832228],[0.00105532 0.01006615 0.01058081 0.01112147],[0.00114798 0.01092777 0.0114876  0.01207575],[0.00077828 0.00743123 0.00781076 0.00820951],[0.00102568 0.01004972 0.01055024 0.0110754 ]
4.0,-0.49969006,[0.00040409 0.00386993 0.00406699 0.00427402],[0.00012586 0.00119761 0.00125897 0.00132347],[0.00065714 0.00626264 0.00658307 0.00691978],[0.0003247  0.00310054 0.00325886 0.00342523],[9.6392585e-05 9.1705431e-04 9.6404855e-04 1.0134468e-03],[0.00055267 0.00526411 0.0055336  0.00581679],[0.00038213 0.00364095 0.00382727 0.00402308],[0.0001352  0.00128648 0.00135239 0.00142168],[0.0007963  0.00762302 0.00801136 0.00841931],[0.00040551 0.00389793 0.00409569 0.00430344],[0.00010201 0.00097299 0.00102273 0.001075  ],[0.00084616 0.00807221 0.00848485 0.00891838],[0.00042231 0.0040498  0.00425574 0.00447211],[9.8542558e-05 9.4684388e-04 9.9489791e-04 1.0453864e-03],[0.00071062 0.00682513 0.00717172 0.00753576],[0.00424136 0.04217017 0.04424242 0.04641153],[0.00255698 0.02505474 0.02630303 0.02761171],[0.0027613  0.02735284 0.0287013  0.03011414],[0.00249017 0.02369429 0.02490909 0.02618446],[0.00266873 0.02545121 0.02675325 0.02811994],[0.0023694  0.02287784 0.02403409 0.02524723],[0.00190021 0.01830015 0.01922727 0.02020036],[0.00164098 0.0156423  0.01644269 0.01728328],[0.00168113 0.01645223 0.01727273 0.01813336],[0.00164678 0.01575797 0.01656126 0.01740475],[0.00159895 0.01550768 0.01628788 0.01710662],[0.00171289 0.01631331 0.01714876 0.01802619],[3.9353374e-05 3.7521895e-04 3.9440559e-04 4.1457234e-04],[0.00046075 0.00439746 0.00462213 0.00485821],[0.00014135 0.00134672 0.00141563 0.00148806],[0.0003267  0.00311189 0.00327117 0.00343858],[0.00042526 0.00410826 0.00431568 0.00453352],[0.00013697 0.0013066  0.00137338 0.00144356],[0.00031042 0.00295287 0.00310421 0.00326328],[0.00029512 0.00282113 0.00296503 0.00311625],[0.00015551 0.00147998 0.0015558  0.0016355 ],[0.00027471 0.00263228 0.00276623 0.00290698],[0.00048964 0.00466801 0.00490676 0.00515765],[0.00024041 0.00230322 0.00242045 0.00254363],[0.0003742  0.00356087 0.00374332 0.00393507],[0.00034704 0.00330187 0.00347107 0.00364891],[0.00022106 0.00210452 0.0022123  0.00232558],[0.00032708 0.00311946 0.00327894 0.00344654]
5.0,0.50030994,[7.803818e-05 7.432900e-04 7.813368e-04 8.213282e-04],[2.3214619e-05 2.2104823e-04 2.3236606e-04 2.4426286e-04],[0.00014633 0.00140117 0.00147252 0.0015475 ],[7.7187549e-05 7.3610013e-04 7.7373331e-04 8.1328768e-04],[1.27954436e-05 1.21678924e-04 1.27916865e-04 1.34474365e-04],[0.00018659 0.00177599 0.00186696 0.00196258],[9.311068e-05 8.858157e-04 9.312099e-04 9.789264e-04],[2.4412169e-05 2.3245270e-04 2.4435436e-04 2.5686488e-04],[0.00034868 0.00333411 0.00350413 0.00368279],[9.5419593e-05 9.1005804e-04 9.5658074e-04 1.0054776e-03],[1.5996966e-05 1.5231635e-04 1.6011535e-04 1.6831333e-04],[0.00030304 0.00288256 0.0030303  0.00318559],[8.1006714e-05 7.7157648e-04 8.1107055e-04 8.5258315e-04],[1.49959105e-05 1.43139245e-04 1.50450636e-04 1.58135168e-04],[0.00025081 0.00239702 0.00251931 0.00264782],[0.00222391 0.0213748  0.02245989 0.02359871],[0.00091377 0.00879671 0.00924242 0.00971048],[0.00108659 0.01037916 0.01090909 0.01146575],[0.00093269 0.00894643 0.00940133 0.00987912],[0.00098028 0.00940533 0.00988345 0.01038561],[0.00102107 0.00995633 0.01045455 0.0109774 ],[0.00060657 0.00579368 0.00608947 0.00640025],[0.00043617 0.0041778  0.0043905  0.00461396],[0.00046746 0.00447271 0.00470067 0.00494017],[0.00045795 0.00439787 0.00462121 0.00485583],[0.00044941 0.00428354 0.00450267 0.00473295],[0.00045421 0.00432399 0.00454545 0.0047782 ],[2.8484562e-06 2.7018403e-05 2.8406972e-05 2.9866860e-05],[0.00014343 0.00137172 0.00144166 0.00151515],[2.8891222e-05 2.7476583e-04 2.8885077e-04 3.0365703e-04],[6.7146480e-05 6.3871581e-04 6.7145133e-04 7.0586230e-04],[0.000144   0.00137203 0.00144224 0.00151603],[3.2152358e-05 3.0616729e-04 3.2184258e-04 3.3831963e-04],[6.6103101e-05 6.2878744e-04 6.6101429e-04 6.9489051e-04],[8.1600658e-05 7.7626720e-04 8.1604964e-04 8.5786782e-04],[3.0333273e-05 2.8848244e-04 3.0327041e-04 3.1881573e-04],[5.5254186e-05 5.2817928e-04 5.5512018e-04 5.8343349e-04],[0.0001219  0.00116423 0.00122367 0.00128613],[5.0297956e-05 4.7840551e-04 5.0292676e-04 5.2870344e-04],[0.00010959 0.00104527 0.0010987  0.00115486],[9.6150507e-05 9.1475010e-04 9.6162630e-04 1.0109006e-03],[8.2302307e-05 7.8294490e-04 8.2306942e-04 8.6524716e-04],[0.0001104  0.00105175 0.00110558 0.00116216]
6.0,1.50031,[1.33672675e-05 1.27117091e-04 1.33633817e-04 1.40484364e-04],[3.5923251e-06 3.4117067e-05 3.5868314e-05 3.7709389e-05],[3.9879418e-05 3.7976285e-04 3.9920537e-04 4.1964225e-04],[9.0507847e-06 8.6174594e-05 9.0587098e-05 9.5225376e-05],[1.2559919e-06 9.6820386e-06 1.0290909e-05 1.0938031e-05],[6.0063041e-05 5.7202793e-04 6.0131092e-04 6.3209102e-04],[1.8024268e-05 1.7183495e-04 1.8062258e-04 1.8985922e-04],[3.4114721e-06 3.2358861e-05 3.4021890e-05 3.5770332e-05],[0.00014451 0.00138203 0.00145249 0.00152654],[1.4253048e-05 1.3554112e-04 1.4248968e-04 1.4979417e-04],[1.6111849e-06 1.5263253e-05 1.6048652e-05 1.6874437e-05],[0.00014676 0.00139832 0.00146987 0.00154508],[1.3857247e-05 1.3194137e-04 1.3869717e-04 1.4579861e-04],[1.4815876e-06 1.3605604e-05 1.4327273e-05 1.5087191e-05],[9.0044894e-05 8.5663534e-04 9.0053474e-04 9.4668026e-04],[0.00110181 0.01068323 0.01122078 0.01178504],[0.00032235 0.00308193 0.00323911 0.00340428],[0.00036962 0.00354353 0.00372378 0.00391315],[0.00029252 0.00279283 0.00293546 0.00308535],[0.00037189 0.00355211 0.00373345 0.00392401],[0.00034473 0.0032881  0.00345618 0.00363283],[0.00014654 0.00139975 0.0014712  0.00154629],[9.177157e-05 8.730699e-04 9.178112e-04 9.648415e-04],[7.810486e-05 7.429979e-04 7.810761e-04 8.211028e-04],[8.301612e-05 7.897384e-04 8.302110e-04 8.727545e-04],[8.4781408e-05 8.0955605e-04 8.5089303e-04 8.9433749e-04],[6.8223329e-05 6.4896280e-04 6.8222330e-04 7.1718614e-04],[4.6895764e-07 1.2028290e-06 1.4181818e-06 1.6717868e-06],[3.9873703e-05 3.7923508e-04 3.9867425e-04 4.1910878e-04],[3.9577749e-06 3.7681875e-05 3.9611394e-05 4.1639647e-05],[9.9058425e-06 9.4433635e-05 9.9263154e-05 1.0433947e-04],[4.5033637e-05 4.2992429e-04 4.5188106e-04 4.7495792e-04],[6.4192973e-06 6.0966318e-05 6.4095715e-05 6.7385619e-05],[1.05904264e-05 1.00709025e-04 1.05872001e-04 1.11299458e-04],[1.2885881e-05 1.2253900e-04 1.2882103e-04 1.3542487e-04],[6.2780800e-06 5.9625087e-05 6.2685634e-05 6.5903165e-05],[8.851094e-06 8.469208e-05 8.900775e-05 9.354318e-05],[2.3982820e-05 2.2864822e-04 2.4034092e-04 2.5263103e-04],[1.1214425e-05 1.0717463e-04 1.1264246e-04 1.1838905e-04],[2.0001347e-05 1.9021105e-04 1.9996200e-04 2.1021240e-04],[2.2218856e-05 2.1156552e-04 2.2239790e-04 2.3378438e-04],[2.1641807e-05 2.0607030e-04 2.1662132e-04 2.2771211e-04],[2.3442693e-05 2.2294196e-04 2.3437064e-04 2.4638465e-04]
