Eb/N0 (dB),SNR(dB),AE_GNBP_0
0.0,-2.8724172,148.0
1.0,-1.8724172,152.0
2.0,-0.8724172,182.0
3.0,0.12758279,184.0
4.0,1.1275828,185.0
5.0,2.1275828,180.0
6.0,3.1275828,188.0
