Eb/N0 (dB),SNR(dB),AE_GNBP_0
0.0,-2.8724172,414.0
1.0,-1.8724172,397.0
2.0,-0.8724172,438.0
3.0,0.12758279,419.0
4.0,1.1275828,425.0
5.0,2.1275828,424.0
6.0,3.1275828,421.0
