Eb/N0 (dB),SNR(dB),AE_GNBP_0
0.0,-2.8724172,0.4933333396911621
1.0,-1.8724172,0.3799999952316284
2.0,-0.8724172,0.22750000655651093
3.0,0.12758279,0.08363636583089828
4.0,1.1275828,0.024666666984558105
5.0,2.1275828,0.005247813183814287
6.0,3.1275828,0.0006431748042814434
