Eb/N0 (dB),SNR(dB),AE_GNBP_0
0.0,-2.8724172,[0.0083149  0.08218321 0.08625    0.0904981 ]
1.0,-1.8724172,[0.00618777 0.05900934 0.06203125 0.06519711]
2.0,-0.8724172,[0.00329768 0.03260819 0.03421875 0.03590587]
3.0,0.12758279,[0.00118644 0.01132478 0.01190341 0.01251122]
4.0,1.1275828,[0.00035199 0.00337002 0.00354167 0.00372201]
5.0,2.1275828,[7.6982949e-05 7.3506020e-04 7.7259477e-04 8.1204309e-04]
6.0,3.1275828,[9.004698e-06 8.562891e-05 9.001882e-05 9.463361e-05]
