Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,Hamming_BP,Hamming_GNBP_0,Hamming_GNBP_1,Hamming_GNBP_2,Hamming_GNBP_3,Hamming_GNBP_4,Hamming_ML
0.0,-3.0103,393.0,409.0,407.0,414.0,396.0,398.0,392.0,395.0,390.0,394.0,412.0,396.0,394.0,388.0,413.0,406.0,381.0,405.0,399.0,377.0,384.0,398.0
1.0,-2.0103,410.0,405.0,403.0,416.0,407.0,400.0,400.0,412.0,400.0,413.0,403.0,403.0,408.0,405.0,408.0,422.0,400.0,403.0,404.0,395.0,415.0,411.0
2.0,-1.0102999,417.0,419.0,409.0,411.0,411.0,419.0,414.0,432.0,419.0,416.0,424.0,427.0,413.0,422.0,418.0,417.0,408.0,409.0,421.0,411.0,403.0,414.0
3.0,-0.010299921,424.0,415.0,416.0,417.0,419.0,430.0,418.0,417.0,421.0,421.0,422.0,420.0,420.0,416.0,424.0,422.0,415.0,419.0,413.0,413.0,418.0,418.0
4.0,0.9897001,419.0,420.0,420.0,420.0,421.0,419.0,420.0,421.0,420.0,420.0,422.0,427.0,419.0,419.0,420.0,418.0,421.0,419.0,420.0,426.0,419.0,420.0
5.0,1.9897001,423.0,421.0,421.0,423.0,422.0,422.0,422.0,421.0,421.0,423.0,421.0,421.0,422.0,421.0,424.0,421.0,420.0,420.0,421.0,422.0,421.0,422.0
6.0,2.9897,421.0,421.0,421.0,421.0,421.0,422.0,421.0,421.0,424.0,421.0,421.0,421.0,423.0,422.0,421.0,425.0,421.0,422.0,423.0,421.0,422.0,421.0
