Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,Hamming_BP,Hamming_GNBP_0,Hamming_GNBP_1,Hamming_GNBP_2,Hamming_GNBP_3,Hamming_GNBP_4,Hamming_ML
0.0,-3.0103,[0.0134572  0.21434474 0.221      0.22780195],[0.01081846 0.17004105 0.17538461 0.1808595 ],[0.01286668 0.21636021 0.22272727 0.22922689],[0.0112283  0.18752486 0.19307692 0.19875315],[0.01019281 0.16068065 0.16571428 0.17087346],[0.01211181 0.20650709 0.2125     0.2186189 ],[0.01198865 0.20073661 0.20666666 0.21272525],[0.01167352 0.18673062 0.1925     0.19840413],[0.01317244 0.2316582  0.23818181 0.24483065],[0.01189836 0.196616   0.2025     0.20851436],[0.01112504 0.18296205 0.18846154 0.19408707],[0.01121127 0.1867643  0.1923077  0.19797558],[0.01191658 0.19744004 0.20333333 0.20935662],[0.01176863 0.19084881 0.19666667 0.20261745],[0.01310271 0.22805758 0.23454545 0.24116029],[0.01369017 0.22522536 0.232      0.23891553],[0.01443548 0.22508271 0.23222223 0.23951818],[0.01486829 0.24597125 0.25333333 0.26083955],[0.01334681 0.20940125 0.216      0.22274807],[0.01441134 0.22398399 0.23111111 0.23839532],[0.01316411 0.20149471 0.208      0.21465881],[0.01046969 0.15637209 0.16153847 0.16684176]
1.0,-2.0103,[0.00820355 0.13752678 0.14157894 0.14573032],[0.0069042  0.10886697 0.11227272 0.11577117],[0.0077761  0.12866028 0.1325     0.13643636],[0.0078132  0.13014151 0.134      0.13795473],[0.00727569 0.10991297 0.1135     0.11718865],[0.00844433 0.13805233 0.14222223 0.14649667],[0.0081908  0.13700691 0.14105263 0.14519772],[0.00684274 0.10662524 0.11       0.11346798],[0.00794109 0.12713315 0.13105263 0.13507424],[0.00899613 0.15026124 0.15470588 0.15925737],[0.00748025 0.1173097  0.121      0.12478995],[0.00800823 0.12973079 0.13368422 0.13773903],[0.00807433 0.13232896 0.1363158  0.1404033 ],[0.00901282 0.13992703 0.144375   0.14893985],[0.00903782 0.15200482 0.15647058 0.16104265],[0.00943938 0.1446751  0.14933333 0.15411448],[0.00990239 0.14939944 0.15428571 0.15930183],[0.01054946 0.15940848 0.16461538 0.16995794],[0.00995824 0.15151398 0.15642858 0.16147222],[0.00943938 0.1446751  0.14933333 0.15411448],[0.00949117 0.14664887 0.15133333 0.15614004],[0.00667265 0.09528537 0.09857143 0.10195802]
2.0,-1.0102999,[0.00499993 0.08329062 0.08575758 0.08829054],[0.00412555 0.06375675 0.06578948 0.0678823 ],[0.00535601 0.0839112  0.08655173 0.08926722],[0.00431053 0.06814555 0.07027027 0.07245608],[0.00449022 0.07007274 0.07228571 0.07456295],[0.00426812 0.07071526 0.07282051 0.07498337],[0.00430431 0.06998273 0.07210527 0.07428703],[0.00385526 0.06143305 0.06333333 0.06528831],[0.00422631 0.0691978  0.07128205 0.07342412],[0.00436171 0.07205915 0.07421052 0.07642085],[0.0040341  0.06426147 0.06625    0.06829557],[0.00406107 0.0670215  0.06902439 0.07108257],[0.00483605 0.07731244 0.07969697 0.08214849],[0.00458326 0.07097667 0.0732353  0.07555993],[0.00538486 0.08493116 0.08758621 0.09031603],[0.0062583  0.09608143 0.09916667 0.10233974],[0.00572778 0.08237973 0.0852     0.08810751],[0.00590645 0.08828977 0.0912     0.09419622],[0.00613964 0.09197455 0.095      0.09811419],[0.00602122 0.09223197 0.0952     0.09825318],[0.0064537  0.09318503 0.09636363 0.09963872],[0.00345777 0.04853737 0.0502381  0.05199514]
3.0,-0.010299921,[0.00275797 0.04487008 0.04622951 0.04762806],[0.00230335 0.03495296 0.03608696 0.03725631],[0.00257307 0.04076353 0.04203125 0.0433366 ],[0.00207867 0.03342022 0.03444444 0.03549889],[0.0017893  0.02890784 0.02978947 0.03069714],[0.00228376 0.03754096 0.03866667 0.03982472],[0.00227287 0.03769531 0.03881579 0.03996818],[0.00204885 0.03199092 0.033      0.03403978],[0.0025104  0.04195062 0.0431884  0.04446102],[0.00230629 0.03832967 0.03946667 0.04063596],[0.00178002 0.02891454 0.02979167 0.03069456],[0.00213468 0.03394834 0.035      0.03608301],[0.00266796 0.0432882  0.04460318 0.04595616],[0.00232918 0.03467452 0.03582089 0.0370037 ],[0.00271077 0.04171582 0.04305085 0.0444266 ],[0.00351201 0.05281607 0.05454545 0.05632808],[0.00306098 0.04420817 0.04571429 0.04726915],[0.00328292 0.0479495  0.04956522 0.05123242],[0.0032486  0.04687977 0.04847826 0.05012837],[0.00294997 0.04266617 0.04411765 0.04561614],[0.00305447 0.04400735 0.0455102  0.04706183],[0.001902   0.02590748 0.02684211 0.02780947]
4.0,0.9897001,[0.00126268 0.02026688 0.02088889 0.02152956],[0.00097698 0.01499528 0.01547619 0.01597227],[0.00099831 0.01636525 0.01685714 0.01736356],[0.00089217 0.01461144 0.01505102 0.01550361],[0.00087866 0.01415902 0.01459184 0.01503768],[0.00102741 0.0168467  0.01735294 0.01787411],[0.00083268 0.01396169 0.01437209 0.01479437],[0.00077256 0.01225591 0.01263636 0.01302847],[0.00094879 0.01605861 0.01652632 0.0170074 ],[0.00084247 0.01381567 0.01423077 0.01465815],[0.00083198 0.01332808 0.01373786 0.01416006],[0.00085601 0.01399002 0.01441177 0.01484603],[0.00117214 0.01858938 0.01916667 0.01976152],[0.00107947 0.01624732 0.01677852 0.01732679],[0.00122483 0.01902657 0.01962963 0.0202514 ],[0.00155408 0.02273549 0.0235     0.02428957],[0.00140624 0.02022587 0.02091743 0.02163211],[0.00128922 0.01852568 0.01915966 0.0198149 ],[0.00134823 0.01906931 0.01973214 0.02041753],[0.0012924  0.01895102 0.01958678 0.02024342],[0.00130706 0.01821722 0.01885965 0.01952428],[0.00054448 0.00765354 0.00792115 0.00819803]
5.0,1.9897001,[0.00046134 0.00735346 0.00758065 0.0078148 ],[0.00033706 0.00504252 0.00520833 0.00537957],[0.00037371 0.0060925  0.0062766  0.00646621],[0.00025893 0.00432643 0.00445402 0.00458536],[0.00024244 0.00414365 0.00426316 0.0043861 ],[0.00034023 0.0055742  0.00574181 0.00591443],[0.00028066 0.00469036 0.00482866 0.00497102],[0.00024462 0.00409355 0.00421409 0.00433817],[0.00028067 0.00469839 0.0048367  0.00497907],[0.00025773 0.00449569 0.00462277 0.00475342],[0.00025426 0.00411895 0.00424419 0.00437321],[0.00028202 0.00455365 0.00469256 0.00483567],[0.00037896 0.00629632 0.00648305 0.00667528],[0.0003534  0.00525473 0.00542857 0.00560813],[0.00043467 0.00683727 0.00705128 0.00727194],[0.00055213 0.00837695 0.00864865 0.00892908],[0.00044718 0.00633996 0.00655977 0.00678714],[0.00047544 0.00692632 0.00716012 0.00740176],[0.00051906 0.00737998 0.00763514 0.00789904],[0.00042949 0.00622717 0.00643836 0.00665666],[0.00041953 0.00576572 0.00597183 0.00618526],[0.00016931 0.00230541 0.00238857 0.00247472]
6.0,2.9897,[9.6986441e-05 1.5439199e-03 1.5916760e-03 1.6409064e-03],[8.1205588e-05 1.2298081e-03 1.2697629e-03 1.3110136e-03],[0.00010671 0.00171432 0.00176687 0.00182103],[6.8909962e-05 1.1758930e-03 1.2098581e-03 1.2448030e-03],[6.1154453e-05 1.0599295e-03 1.0900784e-03 1.1210839e-03],[7.7574216e-05 1.3154055e-03 1.3536379e-03 1.3929798e-03],[7.3459691e-05 1.2674496e-03 1.3036629e-03 1.3409093e-03],[5.7719069e-05 1.0049682e-03 1.0334253e-03 1.0626874e-03],[8.3469473e-05 1.4267887e-03 1.4679313e-03 1.5102583e-03],[6.7950969e-05 1.1886385e-03 1.2221424e-03 1.2565894e-03],[5.9949376e-05 1.0261496e-03 1.0556994e-03 1.0860991e-03],[7.2336436e-05 1.2363608e-03 1.2720156e-03 1.3086973e-03],[0.00011088 0.00176534 0.00181994 0.00187622],[9.0124529e-05 1.3428547e-03 1.3871866e-03 1.4329792e-03],[0.00012501 0.00199769 0.00205925 0.0021227 ],[0.00017092 0.00254304 0.00262712 0.00271396],[0.00011908 0.00165668 0.00171518 0.00177576],[0.00013826 0.00194651 0.00201445 0.00208477],[0.00012389 0.00176817 0.00182907 0.00189206],[0.00014192 0.00199345 0.0020632  0.00213537],[0.00012381 0.00171018 0.001771   0.00183399],[3.6346541e-05 5.0415384e-04 5.2201108e-04 5.4050033e-04]
