Eb/N0 (dB),SNR(dB),AE_GNBP_0,AE_GNBP_0_ML,AE_GNBP_0_BP,AE_GNBP_1,AE_GNBP_1_ML,AE_GNBP_1_BP,AE_GNBP_2,AE_GNBP_2_ML,AE_GNBP_2_BP,AE_GNBP_3,AE_GNBP_3_ML,AE_GNBP_3_BP,AE_GNBP_4,AE_GNBP_4_ML,AE_GNBP_4_BP,Hamming_BP,Hamming_GNBP_0,Hamming_GNBP_1,Hamming_GNBP_2,Hamming_GNBP_3,Hamming_GNBP_4,Hamming_ML
0.0,-3.0103,221.0,228.0,245.0,251.0,232.0,255.0,248.0,231.0,262.0,243.0,245.0,250.0,244.0,236.0,258.0,232.0,209.0,228.0,216.0,208.0,208.0,210.0
1.0,-2.0103,269.0,247.0,265.0,268.0,227.0,256.0,268.0,242.0,249.0,263.0,242.0,254.0,259.0,231.0,266.0,224.0,216.0,214.0,219.0,224.0,227.0,207.0
2.0,-1.0102999,283.0,250.0,251.0,260.0,253.0,284.0,274.0,266.0,278.0,282.0,265.0,283.0,263.0,249.0,254.0,238.0,213.0,228.0,228.0,238.0,212.0,211.0
3.0,-0.010299921,282.0,249.0,269.0,279.0,283.0,290.0,295.0,264.0,298.0,296.0,286.0,273.0,281.0,240.0,254.0,240.0,224.0,228.0,223.0,225.0,223.0,204.0
4.0,0.9897001,282.0,260.0,295.0,295.0,286.0,295.0,309.0,278.0,314.0,296.0,283.0,294.0,276.0,250.0,265.0,235.0,228.0,228.0,221.0,237.0,215.0,221.0
5.0,1.9897001,282.0,250.0,295.0,310.0,324.0,298.0,310.0,311.0,311.0,337.0,292.0,290.0,306.0,247.0,275.0,256.0,225.0,237.0,226.0,235.0,212.0,209.0
6.0,2.9897,283.0,257.0,288.0,324.0,334.0,320.0,331.0,337.0,325.0,340.0,326.0,325.0,283.0,249.0,285.0,248.0,218.0,223.0,229.0,222.0,215.0,217.0
